Rez.-Nr.,Dom_OT,Rank,CAS,Ingredient,Norm_Totalmenge,Total_Contrib,PC1_Contrib,PC2_Contrib,PC3_Contrib,PC4_Contrib
185.664,fruity,3,33467-73-1,cis-3-Hexenylformiat Kosher Halal,0.002175,0.21854,-0.04541,-0.02219,0.11928,-0.03166
185.664,fruity,4,3681-71-8,cis-3-Hexenylacetat Halal Kosher,0.020074,0.18173,0.03547,-0.00081,-0.04872,0.09673
185.664,fruity,5,3658-77-3,Furaneol Halal,0.327588,0.14212,-0.06916,-0.00858,-0.00682,0.05756
185.664,fruity,6,141-78-6,Ethylacetat Kosher Halal,0.048975,0.13704,0.05733,-0.04954,0.02422,0.00596
185.664,fruity,7,142-92-7,Hexylacetat Kosher Halal,0.001418,0.11517,-0.00142,0.0067,0.02852,-0.07852
185.664,fruity,8,706-14-9,gamma-Decalacton Kosher Halal,0.011276,0.10035,-0.00304,0.02152,0.0222,-0.05359
185.664,fruity,9,868-57-5,Methyl-2-methylbutyrat,0.029079,0.09753,-0.0275,-0.01481,-0.03563,-0.01959
185.664,fruity,10,6728-26-3,trans-2-Hexenal Kosher Halal,0.000812,0.09163,0.00099,-0.00499,-0.02231,0.06333
185.664,fruity,11,109-52-4,Valeriansäure Kosher Halal,0.005879,0.08666,-0.02069,-0.01065,-0.01936,-0.03596
185.664,fruity,12,31501-11-8,cis-3-Hexenylhexanoat Halal,0.027799,0.05275,-0.0164,-0.00039,0.0037,-0.03226
185.664,fruity,13,140-11-4,Benzylacetat Halal,5.5e-05,0.04543,-0.02444,-0.01365,0.00124,-0.00608
185.664,fruity,14,142-62-1,Hexansäure kräftig,0.000785,0.04366,0.00396,0.00804,0.01047,-0.02119
185.664,fruity,15,64-19-7,Essigsäure Halal Kosher,0.053119,0.04197,-0.00728,0.00825,-0.0037,-0.02274
185.664,fruity,16,105-54-4,Ethylbutyrat Kosher Halal,0.057112,0.04034,0.0061,0.00554,0.02308,-0.00562
185.664,fruity,17,124-07-2,Octansäure,0.004241,0.02277,-0.00509,-0.00558,-0.00876,0.00334
185.664,fruity,18,109-94-4,Ethylformiat Halal,0.00084,0.02093,-0.00466,-0.0024,-0.0012,-0.01267
185.664,fruity,19,431-03-8,Diacetyl Halal,0.002795,0.01974,-0.00621,-0.00094,-0.00065,-0.01194
185.664,fruity,20,1754-62-7,Methyl-trans-cinnamat Halal,0.032328,0.01813,-0.00235,0.00496,-0.00145,0.00937
185.675P,odorless,1,111-27-3,Hexanol Kosher Halal,0.03003,0.26247,-0.02179,-0.03477,0.03682,0.1691
185.675P,odorless,2,6728-26-3,trans-2-Hexenal Kosher Halal,0.001489,0.23826,0.00258,-0.01298,-0.05802,0.16468
185.675P,odorless,3,118-71-8,Maltol Kosher Halal,0.066066,0.17242,0.02094,0.04135,-0.03705,0.07308
185.675P,odorless,4,142-92-7,Hexylacetat Kosher Halal,0.000168,0.16314,-0.00201,0.0095,0.0404,-0.11123
185.675P,odorless,5,695-06-7,gamma-Hexalacton Halal,0.000468,0.14437,-0.0525,-0.01441,-0.01276,-0.0647
185.675P,odorless,6,659-70-1,Isoamylisovalerat Kosher Halal,0.000456,0.13921,0.00341,0.00641,0.03449,-0.09489
185.675P,odorless,7,105-53-3,Diethylmalonat Halal Kosher,0.000264,0.13278,-0.04963,-0.01643,-0.01313,-0.05359
185.675P,odorless,8,713-95-1,delta-Dodecalacton Halal,0.002967,0.10307,0.00209,-0.0053,-0.02449,0.07119
185.675P,odorless,9,706-14-9,gamma-Decalacton Kosher Halal,0.012012,0.09737,-0.00295,0.02088,0.02154,-0.05199
185.675P,odorless,10,3681-71-8,cis-3-Hexenylacetat Halal Kosher,0.003676,0.08171,-0.01595,0.00037,0.0219,-0.04349
185.675P,odorless,11,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,0.010907,0.07047,-0.00972,-0.02021,-0.00332,-0.03723
185.675P,odorless,12,141-78-6,Ethylacetat Kosher Halal,0.006306,0.06869,-0.02874,0.02483,-0.01214,-0.00299
185.675P,odorless,13,105-54-4,Ethylbutyrat Kosher Halal,0.036036,0.06388,0.00966,0.00877,0.03656,-0.0089
185.675P,odorless,14,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.116553,0.06267,0.0056,-0.00605,-0.02332,0.0277
185.675P,odorless,15,78-70-6,"Linalool ex HO, natürlich Kosher Halal BG",0.001105,0.05103,0.01888,-0.01639,0.01365,0.0021
185.675P,odorless,16,123-66-0,Ethylhexanoat Halal,0.004,0.04564,-0.00056,0.00436,0.02705,0.01367
185.675P,odorless,17,5471-51-2,Himbeerketon Halal,0.006006,0.04269,-0.00797,-0.00433,-0.01504,0.01535
185.675P,odorless,18,140-11-4,Benzylacetat Halal,0.000348,0.03561,-0.01916,-0.0107,0.00097,-0.00477
185.675P,odorless,19,121-33-5,"Vanillin ex Eugenol, natürlich Halal Kosher, BG",0.006006,0.01876,-0.00322,-0.00685,0.00014,-0.00855
185.675P,odorless,20,6290-17-1,Fraiston Halal Kosher,0.000565,0.0186,-0.00237,-0.00029,-0.00538,0.01057
185.727P,warm,1,66-25-1,Hexanal Kosher Halal,0.004502,1.32032,-0.06015,-0.07252,0.89725,0.2904
185.727P,warm,2,4940-11-8,Ethylmaltol Kosher Halal,0.756753,0.92534,-0.11684,-0.03167,0.35159,-0.42525
185.727P,warm,3,8008-57-9,Orangen-Öl terpenfrei Halal,0.019404,0.91439,-0.10838,-0.02861,0.36228,-0.41511
185.727P,warm,4,8008-45-5,Muskatnuss-Öl Terpenfrei,0.004191,0.91439,-0.10838,-0.02861,0.36228,-0.41511
185.727P,warm,5,8007-80-5,Zimtkassie-Öl,0.007762,0.91439,-0.10838,-0.02861,0.36228,-0.41511
185.727P,warm,6,90063-52-8,Limetten-Öl destilliert terpenfrei Halal,0.165166,0.91439,-0.10838,-0.02861,0.36228,-0.41511
185.727P,warm,7,8000-34-8,"Nelkenknospen-Öl, Typ Rosine",0.021732,0.91439,-0.10838,-0.02861,0.36228,-0.41511
185.727P,warm,8,105-54-4,Ethylbutyrat Kosher Halal,0.018473,0.08349,0.01262,0.01146,0.04778,-0.01163
185.727P,warm,9,121-33-5,"Vanillin ex Eugenol, natürlich Halal Kosher, BG",0.002018,0.02665,-0.00458,-0.00973,0.00019,-0.01214
185.741P,odorless,1,103-37-7,Benzylbutyrat,0.001202,0.3833,0.13795,0.21548,0.01544,0.01442
185.741P,odorless,2,105-66-8,Propylbutyrat Kosher,0.001278,0.18685,-0.03589,0.02092,0.00297,-0.12707
185.741P,odorless,3,142-92-7,Hexylacetat Kosher Halal,0.000751,0.14079,-0.00173,0.00819,0.03487,-0.09599
185.741P,odorless,4,3681-71-8,cis-3-Hexenylacetat Halal Kosher,0.001055,0.12381,-0.02417,0.00055,0.03319,-0.0659
185.741P,odorless,5,141-78-6,Ethylacetat Kosher Halal,0.005534,0.07242,-0.03029,0.02618,-0.0128,-0.00315
185.741P,odorless,6,119-36-8,Methylsalicylat Halal,0.000974,0.06934,0.00129,-0.00362,-0.01623,0.0482
185.741P,odorless,7,100-52-7,Benzaldehyd Kosher Halal,0.001083,0.06122,-0.00606,-0.00113,-0.01699,0.03703
185.741P,odorless,8,111-27-3,Hexanol Kosher Halal,0.001273,0.0579,0.00481,0.00767,-0.00812,-0.03731
185.741P,odorless,9,116-53-0,2-Methylbuttersäure Halal Kosher,0.008817,0.05368,-0.0053,-0.03146,0.01477,-0.00215
185.741P,odorless,10,123-66-0,Ethylhexanoat Halal,0.002043,0.04869,-0.0006,0.00465,0.02886,0.01458
185.741P,odorless,11,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.055078,0.04254,-0.0038,0.00411,0.01583,-0.0188
185.741P,odorless,12,105-54-4,Ethylbutyrat Kosher Halal,0.056717,0.04078,0.00616,0.0056,0.02334,-0.00568
185.741P,odorless,13,24851-98-7,Methyldihydrojasmonat,0.000361,0.02119,0.0023,0.00082,0.00601,-0.01207
185.741P,odorless,14,16491-36-4,cis-3-Hexenylbutyrat Halal,0.004252,0.02034,-0.00853,-0.00129,-0.00669,-0.00383
185.741P,odorless,15,3658-77-3,Furaneol Halal,0.09994,0.01354,-0.00659,-0.00082,-0.00065,0.00549
185.741P,odorless,16,104-67-6,gamma-Undecalacton Halal,0.004019,0.01337,0.00283,0.0079,-0.00056,-0.00209
185.741P,odorless,17,695-06-7,gamma-Hexalacton Halal,4.3e-05,0.01206,-0.00438,-0.0012,-0.00107,-0.0054
185.741P,odorless,18,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,0.041468,0.00646,-0.00089,-0.00185,-0.0003,-0.00341
185.741P,odorless,19,140-11-4,Benzylacetat Halal,0.001525,0.00376,0.00202,0.00113,-0.0001,0.0005
185.748P,fruity,1,10544-63-5,Ethyl-trans-2-crotonat,0.007107,2.25013,0.64901,1.04671,-0.11589,0.43852
185.748P,fruity,2,659-70-1,Isoamylisovalerat Kosher Halal,0.03267,1.04711,-0.02568,-0.04824,-0.25944,0.71376
185.748P,fruity,3,27538-09-6 ,Ethylfuraneol Kosher Halal,0.032247,0.92538,0.32159,-0.00353,-0.20682,0.39343
185.748P,fruity,4,105-21-5,gamma-Heptalacton Halal,3e-06,0.87573,0.08304,0.1678,-0.20937,0.41552
185.748P,fruity,5,67-68-5,Dimethylsulfoxid Halal Kosher,0.000748,0.87573,0.08304,0.1678,-0.20937,0.41552
185.748P,fruity,6,13419-69-7,trans-2-Hexensäure Kosher Halal,0.010884,0.74915,0.05855,0.15421,-0.13233,0.40406
185.748P,fruity,7,539-82-2,Ethylvalerat,0.039459,0.65023,0.06553,0.13711,-0.12599,0.32161
185.748P,fruity,8,53398-85-9,cis-3-Hexenyl-2-methylbutyrat,0.00127,0.50167,-0.02566,0.01306,-0.15602,0.30693
185.748P,fruity,9,116-53-0,2-Methylbuttersäure Halal Kosher,0.232308,0.22552,0.02225,0.13218,-0.06206,0.00903
185.748P,fruity,10,142-92-7,Hexylacetat Kosher Halal,0.009608,0.19911,0.00245,-0.01159,-0.04931,0.13575
185.748P,fruity,11,706-14-9,gamma-Decalacton Kosher Halal,0.081642,0.18483,0.00559,-0.03964,-0.0409,0.0987
185.748P,fruity,12,2719-08-6,Acetyl N-methylanthranilat,0.00029,0.17113,-0.00439,0.00065,-0.05082,0.11527
185.748P,fruity,13,108-64-5,Ethylisovalerat Kosher Halal,0.017488,0.1689,0.02312,0.04732,-0.02755,0.07092
185.748P,fruity,14,1754-62-7,Methyl-trans-cinnamat Halal,0.087819,0.13625,-0.01765,0.0373,-0.0109,0.07039
185.748P,fruity,15,140-11-4,Benzylacetat Halal,0.005404,0.13356,0.07187,0.04015,-0.00366,0.01789
185.748P,fruity,16,78-70-6,"Linalool ex HO, natürlich Kosher Halal BG",0.001703,0.12708,0.04702,-0.04083,0.034,0.00523
185.748P,fruity,17,3681-71-8,cis-3-Hexenylacetat Halal Kosher,0.016396,0.12265,0.02394,-0.00055,-0.03288,0.06528
185.748P,fruity,18,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,0.097112,0.11008,0.01518,0.03156,0.00519,0.05815
185.748P,fruity,19,142-62-1,Hexansäure kräftig,0.055712,0.0936,-0.00848,-0.01723,-0.02246,0.04543
185.748P,fruity,20,123-66-0,Ethylhexanoat Halal,0.082426,0.0763,0.00094,-0.00729,-0.04523,-0.02285
185.796P,odorless,1,4077-47-8,"Mesifuran, natürlich",0.009341,0.47669,-0.09619,-0.02763,0.03446,-0.31841
185.796P,odorless,2,8031-03-6,Mimosa-Absolue,0.003739,0.42052,-0.08389,-0.01864,0.03367,-0.28432
185.796P,odorless,3,112-12-9,"2-Undecanon, natürlich Halal",5.8e-05,0.242,-0.0507,-0.01038,0.01806,-0.16285
185.796P,odorless,4,107-87-9,"2-Pentanon, natürlich Halal",0.000308,0.22752,-0.04769,-0.00976,0.01697,-0.1531
185.796P,odorless,5,600-14-6,Acetylpropionyl Halal,0.01589,0.19289,-0.03948,-0.00825,0.01433,-0.13082
185.796P,odorless,6,142-92-7,Hexylacetat Kosher Halal,1.9e-05,0.16885,-0.00208,0.00983,0.04182,-0.11513
185.796P,odorless,7,3681-71-8,cis-3-Hexenylacetat Halal Kosher,1e-05,0.1406,-0.02744,0.00063,0.03769,-0.07484
185.796P,odorless,8,706-14-9,gamma-Decalacton Kosher Halal,0.004497,0.12782,-0.00387,0.02741,0.02828,-0.06826
185.796P,odorless,9,124-13-0,Octanal Halal,1.9e-05,0.10137,-0.02435,-0.01272,-0.00326,-0.06104
185.796P,odorless,10,513-86-0,Acetoin 50% in PG Kosher Halal,0.042933,0.09528,-0.00569,0.0085,0.02107,-0.06003
185.796P,odorless,11,141-78-6,Ethylacetat Kosher Halal,0.000838,0.09506,-0.03977,0.03436,-0.0168,-0.00413
185.796P,odorless,12,118-71-8,Maltol Kosher Halal,0.00039,0.09482,-0.01152,-0.02274,0.02038,-0.04019
185.796P,odorless,13,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.028447,0.08813,-0.00788,0.0085,0.0328,-0.03895
185.796P,odorless,14,78-70-6,"Linalool ex HO, natürlich Kosher Halal BG",4.8e-05,0.08335,-0.03084,0.02677,-0.0223,-0.00343
185.796P,odorless,15,2305-21-7,trans-2-Hexen-1-ol Halal Kosher,1.9e-05,0.08324,0.00045,0.00435,0.02085,-0.05759
185.796P,odorless,16,821-55-6,"2-Nonanon, natürlich Halal",3.9e-05,0.08129,-0.01831,-0.00723,0.00678,-0.04898
185.796P,odorless,17,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,0.006491,0.07972,-0.01099,-0.02286,-0.00376,-0.04211
185.796P,odorless,18,66-25-1,Hexanal Kosher Halal,0.000539,0.07746,-0.00353,-0.00425,0.05264,0.01704
185.796P,odorless,19,6728-26-3,trans-2-Hexenal Kosher Halal,0.000722,0.07212,0.00078,-0.00393,-0.01756,0.04985
185.796P,odorless,20,111-27-3,Hexanol Kosher Halal,1.9e-05,0.07187,0.00597,0.00952,-0.01008,-0.04631
185.902P,fruity,1,68647-72-3,"Orangenterpene, natürlich Kosher Halal BG V",0.056055,2.40169,1.31886,-0.96634,0.00778,-0.1087
185.902P,fruity,2,111-27-3,Hexanol Kosher Halal,0.090213,0.93297,-0.07747,-0.12358,0.13086,0.60107
185.902P,fruity,3,706-14-9,gamma-Decalacton Kosher Halal,0.157916,0.49394,0.01495,-0.10593,-0.1093,0.26377
185.902P,fruity,4,142-62-1,Hexansäure kräftig,0.165186,0.36718,-0.03327,-0.0676,-0.08809,0.17822
185.902P,fruity,5,116-53-0,2-Methylbuttersäure Halal Kosher,0.285791,0.29233,0.02884,0.17134,-0.08045,0.0117
185.902P,fruity,6,8022-96-6,Jasmin-Absolue (blumig) Halal,0.037662,0.2209,0.04982,-0.12675,-0.00433,-0.04
185.902P,fruity,7,75-18-3,"Dimethylsulfid, natürlich Kosher Halal BG, V",0.000563,0.1853,-0.0059,-0.01275,0.14164,0.025
185.902P,fruity,8,103-26-4,"Methyl-trans-cinnamat, natürlich Kosher Halal",0.048347,0.13363,0.02058,-0.03123,-0.03373,0.04809
185.902P,fruity,9,123-51-3,Isoamylalkohol Kosher Halal,0.062186,0.12454,0.00365,-0.02111,0.02227,-0.07751
185.902P,fruity,10,105-54-4,Ethylbutyrat Kosher Halal,0.000876,0.10315,0.01559,0.01416,0.05903,-0.01437
185.902P,fruity,11,98-01-1,Furfural Halal,0.001401,0.06348,-0.00954,-0.00369,-0.01583,0.03442
185.902P,fruity,12,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.093454,0.02314,0.00207,-0.00223,-0.00861,0.01023
185.902P,fruity,13,16409-45-3,"Menthylacetat, D,L-",0.00035,0.00297,-0.00059,-0.00021,-1e-05,0.00215
185.922P,fruity,1,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,0.295207,0.52497,0.07238,0.15053,0.02474,0.27732
185.922P,fruity,2,103-26-4,"Methyl-trans-cinnamat, natürlich Kosher Halal",0.119103,0.41811,0.06438,-0.09771,-0.10554,0.15047
185.922P,fruity,3,142-62-1,Hexansäure kräftig,0.168294,0.37495,-0.03397,-0.06903,-0.08996,0.18199
185.922P,fruity,4,78-70-6,"Linalool ex HO, natürlich Kosher Halal BG",0.002834,0.27088,0.10023,-0.08702,0.07247,0.01115
185.922P,fruity,5,108-64-5,Ethylisovalerat Kosher Halal,6.3e-05,0.1671,-0.02287,-0.04681,0.02725,-0.07016
185.922P,fruity,6,123-51-3,Isoamylalkohol Kosher Halal,0.082131,0.16621,0.00487,-0.02817,0.02972,-0.10345
185.922P,fruity,7,116-53-0,2-Methylbuttersäure Halal Kosher,0.167727,0.14484,0.01429,0.08489,-0.03986,0.0058
185.922P,fruity,8,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.000693,0.13563,-0.01212,0.01309,0.05048,-0.05995
185.922P,fruity,9,93-58-3,Methylbenzoat Halal,0.004787,0.13353,-0.03005,-0.03493,-0.03785,-0.0307
185.922P,fruity,10,6728-26-3,trans-2-Hexenal Kosher Halal,0.000693,0.06575,0.00071,-0.00358,-0.01601,0.04545
185.922P,fruity,11,123-66-0,Ethylhexanoat Halal,0.003086,0.04706,-0.00058,0.0045,0.0279,0.01409
185.922P,fruity,12,80-71-7,"Cycloten, natürlich Halal",0.000504,0.04342,0.014,-0.00943,-0.00535,-0.01464
185.922P,fruity,13,8022-96-6,Jasmin-Absolue (blumig) Halal,0.007558,0.04221,0.00952,-0.02422,-0.00083,-0.00764
185.922P,fruity,14,68647-72-3,"Orangenterpene, natürlich Kosher Halal BG V",0.002015,0.03969,0.0218,-0.01597,0.00013,-0.0018
185.922P,fruity,15,706-14-9,gamma-Decalacton Kosher Halal,0.045286,0.03748,0.00113,-0.00804,-0.00829,0.02002
185.922P,fruity,16,868-57-5,Methyl-2-methylbutyrat,0.001008,0.00583,0.00164,0.00088,0.00213,0.00117
185.922P,fruity,17,105-54-4,Ethylbutyrat Kosher Halal,0.098066,0.0054,-0.00082,-0.00074,-0.00309,0.00075
185.922P,fruity,18,98-55-5,alpha-Terpineol Kosher Halal,0.000945,0.00246,0.00024,0.00037,-0.00098,-0.00086
185.984P,fruity,1,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,0.327701,0.59303,0.08176,0.17004,0.02795,0.31328
185.984P,fruity,2,123-51-3,Isoamylalkohol Kosher Halal,0.104691,0.21335,0.00625,-0.03616,0.03815,-0.13279
185.984P,fruity,3,103-26-4,"Methyl-trans-cinnamat, natürlich Kosher Halal",0.066084,0.20494,0.03156,-0.0479,-0.05173,0.07375
185.984P,fruity,4,116-53-0,2-Methylbuttersäure Halal Kosher,0.205304,0.19178,0.01892,0.11241,-0.05278,0.00768
185.984P,fruity,5,706-14-9,gamma-Decalacton Kosher Halal,0.080079,0.17849,0.0054,-0.03828,-0.0395,0.09532
185.984P,fruity,6,142-62-1,Hexansäure kräftig,0.088932,0.17662,-0.016,-0.03252,-0.04237,0.08573
185.984P,fruity,7,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.001396,0.13443,-0.01201,0.01297,0.05003,-0.05941
185.984P,fruity,8,8022-96-6,Jasmin-Absolue (blumig) Halal,0.006428,0.03551,0.00801,-0.02037,-0.0007,-0.00643
185.984P,fruity,9,3658-77-3,Furaneol Halal,0.02755,0.02734,0.01331,0.00165,0.00131,-0.01107
185.984P,fruity,10,105-54-4,Ethylbutyrat Kosher Halal,0.091834,0.00156,0.00024,0.00021,0.00089,-0.00022
186.179P,warm,1,107-87-9,"2-Pentanon, natürlich Halal",0.000881,0.66961,-0.14036,-0.02872,0.04994,-0.45059
186.179P,warm,2,112-12-9,"2-Undecanon, natürlich Halal",0.000155,0.66875,-0.14011,-0.02869,0.04991,-0.45003
186.179P,warm,3,122-78-1,"Phenylacetaldehyd 10% in Triacetin, natürlich Halal",0.000104,0.61814,-0.12901,-0.02626,0.04521,-0.41766
186.179P,warm,4,104-55-2,Zimtaldehyd (trans) Halal,0.016207,0.59536,-0.11953,-0.01168,0.04682,-0.41733
186.179P,warm,5,600-14-6,Acetylpropionyl Halal,0.045913,0.58783,-0.12033,-0.02515,0.04366,-0.39869
186.179P,warm,6,66-25-1,Hexanal Kosher Halal,0.001542,0.39186,-0.01785,-0.02152,0.2663,0.08619
186.179P,warm,7,6728-26-3,trans-2-Hexenal Kosher Halal,0.002099,0.37019,0.00401,-0.02017,-0.09015,0.25586
186.179P,warm,8,513-86-0,Acetoin 50% in PG Kosher Halal,0.124058,0.33319,-0.01988,0.02971,0.07369,-0.20991
186.179P,warm,9,124-13-0,Octanal Halal,5.2e-05,0.28756,-0.06906,-0.03609,-0.00925,-0.17317
186.179P,warm,10,821-55-6,"2-Nonanon, natürlich Halal",0.000104,0.23249,-0.05235,-0.02069,0.01938,-0.14007
186.179P,warm,11,142-92-7,Hexylacetat Kosher Halal,3.9e-05,0.1681,-0.00207,0.00978,0.04163,-0.11461
186.179P,warm,12,3681-71-8,cis-3-Hexenylacetat Halal Kosher,2.6e-05,0.14034,-0.02739,0.00063,0.03762,-0.0747
186.179P,warm,13,16491-36-4,cis-3-Hexenylbutyrat Halal,0.017243,0.13052,-0.05477,-0.00827,-0.04291,-0.02456
186.179P,warm,14,106-32-1,Ethyloctanoat Halal Kosher,0.005286,0.10849,-0.04543,-0.01966,-0.03081,-0.01258
186.179P,warm,15,105-54-4,Ethylbutyrat Kosher Halal,0.18895,0.10691,-0.01616,-0.01467,-0.06118,0.01489
186.179P,warm,16,706-14-9,gamma-Decalacton Kosher Halal,0.012994,0.09339,-0.00283,0.02003,0.02066,-0.04987
186.179P,warm,17,118-71-8,Maltol Kosher Halal,0.001127,0.09182,-0.01115,-0.02202,0.01973,-0.03892
186.179P,warm,18,141-78-6,Ethylacetat Kosher Halal,0.00241,0.08748,-0.0366,0.03162,-0.01546,-0.0038
186.179P,warm,19,2305-21-7,trans-2-Hexen-1-ol Halal Kosher,3.9e-05,0.08243,0.00045,0.0043,0.02065,-0.05703
186.179P,warm,20,78-70-6,"Linalool ex HO, natürlich Kosher Halal BG",0.000117,0.07464,-0.02762,0.02398,-0.01997,-0.00307
186.190P,fruity,1,2305-21-7,trans-2-Hexen-1-ol Halal Kosher,0.036344,1.4256,-0.00774,-0.07445,-0.35708,0.98632
186.190P,fruity,2,706-14-9,gamma-Decalacton Kosher Halal,0.205744,0.68777,0.02081,-0.1475,-0.15219,0.36728
186.190P,fruity,3,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.344461,0.45276,0.04046,-0.04369,-0.1685,0.20011
186.190P,fruity,4,98-01-1,Furfural Halal,0.005772,0.3089,-0.04644,-0.01793,-0.07704,0.16748
186.190P,fruity,5,1754-62-7,Methyl-trans-cinnamat Halal,0.132256,0.23084,-0.02991,0.06319,-0.01847,0.11927
186.190P,fruity,6,100-52-7,Benzaldehyd Kosher Halal,0.002997,0.23071,-0.02285,-0.00425,-0.06404,0.13957
186.190P,fruity,7,24851-98-7,Methyldihydrojasmonat,0.004019,0.21119,-0.02291,-0.00813,-0.05986,0.12029
186.190P,fruity,8,142-92-7,Hexylacetat Kosher Halal,0.000155,0.16363,-0.00202,0.00952,0.04053,-0.11156
186.190P,fruity,9,659-70-1,Isoamylisovalerat Kosher Halal,0.000444,0.13967,0.00343,0.00643,0.03461,-0.09521
186.190P,fruity,10,3681-71-8,cis-3-Hexenylacetat Halal Kosher,0.000455,0.13344,-0.02605,0.0006,0.03577,-0.07103
186.190P,fruity,11,124-07-2,Octansäure,0.018316,0.12773,-0.02857,-0.03132,-0.04912,0.01872
186.190P,fruity,12,78-70-6,"Linalool ex HO, natürlich Kosher Halal BG",0.0001,0.07676,-0.0284,0.02466,-0.02054,-0.00316
186.190P,fruity,13,118-71-8,Maltol Kosher Halal,0.005983,0.07206,-0.00875,-0.01728,0.01549,-0.03054
186.190P,fruity,14,116-53-0,2-Methylbuttersäure Halal Kosher,0.105459,0.06705,0.00662,0.0393,-0.01845,0.00268
186.190P,fruity,15,105-54-4,Ethylbutyrat Kosher Halal,0.045725,0.05306,0.00802,0.00728,0.03036,-0.00739
186.190P,fruity,16,140-11-4,Benzylacetat Halal,8.9e-05,0.0443,-0.02383,-0.01332,0.00121,-0.00593
186.190P,fruity,17,123-66-0,Ethylhexanoat Halal,0.007615,0.04002,-0.00049,0.00383,0.02372,0.01198
186.190P,fruity,18,3658-77-3,Furaneol Halal,0.011876,0.0362,0.01761,0.00218,0.00174,-0.01466
186.190P,fruity,19,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,0.027497,0.03572,-0.00493,-0.01024,-0.00168,-0.01887
186.190P,fruity,20,142-62-1,Hexansäure kräftig,0.007216,0.02759,0.0025,0.00508,0.00662,-0.01339
186.192,fruity,1,2305-21-7,trans-2-Hexen-1-ol Halal Kosher,0.038718,1.52421,-0.00828,-0.0796,-0.38178,1.05455
186.192,fruity,2,706-14-9,gamma-Decalacton Kosher Halal,0.217035,0.73353,0.0222,-0.15732,-0.16231,0.39171
186.192,fruity,3,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.357089,0.47437,0.04239,-0.04577,-0.17654,0.20966
186.192,fruity,4,98-01-1,Furfural Halal,0.006147,0.32994,-0.04961,-0.01915,-0.08229,0.17889
186.192,fruity,5,100-52-7,Benzaldehyd Kosher Halal,0.003191,0.24783,-0.02454,-0.00457,-0.06879,0.14993
186.192,fruity,6,1754-62-7,Methyl-trans-cinnamat Halal,0.1369,0.24072,-0.03119,0.0659,-0.01926,0.12437
186.192,fruity,7,24851-98-7,Methyldihydrojasmonat,0.004275,0.22747,-0.02468,-0.00876,-0.06447,0.12956
186.192,fruity,8,118-71-8,Maltol Kosher Halal,0.006406,0.07034,-0.00854,-0.01687,0.01512,-0.02981
186.192,fruity,9,105-54-4,Ethylbutyrat Kosher Halal,0.044644,0.05426,0.0082,0.00745,0.03105,-0.00756
186.192,fruity,10,116-53-0,2-Methylbuttersäure Halal Kosher,0.089534,0.04716,0.00465,0.02764,-0.01298,0.00189
186.192,fruity,11,123-66-0,Ethylhexanoat Halal,0.003437,0.04652,-0.00057,0.00445,0.02757,0.01393
186.192,fruity,12,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,0.027631,0.03544,-0.00489,-0.01016,-0.00167,-0.01872
186.192,fruity,13,108-64-5,Ethylisovalerat Kosher Halal,0.010299,0.03028,0.00414,0.00848,-0.00494,0.01271
186.192,fruity,14,3658-77-3,Furaneol Halal,0.028752,0.02666,0.01297,0.00161,0.00128,-0.0108
186.192,fruity,15,141-78-6,Ethylacetat Kosher Halal,0.025784,0.02522,0.01055,-0.00912,0.00446,0.0011
186.192,fruity,16,134-20-3,Methylanthranilat Halal,0.000158,0.00168,0.00014,0.0006,-0.00039,-0.00055
186.277P,fruity,1,110-19-0,Isobutylacetat Halal,0.029665,0.89441,0.27992,0.45502,0.04984,-0.10963
186.277P,fruity,2,142-92-7,Hexylacetat Kosher Halal,0.024132,0.75649,0.00932,-0.04403,-0.18736,0.51578
186.277P,fruity,3,121-33-5,"Vanillin ex Eugenol, natürlich Halal Kosher, BG",0.211889,0.38834,0.06672,0.14184,-0.00284,0.17694
186.277P,fruity,4,64-18-6,"Ameisensäure 80%, natürlich Kosher, Halal",0.005886,0.20386,-0.04793,0.04701,-0.04374,-0.06518
186.277P,fruity,5,116-53-0,2-Methylbuttersäure Halal Kosher,0.163626,0.13972,0.01379,0.08189,-0.03845,0.00559
186.277P,fruity,6,111-27-3,Hexanol Kosher Halal,0.016304,0.10955,-0.0091,-0.01451,0.01537,0.07058
186.277P,fruity,7,1754-62-7,Methyl-trans-cinnamat Halal,0.059329,0.0756,-0.0098,0.0207,-0.00605,0.03906
