Rez.-Nr.,Rank,CAS,Ingredient,Norm_Totalmenge,Total_Contrib,PC1_Contrib,PC2_Contrib,PC3_Contrib,PC4_Contrib
185.294,7,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,0.014269,0.23909,-0.12864,0.02547,0.06674,0.01825
185.294,8,16491-36-4,cis-3-Hexenylbutyrat Halal,0.009206,0.23552,-0.02709,-0.01367,0.13533,0.05942
185.294,9,142-62-1,Hexansäure kräftig,0.02272,0.15593,0.10008,-0.00652,-0.0476,0.00173
185.294,10,3658-77-3,Furaneol Halal,0.014905,0.1439,-0.00037,-0.0524,-0.03981,-0.05131
185.294,11,141-78-6,Ethylacetat Kosher Halal,0.009802,0.11298,-0.03449,0.0149,-0.05427,0.00933
185.294,12,75-07-0,Acetaldehyd Halal Kosher,0.004968,0.10453,-0.00782,0.02086,0.05192,-0.02393
185.294,13,108-64-5,Ethylisovalerat Kosher Halal,0.013721,0.08305,0.01709,-0.01723,-0.0184,0.03033
185.294,14,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.058413,0.07841,-0.01222,-0.05786,-0.00614,-0.00219
185.294,15,116-53-0,2-Methylbuttersäure Halal Kosher,0.063811,0.07695,0.04252,0.01174,-0.02114,0.00155
185.294,16,123-66-0,Ethylhexanoat Halal,0.029962,0.05727,-0.02612,0.01341,-0.00372,0.01402
