Rez.-Nr.,Rank,CAS,Ingredient,Norm_Totalmenge,Total_Contrib,PC1_Contrib,PC2_Contrib,PC3_Contrib,PC4_Contrib
189.075,7,3681-71-8,cis-3-Hexenylacetat Halal Kosher,0.017615,0.25112,0.0954,0.02362,0.09599,-0.0361
189.075,8,659-70-1,Isoamylisovalerat Kosher Halal,0.004835,0.22033,0.05099,0.05178,-0.03101,0.08654
189.075,9,85-91-6,Dimethylanthranilat,0.001416,0.21807,0.01165,-0.1035,-0.08591,-0.017
189.075,10,123-66-0,Ethylhexanoat Halal,0.055953,0.21208,0.09674,-0.04965,0.01379,-0.0519
189.075,11,111-27-3,Hexanol Kosher Halal,0.010362,0.19796,0.01928,0.06012,-0.038,0.08057
189.075,12,3658-77-3,Furaneol Halal,0.145064,0.18253,0.00047,0.06647,0.0505,0.06509
189.075,13,142-92-7,Hexylacetat Kosher Halal,0.000345,0.17798,-0.02233,-0.03687,-0.04848,-0.07029
189.075,14,64-19-7,Essigsäure Halal Kosher,0.059756,0.17508,-0.00113,-0.04272,0.11389,0.01734
189.075,15,141-78-6,Ethylacetat Kosher Halal,0.003281,0.1665,-0.05083,0.02196,-0.07997,0.01374
189.075,16,142-62-1,Hexansäure kräftig,0.007599,0.12569,-0.08067,0.00526,0.03837,-0.00139
189.075,17,100-52-7,Benzaldehyd Kosher Halal,0.000691,0.11123,0.01987,0.08583,-0.00273,-0.0028
189.075,18,8022-96-6,Jasmin-Absolue (blumig) Halal,0.000484,0.07167,0.02583,-0.00216,-0.03693,-0.00675
189.075,19,79-09-4,Propionsäure Kosher Halal,0.000173,0.06312,-0.02284,0.0149,0.01475,-0.01063
189.075,20,108-64-5,Ethylisovalerat Kosher Halal,0.012434,0.06278,0.01292,-0.01303,-0.01391,0.02293
