Rez.-Nr.,PC1,PC2,PC3,PC4,PC5,Dominant_OT
185.028,-2.2889633233645457,-0.7996170457847578,-0.5013513503846538,0.5875433664212827,-0.36179958506784443,fresh
185.043P,-2.3540982054809314,-0.721755410965566,0.3437949693223101,0.7636995381019669,-1.0174774902177453,fresh
185.044,-2.354259810205813,-0.7181934413434765,0.34229444526002584,0.7634870257539981,-1.0177704539476584,fresh
185.046,-2.0045049929681054,-0.57964969106235,0.09174727239882179,0.9170850539972957,1.4873174573380077,fresh
185.086,-1.2996833175313305,-0.12533858631976866,-0.34763427786671686,0.014520597793049794,-0.3892964865374738,warm
185.090P,-1.14755863027344,-1.1675310947490012,-0.9865455254853709,0.9143533335248024,0.14449871637454,fruity
185.091,-1.1142398639456188,-0.2808186163097373,-0.07385872652385199,-0.21830760764115642,-0.20506925935637116,fruity
185.133,-1.1786739638697532,-0.5359961124946938,-0.30289920032774975,0.5683246982672225,-0.3078846127148493,fruity
185.178HP,-1.1127303505149837,-0.279861832712851,-0.07351915257395314,-0.2198759367503527,-0.20574329926783033,fruity
185.237H,-0.08223998766068881,-0.787108768034407,-0.11033201794290277,-0.17728074842713257,0.16127257927697008,fruity
185.239,-0.7598418682251399,-0.9151784842224038,-0.2782021781222128,-0.7295407944176169,-0.16445928736449741,fruity
185.267,0.3561099484932024,0.9356740950388279,-0.6040741284123666,1.6068032507189844,1.054179403395272,fruity
185.291,-1.4907419136013436,-0.6600777221779386,-0.19999914721438325,0.21888263605681035,0.059865373117319334,fresh
185.294,-0.7929666530363008,-0.4045570912124101,-0.1540677773236195,0.18505925185856215,-0.3812082301832074,fruity
185.309P,-3.298418588046866,-2.1406965763880463,-3.15320760421771,6.305255503495498,-1.0148627235286984,floral
185.314,-0.642025246991563,-0.4526975428117117,0.20418449769921043,0.04545705667231921,0.13025120305671808,fruity
185.321,0.054361388808035566,-0.46133567909493095,0.04921388787343286,-0.4816977594019687,0.06278171815827996,fruity
185.339P,-0.27859595781642255,-0.5298633406411648,-2.01213746394799,4.815534584519059,0.624116847924198,fruity
185.382P,-2.140022992905923,-0.5481727622305808,0.27095060344094846,-0.732382908721512,0.40053756906319987,fresh
185.471,2.6950702596800435,-0.7243217544760968,-2.028985013963889,1.5187465314712933,-0.07277889541228427,fruity
185.507P,-2.360925251511475,0.8714863921185891,-1.25075582315664,0.06961717327430784,-0.38203438193195877,warm
185.513P,-2.0586123483423515,1.167969812049372,-1.081903916482929,0.1664263682418274,0.5936851490891438,fresh
185.514,-1.2751671692953825,-1.008373022672152,-0.13458258801487935,0.49287465013841175,-0.2000822400026631,fruity
185.578P,4.922514197350201,-0.9675500209512959,0.46768690298443344,-2.3151107349854985,-0.722595201655163,fruity
