CAS,Ingredient,Frequency,Recipes_Count,Avg_Norm_When_Present,Avg_Norm_All_Recipes
98-01-1,Furfural Halal,0.023,2,0.00596,0.000137
68917-33-9,Zitronenterpene Kosher Halal,0.023,2,0.006593,0.000152
6378-65-0,Hexylhexanoat Kosher Halal,0.023,2,0.012392,0.000285
8008-79-5,Grüne Minze-Öl Amerikanisch,0.023,2,0.000414,1e-05
6290-17-1,Fraiston Halal Kosher,0.023,2,0.008149,0.000187
624-41-9,2-Methylbutylacetat Kosher Halal,0.023,2,0.001083,2.5e-05
765-70-8,Cycloten Halal Kosher,0.023,2,0.003208,7.4e-05
334-48-5,Decansäure,0.023,2,0.021368,0.000491
33467-73-1,cis-3-Hexenylformiat Kosher Halal,0.023,2,0.002483,5.7e-05
53398-85-9,cis-3-Hexenyl-2-methylbutyrat,0.023,2,0.000354,8e-06
503-74-2,Isovaleriansäure Halal,0.023,2,0.000664,1.5e-05
100-51-6,Benzylalkohol Halal,0.023,2,0.000837,1.9e-05
27625-35-0,"Isoamyl-2-methylbutyrat, natürlich",0.023,2,0.00409,9.4e-05
98-86-2,"Acetophenon, natürlich Halal",0.023,2,0.000781,1.8e-05
103-37-7,Benzylbutyrat,0.023,2,0.001379,3.2e-05
110-43-0,2-Heptanon Halal,0.023,2,0.009965,0.000229
106-72-9  ,"Melonal, natürlich Kosher Halal",0.023,2,2e-05,0.0
123-86-4,Butylacetat Kosher Halal,0.023,2,0.000759,1.7e-05
10191-41-0,DL-Alpha-Tocopherol Halal,0.0115,1,0.000345,4e-06
109-19-3,Butylisovalerat Halal,0.0115,1,0.001321,1.5e-05
4643-27-0,2-Octen-4-on,0.0115,1,0.00114,1.3e-05
50-81-7,"Vitamin C (Ascorbinsäure E300) Kosher Halal, BG",0.0115,1,0.02195,0.000252
123-25-1,Diethylsuccinat,0.0115,1,0.00044,5e-06
540-18-1,Amylbutyrat,0.0115,1,0.015147,0.000174
120-57-0,Heliotropin Halal,0.0115,1,0.000246,3e-06
617-35-6,"Ethylpyruvat, natürlich",0.0115,1,0.001275,1.5e-05
61931-81-5 ,"cis-3-Hexenyllactat, natürlich Halal",0.0115,1,0.003281,3.8e-05
623-70-1,"Ethyl-trans-2-crotonat, natürlich Halal",0.0115,1,0.000298,3e-06
