Rez.-Nr.,Dom_OT,PC1_score,PC1_top1_cas,PC1_top1_name,PC1_top1_contrib,PC1_top2_cas,PC1_top2_name,PC1_top2_contrib,PC1_top3_cas,PC1_top3_name,PC1_top3_contrib,PC1_top4_cas,PC1_top4_name,PC1_top4_contrib,PC1_top5_cas,PC1_top5_name,PC1_top5_contrib,PC2_score,PC2_top1_cas,PC2_top1_name,PC2_top1_contrib,PC2_top2_cas,PC2_top2_name,PC2_top2_contrib,PC2_top3_cas,PC2_top3_name,PC2_top3_contrib,PC2_top4_cas,PC2_top4_name,PC2_top4_contrib,PC2_top5_cas,PC2_top5_name,PC2_top5_contrib,PC3_score,PC3_top1_cas,PC3_top1_name,PC3_top1_contrib,PC3_top2_cas,PC3_top2_name,PC3_top2_contrib,PC3_top3_cas,PC3_top3_name,PC3_top3_contrib,PC3_top4_cas,PC3_top4_name,PC3_top4_contrib,PC3_top5_cas,PC3_top5_name,PC3_top5_contrib,PC4_score,PC4_top1_cas,PC4_top1_name,PC4_top1_contrib,PC4_top2_cas,PC4_top2_name,PC4_top2_contrib,PC4_top3_cas,PC4_top3_name,PC4_top3_contrib,PC4_top4_cas,PC4_top4_name,PC4_top4_contrib,PC4_top5_cas,PC4_top5_name,PC4_top5_contrib
186.490P,fruity,-0.224,1754-62-7,Methyl-trans-cinnamat Halal,0.22601,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,0.21264,124-13-0,Octanal Halal,-0.20984,706-14-9,gamma-Decalacton Kosher Halal,-0.16907,78-70-6,Linalool ex HO,0.14688,1.3545,78-70-6,Linalool ex HO,0.84186,6728-26-3,trans-2-Hexenal Kosher Halal,0.48118,7212-44-4,Nerolidol,0.33937,124-13-0,Octanal Halal,0.22748,103-54-8,Cinnamylacetat,0.2045,-0.4997,78-70-6,Linalool ex HO,0.68283,124-13-0,Octanal Halal,-0.21473,6728-26-3,trans-2-Hexenal Kosher Halal,-0.20207,7212-44-4,Nerolidol,-0.13562,103-54-8,Cinnamylacetat,-0.12,-1.2635,24851-98-7,Methyldihydrojasmonat,-0.41978,78-70-6,Linalool ex HO,0.36122,6728-26-3,trans-2-Hexenal Kosher Halal,-0.21934,103-54-8,Cinnamylacetat,-0.20668,124-13-0,Octanal Halal,-0.17133
186.569P,fruity,-1.3858,67-64-1,Aceton,0.18506,706-14-9,gamma-Decalacton Kosher Halal,-0.18238,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,-0.1742,142-62-1,Hexansäure kräftig,-0.14861,1754-62-7,Methyl-trans-cinnamat Halal,-0.11516,-0.8748,103-26-4,Methyl-trans-cinnamat,-0.09009,513-86-0,Acetoin 50% in PG Kosher Halal,-0.0895,78-70-6,Linalool ex HO,-0.07571,14901-07-6,beta-Ionon Halal Kosher,-0.06469,7212-44-4,Nerolidol,-0.05926,-0.6935,67-64-1,Aceton,-0.12191,142-92-7,Hexylacetat Kosher Halal,-0.09334,659-70-1,Isoamylisovalerat Kosher Halal,-0.09099,111-27-3,Hexanol Kosher Halal,-0.06918,78-70-6,Linalool ex HO,-0.06141,0.5671,141-12-8,Nerylacetat Halal,0.13656,67-64-1,Aceton,0.09626,3658-77-3,Furaneol Halal,0.06954,118-71-8,Maltol Kosher Halal,0.06181,64-19-7,Essigsäure Halal Kosher,0.05156
186.821,fruity,-1.2155,116-53-0,2-Methylbuttersäure Halal Kosher,-0.12948,142-62-1,Hexansäure kräftig,-0.11952,1754-62-7,Methyl-trans-cinnamat Halal,-0.11516,123-66-0,Ethylhexanoat Halal,0.09768,3681-71-8,cis-3-Hexenylacetat Halal Kosher,-0.08922,-0.5212,103-26-4,Methyl-trans-cinnamat,0.23174,513-86-0,Acetoin 50% in PG Kosher Halal,-0.0895,928-96-1,cis-3-Hexen-1-ol Halal Kosher,-0.08596,78-70-6,Linalool ex HO,-0.07571,14901-07-6,beta-Ionon Halal Kosher,-0.06469,-0.2854,105-57-7,Acetal Halal,0.29031,142-92-7,Hexylacetat Kosher Halal,-0.09334,659-70-1,Isoamylisovalerat Kosher Halal,-0.09099,111-27-3,Hexanol Kosher Halal,-0.06918,3681-71-8,cis-3-Hexenylacetat Halal Kosher,-0.06629,0.5565,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.15502,3658-77-3,Furaneol Halal,0.0822,105-57-7,Acetal Halal,0.07524,118-71-8,Maltol Kosher Halal,0.06181,3681-71-8,cis-3-Hexenylacetat Halal Kosher,0.05959
186.950P,fruity,-1.141,7011-83-8,Lactojasmon,0.45556,105-54-4,Ethylbutyrat Kosher Halal,-0.21035,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,-0.1911,142-62-1,Hexansäure kräftig,0.19094,706-14-9,gamma-Decalacton Kosher Halal,-0.14169,-2.9904,61931-81-5,cis-3-Hexenyllactat Halal,-0.4646,1632-73-1,Fenchol Halal,-0.46458,698-76-0,delta-Octalacton,-0.46424,7011-83-8,Lactojasmon,-0.26133,98-01-1,Furfural Halal,-0.25592,-0.4551,142-92-7,Hexylacetat Kosher Halal,-0.09334,659-70-1,Isoamylisovalerat Kosher Halal,-0.09099,111-27-3,Hexanol Kosher Halal,-0.06918,78-70-6,Linalool ex HO,-0.06141,3681-71-8,cis-3-Hexenylacetat Halal Kosher,-0.04788,-5.8669,61931-81-5,cis-3-Hexenyllactat Halal,-1.22145,1632-73-1,Fenchol Halal,-1.22145,698-76-0,delta-Octalacton,-1.22011,7011-83-8,Lactojasmon,-0.94675,98-01-1,Furfural Halal,-0.65669
186.981P,fruity,2.3778,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,0.71278,706-14-9,gamma-Decalacton Kosher Halal,0.57288,659-70-1,Isoamylisovalerat Kosher Halal,0.33394,1365-19-1,Linalooloxid,0.31725,78-70-6,Linalool ex HO,0.19021,2.4863,78-70-6,Linalool ex HO,1.09022,1365-19-1,Linalooloxid,0.66271,100-52-7,Benzaldehyd Kosher Halal,0.63796,103-26-4,Methyl-trans-cinnamat,0.17004,659-70-1,Isoamylisovalerat Kosher Halal,0.11109,3.07,1365-19-1,Linalooloxid,1.41343,78-70-6,Linalool ex HO,0.88428,659-70-1,Isoamylisovalerat Kosher Halal,0.64762,142-92-7,Hexylacetat Kosher Halal,0.13465,106-27-4,Isoamylbutyrat Halal,0.08234,0.1156,100-52-7,Benzaldehyd Kosher Halal,-0.51075,78-70-6,Linalool ex HO,0.46779,1365-19-1,Linalooloxid,0.21321,106-27-4,Isoamylbutyrat Halal,-0.16601,3658-77-3,Furaneol Halal,0.08067
186.985P,warm,-1.3896,503-74-2,Isovaleriansäure Halal,0.49151,127-41-3,alpha-Ionon Halal Kosher,-0.23588,706-14-9,gamma-Decalacton Kosher Halal,-0.20066,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,-0.19459,142-62-1,Hexansäure kräftig,-0.14868,-0.9705,503-74-2,Isovaleriansäure Halal,-0.2085,127-41-3,alpha-Ionon Halal Kosher,-0.20538,14901-07-6,beta-Ionon Halal Kosher,0.19484,513-86-0,Acetoin 50% in PG Kosher Halal,-0.0895,928-96-1,cis-3-Hexen-1-ol Halal Kosher,-0.08589,-0.922,127-41-3,alpha-Ionon Halal Kosher,-0.32332,503-74-2,Isovaleriansäure Halal,-0.15021,85-91-6,Dimethylanthranilat,0.14948,142-92-7,Hexylacetat Kosher Halal,-0.09334,659-70-1,Isoamylisovalerat Kosher Halal,-0.07904,0.8139,127-41-3,alpha-Ionon Halal Kosher,0.70833,503-74-2,Isovaleriansäure Halal,-0.21177,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.15489,3658-77-3,Furaneol Halal,0.0822,119-36-8,Methylsalicylat Halal,-0.06826
187.004P,fruity,-0.4657,141-78-6,Ethylacetat Kosher Halal,0.38834,116-53-0,2-Methylbuttersäure Halal Kosher,-0.12916,1754-62-7,Methyl-trans-cinnamat Halal,-0.11516,78-70-6,Linalool ex HO,0.10734,706-14-9,gamma-Decalacton Kosher Halal,0.10145,1.0629,78-70-6,Linalool ex HO,0.61524,68647-72-3,Orangenterpene,0.32728,97-53-0,Eugenol Halal,0.16365,60-12-8,Phenethylalkohol Halal,0.14071,120-51-4,Benzylbenzoat Halal,0.12771,-2.0096,97-53-0,Eugenol Halal,-0.55794,78-70-6,Linalool ex HO,0.49902,68647-72-3,Orangenterpene,-0.4089,122-78-1 /  64-17-5,Phenylacetaldehyd 10% in Ethanol,-0.40009,120-51-4,Benzylbenzoat Halal,-0.37193,14.1975,120-51-4,Benzylbenzoat Halal,2.82614,97-53-0,Eugenol Halal,2.71328,60-12-8,Phenethylalkohol Halal,2.704,68647-72-3,Orangenterpene,2.65711,122-78-1 /  64-17-5,Phenylacetaldehyd 10% in Ethanol,2.55269
187.015P,fruity,0.5278,28664-35-9,Sotolon Halal,0.37625,66-25-1,Hexanal Kosher Halal,0.31733,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,0.17019,141-78-6,Ethylacetat Kosher Halal,0.16119,105-54-4,Ethylbutyrat Kosher Halal,-0.16077,5.565,123-86-4,Butylacetat Kosher Halal,1.9687,110-38-3,Ethyldecanoat Halal,1.03277,623-42-7,Methylbutyrat Halal,0.75499,66-25-1,Hexanal Kosher Halal,0.66924,28664-35-9,Sotolon Halal,0.64058,9.4521,110-38-3,Ethyldecanoat Halal,2.27349,66-25-1,Hexanal Kosher Halal,1.6291,28664-35-9,Sotolon Halal,1.61216,623-42-7,Methylbutyrat Halal,1.51474,123-86-4,Butylacetat Kosher Halal,1.0162,8.5493,110-38-3,Ethyldecanoat Halal,1.65001,623-42-7,Methylbutyrat Halal,1.5564,66-25-1,Hexanal Kosher Halal,1.43798,28664-35-9,Sotolon Halal,1.34771,123-86-4,Butylacetat Kosher Halal,1.01363
187.061P,fruity,-1.6161,105-54-4,Ethylbutyrat Kosher Halal,-0.17955,706-14-9,gamma-Decalacton Kosher Halal,-0.16708,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,-0.15925,142-62-1,Hexansäure kräftig,-0.15062,116-53-0,2-Methylbuttersäure Halal Kosher,-0.12948,-0.4442,106-70-7,Methylhexanoat,0.17911,103-26-4,Methyl-trans-cinnamat,-0.09009,513-86-0,Acetoin 50% in PG Kosher Halal,-0.0895,928-96-1,cis-3-Hexen-1-ol Halal Kosher,-0.07949,78-70-6,Linalool ex HO,-0.07571,0.1593,106-70-7,Methylhexanoat,0.39921,623-42-7,Methylbutyrat Halal,0.07825,111-27-3,Hexanol Kosher Halal,-0.06918,78-70-6,Linalool ex HO,-0.06141,3658-77-3,Furaneol Halal,0.0603,0.2203,106-70-7,Methylhexanoat,0.14379,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.14335,3658-77-3,Furaneol Halal,-0.1246,623-42-7,Methylbutyrat Halal,0.0804,2305-21-7,trans-2-Hexen-1-ol Halal Kosher,-0.05575
187.064P,fruity,0.8666,706-14-9,gamma-Decalacton Kosher Halal,0.35591,3681-71-8,cis-3-Hexenylacetat Halal Kosher,0.3249,106-27-4,Isoamylbutyrat Halal,0.28434,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,0.18209,105-54-4,Ethylbutyrat Kosher Halal,0.16524,0.0151,103-26-4,Methyl-trans-cinnamat,0.56569,3681-71-8,cis-3-Hexenylacetat Halal Kosher,0.17805,106-27-4,Isoamylbutyrat Halal,-0.08955,513-86-0,Acetoin 50% in PG Kosher Halal,-0.0895,928-96-1,cis-3-Hexen-1-ol Halal Kosher,-0.0825,0.1761,106-27-4,Isoamylbutyrat Halal,0.25406,3681-71-8,cis-3-Hexenylacetat Halal Kosher,0.24142,142-92-7,Hexylacetat Kosher Halal,-0.09334,659-70-1,Isoamylisovalerat Kosher Halal,-0.09099,3658-77-3,Furaneol Halal,0.08961,-0.7481,106-27-4,Isoamylbutyrat Halal,-0.51221,3681-71-8,cis-3-Hexenylacetat Halal Kosher,-0.217,3658-77-3,Furaneol Halal,-0.18515,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.14878,108-64-5,Ethylisovalerat Kosher Halal,-0.08123
187.119P,fruity,-1.6239,105-54-4,Ethylbutyrat Kosher Halal,-0.19018,706-14-9,gamma-Decalacton Kosher Halal,-0.17495,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,-0.15919,123-66-0,Ethylhexanoat Halal,-0.13147,1754-62-7,Methyl-trans-cinnamat Halal,-0.11516,-0.6322,513-86-0,Acetoin 50% in PG Kosher Halal,-0.0895,78-70-6,Linalool ex HO,-0.07571,928-96-1,cis-3-Hexen-1-ol Halal Kosher,-0.06791,14901-07-6,beta-Ionon Halal Kosher,-0.06469,7212-44-4,Nerolidol,-0.05926,-0.4254,142-92-7,Hexylacetat Kosher Halal,-0.06187,78-70-6,Linalool ex HO,-0.06141,3681-71-8,cis-3-Hexenylacetat Halal Kosher,-0.05892,928-96-1,cis-3-Hexen-1-ol Halal Kosher,-0.04921,111-27-3,Hexanol Kosher Halal,-0.04276,0.2869,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.12247,3658-77-3,Furaneol Halal,0.06853,118-71-8,Maltol Kosher Halal,0.05899,64-19-7,Essigsäure Halal Kosher,0.05695,3681-71-8,cis-3-Hexenylacetat Halal Kosher,0.05296
