Rez.-Nr.,PC1_score,PC1_top1_cas,PC1_top1_name,PC1_top1_contrib,PC1_top2_cas,PC1_top2_name,PC1_top2_contrib,PC1_top3_cas,PC1_top3_name,PC1_top3_contrib,PC1_top4_cas,PC1_top4_name,PC1_top4_contrib,PC1_top5_cas,PC1_top5_name,PC1_top5_contrib,PC2_score,PC2_top1_cas,PC2_top1_name,PC2_top1_contrib,PC2_top2_cas,PC2_top2_name,PC2_top2_contrib,PC2_top3_cas,PC2_top3_name,PC2_top3_contrib,PC2_top4_cas,PC2_top4_name,PC2_top4_contrib,PC2_top5_cas,PC2_top5_name,PC2_top5_contrib,PC3_score,PC3_top1_cas,PC3_top1_name,PC3_top1_contrib,PC3_top2_cas,PC3_top2_name,PC3_top2_contrib,PC3_top3_cas,PC3_top3_name,PC3_top3_contrib,PC3_top4_cas,PC3_top4_name,PC3_top4_contrib,PC3_top5_cas,PC3_top5_name,PC3_top5_contrib,PC4_score,PC4_top1_cas,PC4_top1_name,PC4_top1_contrib,PC4_top2_cas,PC4_top2_name,PC4_top2_contrib,PC4_top3_cas,PC4_top3_name,PC4_top3_contrib,PC4_top4_cas,PC4_top4_name,PC4_top4_contrib,PC4_top5_cas,PC4_top5_name,PC4_top5_contrib
185.741P,-2.2888,105-66-8,Propylbutyrat Kosher,-0.40453,103-37-7,Benzylbutyrat,-0.31013,119-36-8,Methylsalicylat Halal,-0.21148,142-62-1,Hexansäure kräftig,-0.1715,123-66-0,Ethylhexanoat Halal,-0.15809,-0.4,706-14-9,gamma-Decalacton Kosher Halal,-0.23809,100-52-7,Benzaldehyd Kosher Halal,0.18149,1754-62-7,Methyl-trans-cinnamat Halal,-0.11975,103-37-7,Benzylbutyrat,-0.08736,123-66-0,Ethylhexanoat Halal,0.08114,-0.3588,1754-62-7,Methyl-trans-cinnamat Halal,-0.10567,142-62-1,Hexansäure kräftig,0.08157,64-19-7,Essigsäure Halal Kosher,-0.07821,116-53-0,2-Methylbuttersäure Halal Kosher,0.07769,103-37-7,Benzylbutyrat,-0.0719,0.7676,103-37-7,Benzylbutyrat,0.2266,119-36-8,Methylsalicylat Halal,0.21634,105-66-8,Propylbutyrat Kosher,0.15908,706-14-9,gamma-Decalacton Kosher Halal,0.10414,659-70-1,Isoamylisovalerat Kosher Halal,-0.09831
185.984P,3.3374,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,1.19905,142-62-1,Hexansäure kräftig,0.89156,123-51-3,Isoamylalkohol Kosher Halal,0.59822,116-53-0,2-Methylbuttersäure Halal Kosher,0.5539,8022-96-6,Jasmin-Absolue (blumig) Halal,0.47569,-0.8779,706-14-9,gamma-Decalacton Kosher Halal,0.32438,928-96-1,cis-3-Hexen-1-ol Halal Kosher,-0.24421,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,-0.23738,103-26-4,Methyl-trans-cinnamat,-0.21734,123-51-3,Isoamylalkohol Kosher Halal,-0.18402,-3.641,123-51-3,Isoamylalkohol Kosher Halal,-0.7259,8022-96-6,Jasmin-Absolue (blumig) Halal,-0.67995,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,-0.62209,142-62-1,Hexansäure kräftig,-0.42406,116-53-0,2-Methylbuttersäure Halal Kosher,-0.27541,-0.6553,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,-0.17007,706-14-9,gamma-Decalacton Kosher Halal,-0.14189,123-51-3,Isoamylalkohol Kosher Halal,-0.14086,8022-96-6,Jasmin-Absolue (blumig) Halal,-0.12429,659-70-1,Isoamylisovalerat Kosher Halal,-0.09831
186.190P,-0.7662,706-14-9,gamma-Decalacton Kosher Halal,0.74007,106-30-9,Ethylheptanoat,-0.39522,16409-45-3,Menthylacetat,-0.36479,124-07-2,Octansäure,-0.21431,1754-62-7,Methyl-trans-cinnamat Halal,0.1955,10.3221,10544-63-5,Ethyl-trans-2-crotonat,1.96933,98-01-1,Furfural Halal,1.65696,2305-21-7,trans-2-Hexen-1-ol Halal Kosher,1.53635,706-14-9,gamma-Decalacton Kosher Halal,1.20704,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.87707,0.9722,124-07-2,Octansäure,0.8121,1754-62-7,Methyl-trans-cinnamat Halal,0.41108,106-30-9,Ethylheptanoat,-0.20697,16409-45-3,Menthylacetat,-0.1952,10544-63-5,Ethyl-trans-2-crotonat,0.19378,-4.4595,10544-63-5,Ethyl-trans-2-crotonat,-0.92415,98-01-1,Furfural Halal,-0.68904,2305-21-7,trans-2-Hexen-1-ol Halal Kosher,-0.6145,706-14-9,gamma-Decalacton Kosher Halal,-0.52798,106-30-9,Ethylheptanoat,-0.41012
186.192,0.3083,706-14-9,gamma-Decalacton Kosher Halal,0.7887,1754-62-7,Methyl-trans-cinnamat Halal,0.20413,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.19397,105-54-4,Ethylbutyrat Kosher Halal,-0.18017,142-62-1,Hexansäure kräftig,-0.1715,7.7247,98-01-1,Furfural Halal,1.76713,2305-21-7,trans-2-Hexen-1-ol Halal Kosher,1.63995,706-14-9,gamma-Decalacton Kosher Halal,1.28635,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.91834,24851-98-7,Methyldihydrojasmonat,0.82219,0.4569,1754-62-7,Methyl-trans-cinnamat Halal,0.42923,98-01-1,Furfural Halal,0.1452,2305-21-7,trans-2-Hexen-1-ol Halal Kosher,0.13194,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.09748,142-62-1,Hexansäure kräftig,0.08157,-2.4807,98-01-1,Furfural Halal,-0.73485,2305-21-7,trans-2-Hexen-1-ol Halal Kosher,-0.65594,706-14-9,gamma-Decalacton Kosher Halal,-0.56267,24851-98-7,Methyldihydrojasmonat,-0.24266,1754-62-7,Methyl-trans-cinnamat Halal,-0.21538
186.277P,1.67,110-19-0,Isobutylacetat Halal,0.92481,116-53-0,2-Methylbuttersäure Halal Kosher,0.40327,142-62-1,Hexansäure kräftig,0.29848,64-18-6,Ameisensäure 80%,0.16021,142-92-7,Hexylacetat Kosher Halal,0.15322,-0.1071,110-19-0,Isobutylacetat Halal,-0.46081,121-33-5,Vanillin ex Eugenol,-0.27708,142-92-7,Hexylacetat Kosher Halal,0.25298,1754-62-7,Methyl-trans-cinnamat Halal,0.14295,111-27-3,Hexanol Kosher Halal,0.13062,1.4503,64-18-6,Ameisensäure 80%,0.7724,121-33-5,Vanillin ex Eugenol,0.54337,142-92-7,Hexylacetat Kosher Halal,0.33261,110-19-0,Isobutylacetat Halal,0.24664,116-53-0,2-Methylbuttersäure Halal Kosher,-0.20051,1.6095,121-33-5,Vanillin ex Eugenol,0.72859,142-92-7,Hexylacetat Kosher Halal,0.48222,64-18-6,Ameisensäure 80%,0.31245,110-19-0,Isobutylacetat Halal,-0.19526,111-27-3,Hexanol Kosher Halal,0.17507
186.821,-3.0669,626-77-7,Propylhexanoat,-0.82344,67-63-0,Isopropanol Halal,-0.81601,106-30-9,Ethylheptanoat,-0.33642,116-53-0,2-Methylbuttersäure Halal Kosher,-0.18811,142-62-1,Hexansäure kräftig,-0.1413,-1.6774,626-77-7,Propylhexanoat,-0.36495,67-63-0,Isopropanol Halal,-0.35633,928-96-1,cis-3-Hexen-1-ol Halal Kosher,-0.24878,706-14-9,gamma-Decalacton Kosher Halal,-0.12423,1754-62-7,Methyl-trans-cinnamat Halal,-0.11975,-2.0899,626-77-7,Propylhexanoat,-0.64762,67-63-0,Isopropanol Halal,-0.64254,106-30-9,Ethylheptanoat,-0.17618,1754-62-7,Methyl-trans-cinnamat Halal,-0.10567,103-26-4,Methyl-trans-cinnamat,-0.09871,-2.0737,626-77-7,Propylhexanoat,-0.72118,67-63-0,Isopropanol Halal,-0.71787,106-30-9,Ethylheptanoat,-0.34911,659-70-1,Isoamylisovalerat Kosher Halal,-0.09831,111-27-3,Hexanol Kosher Halal,-0.08422
186.981P,6.185,2639-63-6,Hexylbutyrat Halal Kosher,1.09315,8008-56-8,Zitronen-Öl italienisch Kosher Hala,1.09315,1365-19-1,Linalooloxid,1.09315,78-70-6,Linalool ex HO,0.7496,123-92-2,Isoamylacetat Halal,0.61944,5.7558,2639-63-6,Hexylbutyrat Halal Kosher,1.09814,1365-19-1,Linalooloxid,1.09814,8008-56-8,Zitronen-Öl italienisch Kosher Hala,1.09814,78-70-6,Linalool ex HO,1.01882,100-52-7,Benzaldehyd Kosher Halal,0.9566,-7.1954,78-70-6,Linalool ex HO,-1.48775,2639-63-6,Hexylbutyrat Halal Kosher,-1.43425,8008-56-8,Zitronen-Öl italienisch Kosher Hala,-1.43425,1365-19-1,Linalooloxid,-1.43425,123-86-4,Butylacetat Kosher Halal,-0.42578,2.4163,659-70-1,Isoamylisovalerat Kosher Halal,0.61859,78-70-6,Linalool ex HO,0.51484,2639-63-6,Hexylbutyrat Halal Kosher,0.50072,1365-19-1,Linalooloxid,0.50072,8008-56-8,Zitronen-Öl italienisch Kosher Hala,0.50072
187.064P,1.8076,106-27-4,Isoamylbutyrat Halal,0.50942,3681-71-8,cis-3-Hexenylacetat Halal Kosher,0.31277,105-54-4,Ethylbutyrat Kosher Halal,0.30492,706-14-9,gamma-Decalacton Kosher Halal,0.30271,103-26-4,Methyl-trans-cinnamat,0.25706,-0.9237,706-14-9,gamma-Decalacton Kosher Halal,0.49372,103-26-4,Methyl-trans-cinnamat,-0.37531,928-96-1,cis-3-Hexen-1-ol Halal Kosher,-0.24027,3658-77-3,Furaneol Halal,0.14809,105-54-4,Ethylbutyrat Kosher Halal,-0.14539,-0.5841,103-26-4,Methyl-trans-cinnamat,-0.46579,3681-71-8,cis-3-Hexenylacetat Halal Kosher,0.31471,106-27-4,Isoamylbutyrat Halal,0.15122,3658-77-3,Furaneol Halal,0.11251,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,-0.10798,0.5552,106-27-4,Isoamylbutyrat Halal,0.74814,706-14-9,gamma-Decalacton Kosher Halal,-0.21596,108-64-5,Ethylisovalerat Kosher Halal,0.14622,3658-77-3,Furaneol Halal,0.145,3681-71-8,cis-3-Hexenylacetat Halal Kosher,-0.11836
187.119P,-2.394,91722-21-3,Stevia-Aroma (FMP; 4% Reb A; MD) Ha,-0.42313,8031-03-6,Mimosa-Absolue,-0.42313,105-54-4,Ethylbutyrat Kosher Halal,-0.30899,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,-0.17453,116-53-0,2-Methylbuttersäure Halal Kosher,-0.17413,-0.9606,928-96-1,cis-3-Hexen-1-ol Halal Kosher,-0.23057,706-14-9,gamma-Decalacton Kosher Halal,-0.22512,91722-21-3,Stevia-Aroma (FMP; 4% Reb A; MD) Ha,-0.18328,8031-03-6,Mimosa-Absolue,-0.18328,105-54-4,Ethylbutyrat Kosher Halal,0.14733,-0.4101,1754-62-7,Methyl-trans-cinnamat Halal,-0.10567,141-78-6,Ethylacetat Kosher Halal,-0.09291,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,0.09055,116-53-0,2-Methylbuttersäure Halal Kosher,0.08658,91722-21-3,Stevia-Aroma (FMP; 4% Reb A; MD) Ha,-0.08174,0.0722,706-14-9,gamma-Decalacton Kosher Halal,0.09847,123-66-0,Ethylhexanoat Halal,0.08726,111-27-3,Hexanol Kosher Halal,-0.07207,105-54-4,Ethylbutyrat Kosher Halal,0.07003,53398-85-9,cis-3-Hexenyl-2-methylbutyrat,-0.06799
187.167P,5.481,103-36-6,Ethylcinnamat Halal,0.98424,8016-03-3,Davana-Öl,0.80817,78-83-1,Isobutanol Halal,0.80467,105-54-4,Ethylbutyrat Kosher Halal,0.77474,123-66-0,Ethylhexanoat Halal,0.67364,-3.3251,8016-03-3,Davana-Öl,-0.69542,103-36-6,Ethylcinnamat Halal,-0.67702,78-83-1,Isobutanol Halal,-0.47754,105-54-4,Ethylbutyrat Kosher Halal,-0.36941,123-66-0,Ethylhexanoat Halal,-0.34574,-0.4798,8016-03-3,Davana-Öl,-0.19246,116-53-0,2-Methylbuttersäure Halal Kosher,-0.1904,141-78-6,Ethylacetat Kosher Halal,0.17202,103-36-6,Ethylcinnamat Halal,-0.1663,142-62-1,Hexansäure kräftig,-0.16518,-2.339,103-36-6,Ethylcinnamat Halal,-0.47361,78-83-1,Isobutanol Halal,-0.47057,8016-03-3,Davana-Öl,-0.39889,123-66-0,Ethylhexanoat Halal,-0.36143,105-54-4,Ethylbutyrat Kosher Halal,-0.17559
187.246P,1.9824,123-92-2,Isoamylacetat Halal,0.77667,142-62-1,Hexansäure kräftig,0.76532,110-19-0,Isobutylacetat Halal,0.33187,66-25-1,Hexanal Kosher Halal,0.25209,141-78-6,Ethylacetat Kosher Halal,0.22764,-1.1685,928-96-1,cis-3-Hexen-1-ol Halal Kosher,-0.21889,110-19-0,Isobutylacetat Halal,-0.16536,123-92-2,Isoamylacetat Halal,-0.1403,1754-62-7,Methyl-trans-cinnamat Halal,-0.11975,141-78-6,Ethylacetat Kosher Halal,-0.09834,0.1017,142-62-1,Hexansäure kräftig,-0.36402,141-78-6,Ethylacetat Kosher Halal,0.35818,64-19-7,Essigsäure Halal Kosher,0.19485,1754-62-7,Methyl-trans-cinnamat Halal,-0.10567,66-25-1,Hexanal Kosher Halal,0.09528,-0.7696,123-92-2,Isoamylacetat Halal,-0.52052,659-70-1,Isoamylisovalerat Kosher Halal,-0.09831,66-25-1,Hexanal Kosher Halal,0.0927,111-27-3,Hexanol Kosher Halal,-0.08422,142-92-7,Hexylacetat Kosher Halal,-0.07831
187.365,0.3772,3681-71-8,cis-3-Hexenylacetat Halal Kosher,0.31285,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,0.14856,142-62-1,Hexansäure kräftig,0.1473,105-54-4,Ethylbutyrat Kosher Halal,-0.14535,123-66-0,Ethylhexanoat Halal,-0.12192,0.6289,2305-21-7,trans-2-Hexen-1-ol Halal Kosher,0.69455,118-71-8,Maltol Kosher Halal,0.28483,3658-77-3,Furaneol Halal,0.16373,103-26-4,Methyl-trans-cinnamat,-0.15437,1754-62-7,Methyl-trans-cinnamat Halal,-0.11975,-0.0923,3681-71-8,cis-3-Hexenylacetat Halal Kosher,0.3148,103-26-4,Methyl-trans-cinnamat,-0.19158,64-19-7,Essigsäure Halal Kosher,0.12546,3658-77-3,Furaneol Halal,0.12439,590-86-3,Isovaleraldehyd Halal,-0.11071,0.0636,2305-21-7,trans-2-Hexen-1-ol Halal Kosher,-0.27781,118-71-8,Maltol Kosher Halal,0.16115,3658-77-3,Furaneol Halal,0.16031,3681-71-8,cis-3-Hexenylacetat Halal Kosher,-0.11839,659-70-1,Isoamylisovalerat Kosher Halal,-0.09831
187.414P,-0.3058,123-92-2,Isoamylacetat Halal,0.51358,8016-03-3,Davana-Öl,0.20378,116-53-0,2-Methylbuttersäure Halal Kosher,-0.18811,142-62-1,Hexansäure kräftig,-0.1715,123-66-0,Ethylhexanoat Halal,-0.157,-1.2003,706-14-9,gamma-Decalacton Kosher Halal,-0.17953,8016-03-3,Davana-Öl,-0.17535,928-96-1,cis-3-Hexen-1-ol Halal Kosher,-0.16913,64-19-7,Essigsäure Halal Kosher,-0.13921,1754-62-7,Methyl-trans-cinnamat Halal,-0.11975,0.2078,64-19-7,Essigsäure Halal Kosher,0.37112,1754-62-7,Methyl-trans-cinnamat Halal,-0.10567,116-53-0,2-Methylbuttersäure Halal Kosher,0.09353,142-62-1,Hexansäure kräftig,0.08157,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,0.07327,-0.5083,123-92-2,Isoamylacetat Halal,-0.34419,8016-03-3,Davana-Öl,-0.10058,659-70-1,Isoamylisovalerat Kosher Halal,-0.09831,123-66-0,Ethylhexanoat Halal,0.08424,111-27-3,Hexanol Kosher Halal,-0.08422
187.483P,6.2867,78-83-1,Isobutanol Halal,1.30347,67-64-1,Aceton,1.22069,50-81-7,Vitamin C (Ascorbinsäure E300) Kosh,1.11113,123-92-2,Isoamylacetat Halal,0.67376,3681-71-8,cis-3-Hexenylacetat Halal Kosher,0.55384,-2.7904,78-83-1,Isobutanol Halal,-0.77357,67-64-1,Aceton,-0.60121,50-81-7,Vitamin C (Ascorbinsäure E300) Kosh,-0.53238,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.28067,105-54-4,Ethylbutyrat Kosher Halal,-0.20247,1.2161,3681-71-8,cis-3-Hexenylacetat Halal Kosher,0.55728,141-78-6,Ethylacetat Kosher Halal,0.31102,50-81-7,Vitamin C (Ascorbinsäure E300) Kosh,0.2424,67-64-1,Aceton,0.22216,116-53-0,2-Methylbuttersäure Halal Kosher,-0.19205,-3.5225,67-64-1,Aceton,-0.77897,78-83-1,Isobutanol Halal,-0.76227,50-81-7,Vitamin C (Ascorbinsäure E300) Kosh,-0.72998,123-92-2,Isoamylacetat Halal,-0.45155,3681-71-8,cis-3-Hexenylacetat Halal Kosher,-0.20958
187.519P,1.3484,100-52-7,Benzaldehyd Kosher Halal,0.29814,659-70-1,Isoamylisovalerat Kosher Halal,0.25829,706-14-9,gamma-Decalacton Kosher Halal,0.24097,120-57-0,Heliotropin Halal,0.23832,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.16395,5.5068,100-52-7,Benzaldehyd Kosher Halal,1.28776,120-57-0,Heliotropin Halal,1.05063,868-57-5,Methyl-2-methylbutyrat,1.00366,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.77622,706-14-9,gamma-Decalacton Kosher Halal,0.39301,2.7591,868-57-5,Methyl-2-methylbutyrat,1.31582,120-57-0,Heliotropin Halal,0.54997,142-92-7,Hexylacetat Kosher Halal,0.32029,6728-26-3,trans-2-Hexenal Kosher Halal,0.2699,16491-36-4,cis-3-Hexenylbutyrat Halal,0.25952,0.3431,142-92-7,Hexylacetat Kosher Halal,0.46435,659-70-1,Isoamylisovalerat Kosher Halal,0.43833,868-57-5,Methyl-2-methylbutyrat,-0.31108,706-14-9,gamma-Decalacton Kosher Halal,-0.17191,1754-62-7,Methyl-trans-cinnamat Halal,-0.12372
187.521P,-1.5362,8016-26-0,Labdanum Absolue Halal,-0.27151,105-54-4,Ethylbutyrat Kosher Halal,-0.18822,105-57-7,Acetal Halal,-0.18547,107-92-6,Buttersäure Halal Kosher,-0.1695,116-53-0,2-Methylbuttersäure Halal Kosher,-0.16016,-2.71,107-92-6,Buttersäure Halal Kosher,-0.53043,8016-26-0,Labdanum Absolue Halal,-0.51704,85-91-6,Dimethylanthranilat,-0.4507,105-57-7,Acetal Halal,-0.35717,706-14-9,gamma-Decalacton Kosher Halal,-0.15954,-2.5566,107-92-6,Buttersäure Halal Kosher,-0.5159,8016-26-0,Labdanum Absolue Halal,-0.5096,105-57-7,Acetal Halal,-0.38878,85-91-6,Dimethylanthranilat,-0.37413,108-64-5,Ethylisovalerat Kosher Halal,-0.15012,0.164,108-64-5,Ethylisovalerat Kosher Halal,0.24741,105-57-7,Acetal Halal,-0.22735,659-70-1,Isoamylisovalerat Kosher Halal,-0.08603,111-27-3,Hexanol Kosher Halal,-0.08422,142-92-7,Hexylacetat Kosher Halal,-0.07831
187.522P,-1.3957,513-86-0,Acetoin 50% in PG Kosher Halal,-0.30864,3681-71-8,cis-3-Hexenylacetat Halal Kosher,0.20144,116-53-0,2-Methylbuttersäure Halal Kosher,-0.18811,7452-79-1,Ethyl-2-methylbutyrat Kosher Halal,-0.16885,142-62-1,Hexansäure kräftig,-0.15728,0.908,124-07-2,Octansäure,0.37658,868-57-5,Methyl-2-methylbutyrat,0.2588,109-52-4,Valeriansäure Kosher Halal,0.21921,109-94-4,Ethylformiat Halal,0.19565,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.13722,3.513,109-94-4,Ethylformiat Halal,0.60881,513-86-0,Acetoin 50% in PG Kosher Halal,0.58939,109-52-4,Valeriansäure Kosher Halal,0.45782,124-07-2,Octansäure,0.4032,868-57-5,Methyl-2-methylbutyrat,0.33929,-0.8673,109-94-4,Ethylformiat Halal,-0.22294,124-07-2,Octansäure,-0.16948,109-52-4,Valeriansäure Kosher Halal,-0.11041,659-70-1,Isoamylisovalerat Kosher Halal,-0.09831,111-27-3,Hexanol Kosher Halal,-0.08422
187.567P,0.6279,66-25-1,Hexanal Kosher Halal,0.22232,142-92-7,Hexylacetat Kosher Halal,0.15058,659-70-1,Isoamylisovalerat Kosher Halal,0.13615,142-62-1,Hexansäure kräftig,0.09178,1754-62-7,Methyl-trans-cinnamat Halal,0.0833,1.0292,142-92-7,Hexylacetat Kosher Halal,0.24864,3658-77-3,Furaneol Halal,0.24104,1754-62-7,Methyl-trans-cinnamat Halal,0.19852,27625-35-0 ,Isoamyl-2-methylbutyrat,0.18699,659-70-1,Isoamylisovalerat Kosher Halal,0.13825,0.5617,142-92-7,Hexylacetat Kosher Halal,0.3269,3658-77-3,Furaneol Halal,0.18312,1754-62-7,Methyl-trans-cinnamat Halal,0.17517,141-78-6,Ethylacetat Kosher Halal,-0.09291,66-25-1,Hexanal Kosher Halal,0.08402,1.2946,142-92-7,Hexylacetat Kosher Halal,0.47393,3658-77-3,Furaneol Halal,0.23601,659-70-1,Isoamylisovalerat Kosher Halal,0.23106,27625-35-0 ,Isoamyl-2-methylbutyrat,0.16544,108-64-5,Ethylisovalerat Kosher Halal,0.10128
187.571P,1.9048,116-53-0,2-Methylbuttersäure Halal Kosher,0.47621,105-54-4,Ethylbutyrat Kosher Halal,0.41439,90045-90-2,Iris-Concrete,0.3824,623-42-7,Methylbutyrat Halal,0.36989,590-86-3,Isovaleraldehyd Halal,0.36316,-0.5804,90045-90-2,Iris-Concrete,-0.2557,105-54-4,Ethylbutyrat Kosher Halal,-0.19759,118-71-8,Maltol Kosher Halal,0.19246,104-67-6,gamma-Undecalacton Halal,-0.14771,116-53-0,2-Methylbuttersäure Halal Kosher,0.13152,-1.5156,90045-90-2,Iris-Concrete,-0.39967,623-42-7,Methylbutyrat Halal,-0.36065,590-86-3,Isovaleraldehyd Halal,-0.34875,116-53-0,2-Methylbuttersäure Halal Kosher,-0.23678,3681-71-8,cis-3-Hexenylacetat Halal Kosher,0.119,0.4411,590-86-3,Isovaleraldehyd Halal,0.20958,623-42-7,Methylbutyrat Halal,0.17097,118-71-8,Maltol Kosher Halal,0.10889,659-70-1,Isoamylisovalerat Kosher Halal,-0.09831,105-54-4,Ethylbutyrat Kosher Halal,-0.09392
187.608P,0.485,659-70-1,Isoamylisovalerat Kosher Halal,0.15329,142-62-1,Hexansäure kräftig,0.13269,142-92-7,Hexylacetat Kosher Halal,0.11348,2445-77-4,2-Methylbutylisovalerat,-0.09223,108-64-5,Ethylisovalerat Kosher Halal,0.09137,0.8834,24851-98-7,Methyldihydrojasmonat,0.2347,1754-62-7,Methyl-trans-cinnamat Halal,0.21234,142-92-7,Hexylacetat Kosher Halal,0.18738,659-70-1,Isoamylisovalerat Kosher Halal,0.15565,2445-77-4,2-Methylbutylisovalerat,0.11287,0.6681,2445-77-4,2-Methylbutylisovalerat,0.27575,142-92-7,Hexylacetat Kosher Halal,0.24636,1754-62-7,Methyl-trans-cinnamat Halal,0.18736,64-19-7,Essigsäure Halal Kosher,0.11553,141-78-6,Ethylacetat Kosher Halal,0.10246,0.8883,142-92-7,Hexylacetat Kosher Halal,0.35717,659-70-1,Isoamylisovalerat Kosher Halal,0.26014,108-64-5,Ethylisovalerat Kosher Halal,0.16216,3658-77-3,Furaneol Halal,0.10154,1754-62-7,Methyl-trans-cinnamat Halal,-0.09401
187.657P,1.7823,142-62-1,Hexansäure kräftig,0.67368,116-53-0,2-Methylbuttersäure Halal Kosher,0.64758,106-72-9  ,Melonal,0.30876,105-54-4,Ethylbutyrat Kosher Halal,0.19353,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.13546,0.6167,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.64131,111-27-3,Hexanol Kosher Halal,0.38059,116-53-0,2-Methylbuttersäure Halal Kosher,0.17885,1754-62-7,Methyl-trans-cinnamat Halal,-0.11975,106-72-9  ,Melonal,0.11237,-1.6635,106-72-9  ,Melonal,-0.33875,116-53-0,2-Methylbuttersäure Halal Kosher,-0.32199,142-62-1,Hexansäure kräftig,-0.32043,111-27-3,Hexanol Kosher Halal,-0.24056,103-26-4,Methyl-trans-cinnamat,-0.12896,1.0204,111-27-3,Hexanol Kosher Halal,0.5101,106-72-9  ,Melonal,0.21453,142-92-7,Hexylacetat Kosher Halal,0.12798,659-70-1,Isoamylisovalerat Kosher Halal,-0.09831,3658-77-3,Furaneol Halal,-0.06464
187.752P,0.0789,142-62-1,Hexansäure kräftig,0.16477,27625-35-0 ,Isoamyl-2-methylbutyrat,0.11813,111-27-3,Hexanol Kosher Halal,0.10812,106-27-4,Isoamylbutyrat Halal,0.08243,123-92-2,Isoamylacetat Halal,-0.07675,3.081,98-55-5,alpha-Terpineol Kosher Halal,0.71607,334-48-5,Decansäure,0.5393,27625-35-0 ,Isoamyl-2-methylbutyrat,0.49463,111-27-3,Hexanol Kosher Halal,0.3372,3658-77-3,Furaneol Halal,0.30945,0.5936,3658-77-3,Furaneol Halal,0.23509,124-07-2,Octansäure,0.22677,111-27-3,Hexanol Kosher Halal,-0.21313,334-48-5,Decansäure,0.11083,1754-62-7,Methyl-trans-cinnamat Halal,0.10948,2.2459,98-55-5,alpha-Terpineol Kosher Halal,0.50249,111-27-3,Hexanol Kosher Halal,0.45195,27625-35-0 ,Isoamyl-2-methylbutyrat,0.43764,334-48-5,Decansäure,0.42781,3658-77-3,Furaneol Halal,0.30298
187.753P,0.1283,142-62-1,Hexansäure kräftig,0.16836,27625-35-0 ,Isoamyl-2-methylbutyrat,0.11944,111-27-3,Hexanol Kosher Halal,0.10949,106-27-4,Isoamylbutyrat Halal,0.08353,123-92-2,Isoamylacetat Halal,-0.07675,2.6059,334-48-5,Decansäure,0.54518,27625-35-0 ,Isoamyl-2-methylbutyrat,0.50009,111-27-3,Hexanol Kosher Halal,0.34146,3658-77-3,Furaneol Halal,0.31344,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.25595,0.5249,3658-77-3,Furaneol Halal,0.23813,124-07-2,Octansäure,0.22983,111-27-3,Hexanol Kosher Halal,-0.21583,334-48-5,Decansäure,0.11204,1754-62-7,Methyl-trans-cinnamat Halal,0.11177,1.9073,111-27-3,Hexanol Kosher Halal,0.45766,27625-35-0 ,Isoamyl-2-methylbutyrat,0.44248,334-48-5,Decansäure,0.43247,3658-77-3,Furaneol Halal,0.3069,98-55-5,alpha-Terpineol Kosher Halal,0.14637
187.773P,-1.3339,124-07-2,Octansäure,-0.31057,105-54-4,Ethylbutyrat Kosher Halal,-0.26296,140-11-4,Benzylacetat Halal,-0.25857,539-82-2,Ethylvalerat,-0.24292,2445-77-4,2-Methylbutylisovalerat,-0.19811,1.5102,124-07-2,Octansäure,1.09913,142-92-7,Hexylacetat Kosher Halal,0.2786,539-82-2,Ethylvalerat,0.26103,2445-77-4,2-Methylbutylisovalerat,0.24245,928-96-1,cis-3-Hexen-1-ol Halal Kosher,-0.24143,4.0888,124-07-2,Octansäure,1.17683,539-82-2,Ethylvalerat,0.81149,140-11-4,Benzylacetat Halal,0.70469,2445-77-4,2-Methylbutylisovalerat,0.59232,142-92-7,Hexylacetat Kosher Halal,0.36629,-0.1096,142-92-7,Hexylacetat Kosher Halal,0.53105,124-07-2,Octansäure,-0.49467,140-11-4,Benzylacetat Halal,0.10857,123-92-2,Isoamylacetat Halal,-0.1065,659-70-1,Isoamylisovalerat Kosher Halal,-0.0891
