Rez.-Nr.,Dom_OT,PC1_score,PC1_top1_cas,PC1_top1_name,PC1_top1_contrib,PC1_top2_cas,PC1_top2_name,PC1_top2_contrib,PC1_top3_cas,PC1_top3_name,PC1_top3_contrib,PC1_top4_cas,PC1_top4_name,PC1_top4_contrib,PC1_top5_cas,PC1_top5_name,PC1_top5_contrib,PC2_score,PC2_top1_cas,PC2_top1_name,PC2_top1_contrib,PC2_top2_cas,PC2_top2_name,PC2_top2_contrib,PC2_top3_cas,PC2_top3_name,PC2_top3_contrib,PC2_top4_cas,PC2_top4_name,PC2_top4_contrib,PC2_top5_cas,PC2_top5_name,PC2_top5_contrib,PC3_score,PC3_top1_cas,PC3_top1_name,PC3_top1_contrib,PC3_top2_cas,PC3_top2_name,PC3_top2_contrib,PC3_top3_cas,PC3_top3_name,PC3_top3_contrib,PC3_top4_cas,PC3_top4_name,PC3_top4_contrib,PC3_top5_cas,PC3_top5_name,PC3_top5_contrib,PC4_score,PC4_top1_cas,PC4_top1_name,PC4_top1_contrib,PC4_top2_cas,PC4_top2_name,PC4_top2_contrib,PC4_top3_cas,PC4_top3_name,PC4_top3_contrib,PC4_top4_cas,PC4_top4_name,PC4_top4_contrib,PC4_top5_cas,PC4_top5_name,PC4_top5_contrib
185.028,fresh,0.6504,97-62-1,Ethylisobutyrat Halal,0.56216,78-70-6,Linalool ex HO,0.22306,503-74-2,Isovaleriansäure Halal,0.09086,140-10-3,Zimtsäure,0.0554,23696-85-7,beta-Damascenon,0.0554,0.5532,97-62-1,Ethylisobutyrat Halal,0.88338,78-70-6,Linalool ex HO,-0.19366,503-74-2,Isovaleriansäure Halal,-0.09375,64-19-7,Essigsäure Halal Kosher,0.05308,140-10-3,Zimtsäure,0.05144,-0.9099,6728-26-3,trans-2-Hexenal Kosher Halal,-0.18458,78-70-6,Linalool ex HO,0.16129,10032-15-2,Hexyl-2-methylbutyrat Halal Kosher,-0.12912,27625-35-0,Isoamyl-2-methylbutyrat,-0.12365,140-10-3,Zimtsäure,-0.10011,-1.4474,6728-26-3,trans-2-Hexenal Kosher Halal,0.52388,27625-35-0,Isoamyl-2-methylbutyrat,0.34016,3025-30-7,Ethyl-trans,-0.24894,75-07-0,Acetaldehyd Halal Kosher,-0.24471,705-86-2,delta-Decalacton Halal Kosher,-0.21861
185.043P,odorless,-0.5093,586-62-9,Terpinolen,-0.0434,120-51-4,Benzylbenzoat Halal,-0.03574,141-78-6,Ethylacetat Kosher Halal,-0.03545,60-12-8,Phenethylalkohol Halal,-0.03,68647-72-3,Orangenterpene,-0.02658,-0.1337,108-64-5,Ethylisovalerat Kosher Halal,-0.04355,116-53-0,2-Methylbuttersäure Halal Kosher,-0.03738,14901-07-6,beta-Ionon Halal Kosher,-0.03529,141-78-6,Ethylacetat Kosher Halal,0.03063,706-14-9,gamma-Decalacton Kosher Halal,0.0281,0.0632,66-25-1,Hexanal Kosher Halal,-0.06231,105-54-4,Ethylbutyrat Kosher Halal,0.05371,123-86-4,Butylacetat Kosher Halal,-0.04821,659-70-1,Isoamylisovalerat Kosher Halal,0.03634,75-18-3,Dimethylsulfid,-0.03561,-1.6419,586-62-9,Terpinolen,-0.19708,79-31-2,Isobuttersäure,-0.18941,659-70-1,Isoamylisovalerat Kosher Halal,-0.09998,142-92-7,Hexylacetat Kosher Halal,-0.09239,706-14-9,gamma-Decalacton Kosher Halal,-0.06998
185.044,odorless,-0.5094,586-62-9,Terpinolen,-0.04338,120-51-4,Benzylbenzoat Halal,-0.03574,141-78-6,Ethylacetat Kosher Halal,-0.03545,60-12-8,Phenethylalkohol Halal,-0.03,68647-72-3,Orangenterpene,-0.02658,-0.1336,108-64-5,Ethylisovalerat Kosher Halal,-0.04355,116-53-0,2-Methylbuttersäure Halal Kosher,-0.03738,14901-07-6,beta-Ionon Halal Kosher,-0.03529,141-78-6,Ethylacetat Kosher Halal,0.03064,706-14-9,gamma-Decalacton Kosher Halal,0.02811,0.0635,66-25-1,Hexanal Kosher Halal,-0.06231,105-54-4,Ethylbutyrat Kosher Halal,0.05371,123-86-4,Butylacetat Kosher Halal,-0.04821,659-70-1,Isoamylisovalerat Kosher Halal,0.03634,75-18-3,Dimethylsulfid,-0.03561,-1.6424,586-62-9,Terpinolen,-0.19701,79-31-2,Isobuttersäure,-0.18935,659-70-1,Isoamylisovalerat Kosher Halal,-0.09998,142-92-7,Hexylacetat Kosher Halal,-0.09239,706-14-9,gamma-Decalacton Kosher Halal,-0.06998
185.046,fresh,-0.6317,110-43-0,2-Heptanon Halal,-0.06838,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.05509,109-21-7,Butylbutyrat Halal,-0.05381,141-78-6,Ethylacetat Kosher Halal,-0.04146,120-51-4,Benzylbenzoat Halal,-0.03574,-0.1548,928-96-1,cis-3-Hexen-1-ol Halal Kosher,-0.05948,108-64-5,Ethylisovalerat Kosher Halal,-0.04715,141-78-6,Ethylacetat Kosher Halal,0.03582,97-62-1,Ethylisobutyrat Halal,-0.03581,14901-07-6,beta-Ionon Halal Kosher,-0.03529,0.0022,110-43-0,2-Heptanon Halal,0.24753,928-96-1,cis-3-Hexen-1-ol Halal Kosher,-0.22941,66-25-1,Hexanal Kosher Halal,-0.06231,123-86-4,Butylacetat Kosher Halal,-0.04821,142-92-7,Hexylacetat Kosher Halal,0.042,-0.8899,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.27245,142-92-7,Hexylacetat Kosher Halal,-0.11563,109-21-7,Butylbutyrat Halal,-0.10678,659-70-1,Isoamylisovalerat Kosher Halal,-0.10635,3681-71-8,cis-3-Hexenylacetat Halal Kosher,-0.07492
185.086,odorless,-0.7721,600-14-6,Acetylpropionyl Halal,-0.08454,141-78-6,Ethylacetat Kosher Halal,-0.03799,16491-36-4,cis-3-Hexenylbutyrat Halal,-0.03694,120-51-4,Benzylbenzoat Halal,-0.03574,78-70-6,Linalool ex HO,-0.0331,-0.0717,108-64-5,Ethylisovalerat Kosher Halal,-0.04715,97-62-1,Ethylisobutyrat Halal,-0.03581,14901-07-6,beta-Ionon Halal Kosher,-0.03529,141-78-6,Ethylacetat Kosher Halal,0.03283,78-70-6,Linalool ex HO,0.02874,0.024,123-86-4,Butylacetat Kosher Halal,-0.04821,142-92-7,Hexylacetat Kosher Halal,0.042,659-70-1,Isoamylisovalerat Kosher Halal,0.03866,3681-71-8,cis-3-Hexenylacetat Halal Kosher,0.03773,623-42-7,Methylbutyrat Halal,-0.0361,-1.5612,600-14-6,Acetylpropionyl Halal,-0.28013,142-92-7,Hexylacetat Kosher Halal,-0.11563,659-70-1,Isoamylisovalerat Kosher Halal,-0.10635,3681-71-8,cis-3-Hexenylacetat Halal Kosher,-0.07492,108-64-5,Ethylisovalerat Kosher Halal,-0.07067
185.090P,odorless,-0.0973,97-62-1,Ethylisobutyrat Halal,0.41636,120-51-4,Benzylbenzoat Halal,-0.03574,78-70-6,Linalool ex HO,-0.0331,141-78-6,Ethylacetat Kosher Halal,-0.03038,60-12-8,Phenethylalkohol Halal,-0.03,0.6252,97-62-1,Ethylisobutyrat Halal,0.65427,108-64-5,Ethylisovalerat Kosher Halal,-0.04715,116-53-0,2-Methylbuttersäure Halal Kosher,-0.03548,14901-07-6,beta-Ionon Halal Kosher,-0.03529,706-14-9,gamma-Decalacton Kosher Halal,0.02949,0.1684,66-25-1,Hexanal Kosher Halal,-0.06231,105-54-4,Ethylbutyrat Kosher Halal,0.05589,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.05043,123-86-4,Butylacetat Kosher Halal,-0.04821,142-92-7,Hexylacetat Kosher Halal,0.042,-1.214,142-92-7,Hexylacetat Kosher Halal,-0.11563,659-70-1,Isoamylisovalerat Kosher Halal,-0.10635,706-14-9,gamma-Decalacton Kosher Halal,-0.07344,108-64-5,Ethylisovalerat Kosher Halal,-0.07067,106-27-4,Isoamylbutyrat Halal,-0.06688
185.091,odorless,-0.5221,120-51-4,Benzylbenzoat Halal,-0.03574,141-78-6,Ethylacetat Kosher Halal,-0.03005,60-12-8,Phenethylalkohol Halal,-0.03,68647-72-3,Orangenterpene,-0.02658,97-53-0,Eugenol Halal,-0.02627,-0.1229,108-64-5,Ethylisovalerat Kosher Halal,-0.04528,116-53-0,2-Methylbuttersäure Halal Kosher,-0.03596,97-62-1,Ethylisobutyrat Halal,-0.03581,14901-07-6,beta-Ionon Halal Kosher,-0.03529,626-77-7,Propylhexanoat,-0.02678,0.0285,66-25-1,Hexanal Kosher Halal,-0.06231,105-54-4,Ethylbutyrat Kosher Halal,0.05087,123-86-4,Butylacetat Kosher Halal,-0.04821,142-92-7,Hexylacetat Kosher Halal,0.03682,623-42-7,Methylbutyrat Halal,-0.0361,-1.1054,142-92-7,Hexylacetat Kosher Halal,-0.10136,108-64-5,Ethylisovalerat Kosher Halal,-0.06786,106-27-4,Isoamylbutyrat Halal,-0.06688,659-70-1,Isoamylisovalerat Kosher Halal,-0.06652,706-14-9,gamma-Decalacton Kosher Halal,-0.06243
185.133,odorless,-0.5756,67-63-0,Isopropanol Halal,-0.05458,141-78-6,Ethylacetat Kosher Halal,-0.03933,120-51-4,Benzylbenzoat Halal,-0.03574,78-70-6,Linalool ex HO,-0.0331,60-12-8,Phenethylalkohol Halal,-0.03,-0.0896,108-64-5,Ethylisovalerat Kosher Halal,-0.0409,116-53-0,2-Methylbuttersäure Halal Kosher,-0.03792,14901-07-6,beta-Ionon Halal Kosher,-0.03529,141-78-6,Ethylacetat Kosher Halal,0.03399,97-62-1,Ethylisobutyrat Halal,-0.03304,0.0288,66-25-1,Hexanal Kosher Halal,-0.06231,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.05092,123-86-4,Butylacetat Kosher Halal,-0.04821,142-92-7,Hexylacetat Kosher Halal,0.042,659-70-1,Isoamylisovalerat Kosher Halal,0.03866,-1.3271,67-63-0,Isopropanol Halal,-0.16848,142-92-7,Hexylacetat Kosher Halal,-0.11563,659-70-1,Isoamylisovalerat Kosher Halal,-0.10635,3681-71-8,cis-3-Hexenylacetat Halal Kosher,-0.07492,106-27-4,Isoamylbutyrat Halal,-0.06688
185.178HP,fruity,-0.3949,78-70-6,Linalool ex HO,0.09016,103-26-4,Methyl-trans-cinnamat,0.05333,141-78-6,Ethylacetat Kosher Halal,0.04424,623-70-1,Ethyl-trans-2-crotonat,-0.03889,120-51-4,Benzylbenzoat Halal,-0.03574,-0.5836,103-26-4,Methyl-trans-cinnamat,-0.08095,78-70-6,Linalool ex HO,-0.07828,623-70-1,Ethyl-trans-2-crotonat,-0.05487,624-41-9,2-Methylbutylacetat Kosher Halal,-0.04214,141-78-6,Ethylacetat Kosher Halal,-0.03823,-0.8668,10032-15-2,Hexyl-2-methylbutyrat Halal Kosher,-0.12405,928-96-1,cis-3-Hexen-1-ol Halal Kosher,-0.10836,623-70-1,Ethyl-trans-2-crotonat,-0.0934,103-26-4,Methyl-trans-cinnamat,-0.08743,106-30-9,Ethylheptanoat,-0.0848,-0.1304,659-70-1,Isoamylisovalerat Kosher Halal,0.19434,10032-15-2,Hexyl-2-methylbutyrat Halal Kosher,0.18074,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.12869,103-26-4,Methyl-trans-cinnamat,0.12465,106-30-9,Ethylheptanoat,-0.0808
185.237H,odorless,-0.4248,110-19-0,Isobutylacetat Halal,0.09105,141-78-6,Ethylacetat Kosher Halal,-0.04146,120-51-4,Benzylbenzoat Halal,-0.03574,78-70-6,Linalool ex HO,-0.0331,60-12-8,Phenethylalkohol Halal,-0.03,0.2102,110-19-0,Isobutylacetat Halal,0.14801,108-64-5,Ethylisovalerat Kosher Halal,-0.04715,121-33-5,Vanillin ex Eugenol,0.04414,141-78-6,Ethylacetat Kosher Halal,0.03582,97-62-1,Ethylisobutyrat Halal,-0.03581,-0.0142,66-25-1,Hexanal Kosher Halal,-0.06231,123-86-4,Butylacetat Kosher Halal,-0.04821,105-54-4,Ethylbutyrat Kosher Halal,0.04185,142-92-7,Hexylacetat Kosher Halal,-0.04085,659-70-1,Isoamylisovalerat Kosher Halal,0.03866,-0.8248,142-92-7,Hexylacetat Kosher Halal,0.11245,659-70-1,Isoamylisovalerat Kosher Halal,-0.10635,108-64-5,Ethylisovalerat Kosher Halal,-0.07067,106-27-4,Isoamylbutyrat Halal,-0.06688,2445-77-4,2-Methylbutylisovalerat,-0.06054
