Rez.-Nr.,Dom_OT,PC1_score,PC1_top1_cas,PC1_top1_name,PC1_top1_contrib,PC1_top2_cas,PC1_top2_name,PC1_top2_contrib,PC1_top3_cas,PC1_top3_name,PC1_top3_contrib,PC1_top4_cas,PC1_top4_name,PC1_top4_contrib,PC1_top5_cas,PC1_top5_name,PC1_top5_contrib,PC2_score,PC2_top1_cas,PC2_top1_name,PC2_top1_contrib,PC2_top2_cas,PC2_top2_name,PC2_top2_contrib,PC2_top3_cas,PC2_top3_name,PC2_top3_contrib,PC2_top4_cas,PC2_top4_name,PC2_top4_contrib,PC2_top5_cas,PC2_top5_name,PC2_top5_contrib,PC3_score,PC3_top1_cas,PC3_top1_name,PC3_top1_contrib,PC3_top2_cas,PC3_top2_name,PC3_top2_contrib,PC3_top3_cas,PC3_top3_name,PC3_top3_contrib,PC3_top4_cas,PC3_top4_name,PC3_top4_contrib,PC3_top5_cas,PC3_top5_name,PC3_top5_contrib,PC4_score,PC4_top1_cas,PC4_top1_name,PC4_top1_contrib,PC4_top2_cas,PC4_top2_name,PC4_top2_contrib,PC4_top3_cas,PC4_top3_name,PC4_top3_contrib,PC4_top4_cas,PC4_top4_name,PC4_top4_contrib,PC4_top5_cas,PC4_top5_name,PC4_top5_contrib
185.239,fruity,-0.5822,141-78-6,Ethylacetat Kosher Halal,0.0972,3658-77-3,Furaneol Halal,-0.05106,868-57-5,Methyl-2-methylbutyrat,-0.04191,120-51-4,Benzylbenzoat Halal,-0.03574,78-70-6,Linalool ex HO,-0.0331,-0.2446,141-78-6,Ethylacetat Kosher Halal,-0.08399,108-64-5,Ethylisovalerat Kosher Halal,-0.04715,1754-62-7,Methyl-trans-cinnamat Halal,0.04621,116-53-0,2-Methylbuttersäure Halal Kosher,-0.03792,97-62-1,Ethylisobutyrat Halal,-0.03581,0.0037,75-18-3,Dimethylsulfid,0.18075,928-96-1,cis-3-Hexen-1-ol Halal Kosher,-0.07519,66-25-1,Hexanal Kosher Halal,-0.06231,868-57-5,Methyl-2-methylbutyrat,-0.0543,123-86-4,Butylacetat Kosher Halal,-0.04821,-1.1057,142-92-7,Hexylacetat Kosher Halal,-0.11563,659-70-1,Isoamylisovalerat Kosher Halal,-0.10635,75-07-0,Acetaldehyd Halal Kosher,-0.10094,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.0893,1754-62-7,Methyl-trans-cinnamat Halal,0.08722
185.267,odorless,-0.5006,75-18-3,Dimethylsulfid,-0.04407,141-78-6,Ethylacetat Kosher Halal,-0.04146,120-51-4,Benzylbenzoat Halal,-0.03574,60-12-8,Phenethylalkohol Halal,-0.03,78-70-6,Linalool ex HO,0.02733,-0.2102,75-18-3,Dimethylsulfid,-0.0952,108-64-5,Ethylisovalerat Kosher Halal,-0.04715,141-78-6,Ethylacetat Kosher Halal,0.03582,97-62-1,Ethylisobutyrat Halal,-0.03581,14901-07-6,beta-Ionon Halal Kosher,-0.03529,1.1176,75-18-3,Dimethylsulfid,1.05722,123-86-4,Butylacetat Kosher Halal,-0.04821,142-92-7,Hexylacetat Kosher Halal,0.042,659-70-1,Isoamylisovalerat Kosher Halal,0.03866,928-96-1,cis-3-Hexen-1-ol Halal Kosher,0.03697,-0.7385,75-18-3,Dimethylsulfid,0.18663,142-92-7,Hexylacetat Kosher Halal,-0.11563,659-70-1,Isoamylisovalerat Kosher Halal,-0.10635,6728-26-3,trans-2-Hexenal Kosher Halal,0.0883,108-64-5,Ethylisovalerat Kosher Halal,-0.07067
185.291,fruity,-0.4909,141-78-6,Ethylacetat Kosher Halal,-0.04146,120-51-4,Benzylbenzoat Halal,-0.03574,78-70-6,Linalool ex HO,-0.0331,60-12-8,Phenethylalkohol Halal,-0.03,68647-72-3,Orangenterpene,-0.02658,-0.089,108-64-5,Ethylisovalerat Kosher Halal,-0.04715,141-78-6,Ethylacetat Kosher Halal,0.03582,97-62-1,Ethylisobutyrat Halal,-0.03581,14901-07-6,beta-Ionon Halal Kosher,-0.03529,116-53-0,2-Methylbuttersäure Halal Kosher,-0.02917,-0.0617,66-25-1,Hexanal Kosher Halal,-0.06231,123-86-4,Butylacetat Kosher Halal,-0.04821,105-54-4,Ethylbutyrat Kosher Halal,0.04686,659-70-1,Isoamylisovalerat Kosher Halal,0.03866,623-42-7,Methylbutyrat Halal,-0.0361,-0.9196,659-70-1,Isoamylisovalerat Kosher Halal,-0.10635,142-92-7,Hexylacetat Kosher Halal,0.09286,108-64-5,Ethylisovalerat Kosher Halal,-0.07067,97-64-3,Ethyllactat Halal,-0.0683,106-27-4,Isoamylbutyrat Halal,-0.06688
185.294,fruity,-0.618,106-32-1,Ethyloctanoat Halal Kosher,-0.04689,120-51-4,Benzylbenzoat Halal,-0.03574,78-70-6,Linalool ex HO,-0.0331,60-12-8,Phenethylalkohol Halal,-0.03,3681-71-8,cis-3-Hexenylacetat Halal Kosher,-0.02747,-0.0144,97-62-1,Ethylisobutyrat Halal,-0.03581,14901-07-6,beta-Ionon Halal Kosher,-0.03529,78-70-6,Linalool ex HO,0.02874,108-64-5,Ethylisovalerat Kosher Halal,0.02697,626-77-7,Propylhexanoat,-0.02678,-0.057,66-25-1,Hexanal Kosher Halal,-0.06231,123-86-4,Butylacetat Kosher Halal,-0.04821,142-92-7,Hexylacetat Kosher Halal,0.042,659-70-1,Isoamylisovalerat Kosher Halal,0.03866,3681-71-8,cis-3-Hexenylacetat Halal Kosher,0.03773,-1.1223,142-92-7,Hexylacetat Kosher Halal,-0.11563,659-70-1,Isoamylisovalerat Kosher Halal,-0.10635,3681-71-8,cis-3-Hexenylacetat Halal Kosher,-0.07492,106-27-4,Isoamylbutyrat Halal,-0.06688,706-14-9,gamma-Decalacton Kosher Halal,-0.06245
185.309P,fruity,21.3358,100-51-6,Benzylalkohol Halal,1.9147,127-41-3,alpha-Ionon Halal Kosher,1.82939,3390-12-3,Acetaldehyd PG acetal,1.81753,23726-92-3,beta-Damascon Halal,1.81744,104-20-1,Himbeerketonmethylether Halal,1.81744,30.3864,3390-12-3,Acetaldehyd PG acetal,2.8257,23726-92-3,beta-Damascon Halal,2.82552,104-20-1,Himbeerketonmethylether Halal,2.82552,123-11-5,Anisaldehyd Halal,2.82552,141-12-8,Nerylacetat Halal,2.82053,1.887,127-41-3,alpha-Ionon Halal Kosher,0.2079,23726-92-3,beta-Damascon Halal,0.20759,104-20-1,Himbeerketonmethylether Halal,0.20759,123-11-5,Anisaldehyd Halal,0.20759,3390-12-3,Acetaldehyd PG acetal,0.20739,1.6915,108-64-5,Ethylisovalerat Kosher Halal,0.46462,3390-12-3,Acetaldehyd PG acetal,0.20335,23726-92-3,beta-Damascon Halal,0.20295,123-11-5,Anisaldehyd Halal,0.20295,104-20-1,Himbeerketonmethylether Halal,0.20295
185.314,odorless,-0.5161,106-22-9,Citronellol,-0.04396,141-78-6,Ethylacetat Kosher Halal,-0.03664,120-51-4,Benzylbenzoat Halal,-0.03574,78-70-6,Linalool ex HO,-0.0331,60-12-8,Phenethylalkohol Halal,-0.03,-0.055,97-62-1,Ethylisobutyrat Halal,-0.03581,14901-07-6,beta-Ionon Halal Kosher,-0.03529,141-78-6,Ethylacetat Kosher Halal,0.03166,78-70-6,Linalool ex HO,0.02874,626-77-7,Propylhexanoat,-0.02678,-0.2166,66-25-1,Hexanal Kosher Halal,-0.06231,123-86-4,Butylacetat Kosher Halal,-0.04821,659-70-1,Isoamylisovalerat Kosher Halal,-0.03842,623-42-7,Methylbutyrat Halal,-0.0361,75-18-3,Dimethylsulfid,-0.03561,-0.5118,659-70-1,Isoamylisovalerat Kosher Halal,0.10571,142-92-7,Hexylacetat Kosher Halal,0.09119,106-27-4,Isoamylbutyrat Halal,-0.06688,106-22-9,Citronellol,-0.06141,2445-77-4,2-Methylbutylisovalerat,-0.06054
185.321,fruity,-0.3293,3681-71-8,cis-3-Hexenylacetat Halal Kosher,0.23904,6378-65-0,Hexylhexanoat Kosher Halal,-0.04432,141-78-6,Ethylacetat Kosher Halal,-0.04146,120-51-4,Benzylbenzoat Halal,-0.03574,1754-62-7,Methyl-trans-cinnamat Halal,-0.03452,0.0609,1754-62-7,Methyl-trans-cinnamat Halal,0.07294,706-14-9,gamma-Decalacton Kosher Halal,-0.05257,108-64-5,Ethylisovalerat Kosher Halal,-0.04715,141-78-6,Ethylacetat Kosher Halal,0.03582,97-62-1,Ethylisobutyrat Halal,-0.03581,-0.7603,3681-71-8,cis-3-Hexenylacetat Halal Kosher,-0.3283,6378-65-0,Hexylhexanoat Kosher Halal,-0.14168,928-96-1,cis-3-Hexen-1-ol Halal Kosher,-0.07343,66-25-1,Hexanal Kosher Halal,-0.06231,706-14-9,gamma-Decalacton Kosher Halal,-0.05424,0.3533,3681-71-8,cis-3-Hexenylacetat Halal Kosher,0.65188,6378-65-0,Hexylhexanoat Kosher Halal,0.16269,1754-62-7,Methyl-trans-cinnamat Halal,0.13766,706-14-9,gamma-Decalacton Kosher Halal,0.13091,142-92-7,Hexylacetat Kosher Halal,-0.11563
185.339P,odorless,0.3454,122-78-1 /  64-17-5,Phenylacetaldehyd 10% in Ethanol,0.69035,110-19-0,Isobutylacetat Halal,0.05168,75-18-3,Dimethylsulfid,-0.04441,120-51-4,Benzylbenzoat Halal,-0.03574,78-70-6,Linalool ex HO,-0.0331,-0.8837,122-78-1 /  64-17-5,Phenylacetaldehyd 10% in Ethanol,-0.4956,75-18-3,Dimethylsulfid,-0.09593,110-19-0,Isobutylacetat Halal,0.084,137-32-6,2-Methyl-1-butanol,-0.08217,8002-73-1,Iris-Absolue,-0.08217,2.1663,75-18-3,Dimethylsulfid,1.0654,137-32-6,2-Methyl-1-butanol,0.23833,8002-73-1,Iris-Absolue,0.23833,78-83-1,Isobutanol Halal,0.22427,66-25-1,Hexanal Kosher Halal,0.11665,-1.7021,78-83-1,Isobutanol Halal,-0.27559,137-32-6,2-Methyl-1-butanol,-0.20422,8002-73-1,Iris-Absolue,-0.20422,75-18-3,Dimethylsulfid,0.18808,142-92-7,Hexylacetat Kosher Halal,-0.11343
185.382P,fruity,0.7544,60-12-8,Phenethylalkohol Halal,0.70131,108-64-5,Ethylisovalerat Kosher Halal,0.07632,3681-71-8,cis-3-Hexenylacetat Halal Kosher,0.07582,54814-64-1,Massoialacton,0.06426,713-95-1,delta-Dodecalacton Halal,0.06225,-1.6909,60-12-8,Phenethylalkohol Halal,-0.51751,713-95-1,delta-Dodecalacton Halal,-0.15824,54814-64-1,Massoialacton,-0.15723,119-36-8,Methylsalicylat Halal,-0.15707,108-64-5,Ethylisovalerat Kosher Halal,0.15624,-6.6296,713-95-1,delta-Dodecalacton Halal,-0.7311,54814-64-1,Massoialacton,-0.72935,119-36-8,Methylsalicylat Halal,-0.7048,6728-26-3,trans-2-Hexenal Kosher Halal,-0.62473,27625-35-0,Isoamyl-2-methylbutyrat,-0.58881,17.6954,713-95-1,delta-Dodecalacton Halal,2.12505,54814-64-1,Massoialacton,2.1231,119-36-8,Methylsalicylat Halal,2.09314,6728-26-3,trans-2-Hexenal Kosher Halal,1.77311,27625-35-0,Isoamyl-2-methylbutyrat,1.61976
185.471,fruity,-0.3155,110-19-0,Isobutylacetat Halal,0.0989,141-78-6,Ethylacetat Kosher Halal,0.09424,105-54-4,Ethylbutyrat Kosher Halal,-0.04214,120-51-4,Benzylbenzoat Halal,-0.03574,8016-03-3,Davana-Öl,-0.03446,0.0172,110-19-0,Isobutylacetat Halal,0.16076,141-78-6,Ethylacetat Kosher Halal,-0.08143,116-53-0,2-Methylbuttersäure Halal Kosher,0.07773,105-54-4,Ethylbutyrat Kosher Halal,-0.03825,14901-07-6,beta-Ionon Halal Kosher,-0.03529,-0.5064,105-54-4,Ethylbutyrat Kosher Halal,-0.15951,123-66-0,Ethylhexanoat Halal,-0.13322,27625-35-0,Isoamyl-2-methylbutyrat,-0.07796,66-25-1,Hexanal Kosher Halal,-0.06231,103-36-6,Ethylcinnamat Halal,-0.05657,-1.1112,27625-35-0,Isoamyl-2-methylbutyrat,0.21445,103-36-6,Ethylcinnamat Halal,-0.18605,8016-03-3,Davana-Öl,-0.16193,142-92-7,Hexylacetat Kosher Halal,-0.11563,659-70-1,Isoamylisovalerat Kosher Halal,-0.10635
185.507P,odorless,-0.9749,107-87-9,2-Pentanon,-0.08497,112-12-9,2-Undecanon,-0.08481,600-14-6,Acetylpropionyl Halal,-0.07228,124-13-0,Octanal Halal,-0.04141,141-78-6,Ethylacetat Kosher Halal,-0.03848,-0.1758,108-64-5,Ethylisovalerat Kosher Halal,-0.04715,97-62-1,Ethylisobutyrat Halal,-0.03581,14901-07-6,beta-Ionon Halal Kosher,-0.03529,141-78-6,Ethylacetat Kosher Halal,0.03325,626-77-7,Propylhexanoat,-0.02678,0.2589,66-25-1,Hexanal Kosher Halal,0.1386,6728-26-3,trans-2-Hexenal Kosher Halal,-0.04714,513-86-0,Acetoin 50% in PG Kosher Halal,0.04242,142-92-7,Hexylacetat Kosher Halal,0.04178,659-70-1,Isoamylisovalerat Kosher Halal,0.03866,-2.1022,107-87-9,2-Pentanon,-0.27278,112-12-9,2-Undecanon,-0.27242,600-14-6,Acetylpropionyl Halal,-0.2395,6728-26-3,trans-2-Hexenal Kosher Halal,0.1338,513-86-0,Acetoin 50% in PG Kosher Halal,-0.12084
185.513P,fresh,-0.5186,78-70-6,Linalool ex HO,0.20211,66-25-1,Hexanal Kosher Halal,-0.06728,111-27-3,Hexanol Kosher Halal,-0.05507,98-85-1,Styralylalkohol Halal,-0.0518,141-78-6,Ethylacetat Kosher Halal,-0.04146,-0.6139,78-70-6,Linalool ex HO,-0.17547,111-27-3,Hexanol Kosher Halal,-0.08785,66-25-1,Hexanal Kosher Halal,-0.0811,98-55-5,alpha-Terpineol Kosher Halal,-0.05823,98-85-1,Styralylalkohol Halal,-0.05777,1.1619,66-25-1,Hexanal Kosher Halal,1.00347,98-55-5,alpha-Terpineol Kosher Halal,0.15182,78-70-6,Linalool ex HO,0.14614,119-36-8,Methylsalicylat Halal,-0.13913,98-85-1,Styralylalkohol Halal,0.12585,1.1958,111-27-3,Hexanol Kosher Halal,0.42728,119-36-8,Methylsalicylat Halal,0.41319,66-25-1,Hexanal Kosher Halal,0.32477,98-55-5,alpha-Terpineol Kosher Halal,0.13444,98-85-1,Styralylalkohol Halal,0.11694
