Rez.-Nr.,PC1,PC2,PC3,PC4,PC5,Dominant_OT
185.028,0.6504075477931944,0.5532361144608249,-0.9099483445370188,-1.4474048665497397,-9.558880250389292,fresh
185.043P,-0.5093086655726727,-0.1336866744862003,0.06324080463809582,-1.641928593947363,-1.6517952026110356,odorless
185.044,-0.5093729324309992,-0.13358039377957925,0.06347343042348194,-1.6423799729855344,-1.6517755884078762,odorless
185.046,-0.6316567252671739,-0.15476897541132908,0.0021848775575650193,-0.8899329057864421,-0.04302330391123413,fresh
185.086,-0.77207277099943,-0.07170709859404956,0.023990202216170254,-1.5611508185826608,-0.5767522366406259,odorless
185.090P,-0.09732367391102886,0.6251664621751658,0.1683929577776271,-1.21401345062712,-0.4504442706483895,odorless
185.091,-0.5220604861845751,-0.12292144635645358,0.02845923886891485,-1.1054283964089762,-0.47261238878984857,odorless
185.133,-0.5756368375911847,-0.08957851623440703,0.02882845752169987,-1.3271301622918368,-0.49718782561229075,odorless
185.178HP,-0.39493268604162596,-0.5835545551847765,-0.8667693842049153,-0.13040315400010297,-0.8772819536340745,fruity
185.237H,-0.42479640054988765,0.21017270917036715,-0.014212353786426001,-0.8248392248756633,-0.20584577409443422,odorless
185.239,-0.5821959286174003,-0.24461211775549302,0.0036713220702640436,-1.1057353906394602,-0.652957198215987,fruity
185.267,-0.5006309874466546,-0.21016793889148658,1.117550939896902,-0.7384744801247439,-0.18852481275395813,odorless
185.291,-0.4908579909311517,-0.0890159994722481,-0.06170840278335349,-0.9196311180815703,-0.6016082368346143,fruity
185.294,-0.6180456585250111,-0.014391874046729211,-0.05696723523097046,-1.122277368658276,-0.46061367659307745,fruity
185.309P,21.335808546369414,30.386437465249827,1.886979526404401,1.691527021276274,0.9246747387572111,fruity
185.314,-0.5160822372556821,-0.054978332412980994,-0.21656881172493114,-0.5118421017996155,-0.42448207588962833,odorless
185.321,-0.32931638514696887,0.06092492452211902,-0.7603063213114354,0.3533458179273527,0.5443871385909258,fruity
185.339P,0.3454429973849397,-0.8837210366611404,2.1663311573091346,-1.702096058049931,-0.7458575409826768,odorless
185.382P,0.7543894678449043,-1.690901281427578,-6.629630743075887,17.69542649947927,-5.848782362106168,fruity
185.471,-0.3154875504503142,0.017203059405029454,-0.5063588282127544,-1.1111590560620663,0.028413363882390262,fruity
185.507P,-0.9748781782625895,-0.1758131175977562,0.2588842209877473,-2.1022226865369986,-0.5605418584120667,odorless
185.513P,-0.5186468624444356,-0.6138750661195809,1.1619282972589673,1.1958136530176933,0.8605612444612234,fresh
185.514,-0.6828950334499136,-0.1375319098998359,0.04290132608042384,-1.334525108636177,-0.4577735756914908,odorless
185.578P,-0.6659004966594729,0.06571107673903895,-0.7647609497964144,0.23502178593558817,0.011266966690201587,fruity
185.615,-0.3084492355067889,0.9996344368046909,-0.572478516473669,-0.044317059321916145,0.19866578575219127,fruity
185.621P,-0.4836948330715002,0.00022904551932467694,-0.3333377686578132,-0.14997047078771286,-0.06861081251810174,fruity
185.644P,-0.5193833181063968,-0.0850271649196303,-0.3757531388256427,-0.28133838374105147,-0.18355406785693248,fruity
185.664,-0.5366987836722217,-0.01941718802455801,-0.312002927715575,-0.3641836716265641,0.021129876025663703,fruity
185.675P,-0.5825885727106096,-0.1766970557677718,-0.11931171139922205,-0.44669026757564156,-0.4034338477417903,odorless
185.727P,-1.2723864014218595,-0.3076943137307028,3.2929849048295896,-3.459845587702817,-0.8248987605031561,warm
185.741P,-0.421351419041804,0.22497798790162413,0.026951363566925474,-1.059115634438569,-0.35759940661515727,odorless
185.748P,0.9748390223346896,1.8046204892280735,-1.9030992076419917,3.463236185087424,2.4399787750310105,fruity
185.796P,-0.9802924711035939,-0.19997674647148792,0.30511660800374807,-2.360082112526623,-0.8740991446678155,odorless
185.902P,0.8156718418165112,-1.4077691197934386,0.04222483791317276,-0.06392826172938179,1.8149595844240007,fruity
185.922P,-0.22702485063007682,-0.25795038877532156,-0.14772438127829413,-0.47899432607492765,1.1087775135806581,fruity
185.984P,-0.39886314204084883,0.04766164279738909,-0.08750704933695919,-0.6259355157380599,0.8096065329223207,fruity
186.179P,-1.5144652668454857,-0.2824586545653418,0.4109380090074748,-3.481072454123829,-0.9034129445979097,warm
186.190P,-0.540030526889831,-0.25500284968966436,-1.0176583437563778,1.3121905816472283,1.9302416762873682,fruity
186.192,-0.53039078024475,-0.2504181745777825,-1.00070440982721,1.4094459020348868,2.06319857288801,fruity
186.277P,-0.21865775880320792,0.6741959757556807,-0.33070466424002815,-0.06631326215601566,0.15604746584499948,fruity
186.293P,0.021280531841626336,1.0654472139523876,0.3551280166576253,-1.6136614991754485,-0.649163241265225,odorless
186.395P,0.4430542958100328,0.8376858479181741,1.0631152862430506,-1.090696151750508,-1.0857952809739269,warm
186.396P,0.3810914207356875,0.7678853522273837,0.987211152423948,-1.0384422660689656,-0.7308509032526068,fruity
186.490P,-0.8219580027581457,-0.7858871977271151,-0.5968962191000815,-0.7888195467724591,9.40850475766772,fruity
186.569P,-0.08453735378767822,0.466039013500784,-0.7115121320792683,-0.8390112190721358,-0.25328982931135074,fruity
186.821,-0.5754828765073641,-0.0897150814635639,0.029780312688939756,-1.3292424019441702,-0.4970586206072782,odorless
186.950P,-1.8209742257104664,-0.49926315995625636,-2.0537529579937113,4.62613002183009,24.197969035324387,fruity
186.981P,-0.21536496383467416,-0.5183747144275092,-0.2199642015840404,0.5852718491517998,-0.2906821807550917,fruity
186.985P,0.9032046959638282,-1.4242424868797023,0.16305063089658978,-3.5828448675513913,-1.8898705241725442,fruity
187.004P,31.775641595522572,-20.708257302218968,0.10787248745698184,-1.802118071419898,1.4100589995114055,fresh
187.015P,-1.5346882464143736,-2.4151463442247145,31.536997927324613,10.618752560351318,0.19955486652574536,fruity
187.061P,-1.0403496129893361,-0.17975384828728053,1.4207471862132908,1.6928218157427435,-0.5896843107441602,fruity
187.064P,-0.2981453291499888,-0.21698287033454627,-1.0033941864260894,1.0922821628934818,-0.6083377338566767,fruity
