Stamm-Nr.,Rez.-Nr.,R-Nummer,ERP-Nr.,Name,Totalmenge,CAS-Nr.: - Hinweis 1,Sensorik_1,Sensorik_2,Sensorik_3,Sensorik_4,Odour Type 1 FlavourWheel,Odour Type 2 Flavour Wheel,Odour Type 3 Flavour Wheel,Threshold ppm (Datenbank),Threshold 2 ppm (Datenbank),Treshold 3 ppm (Datenbank),,
29201231,185.507P,R02071,60030507,"Cinnamylacetat, natürlich Halal",0.0000020000,103-54-8,spicy,floral,balsamic,cinnamic,warm,floral,balsamic,2,,,,
29200048,185.309P,R02172,60030568,Himbeerketonmethylether Halal,0.0000750000,104-20-1,dried raspberry,rose,cherry,fruity,floral,woody,,"0,5",,,,
29201231,185.507P,R01559,60030101_+K+,"Zimtaldehyd, natürlich Halal Kosher",0.0000010000,104-55-2,spicy,cinnamon,,,warm,,,"0,05",,,,
29200048,185.309P,R02158,60030556_+K+,Zimtaldehyd (trans) Halal,0.0000010000,104-55-2,spicy,cinnamon,,,warm,,,"0,05",,,,
29200048,185.309P,R01648,60030189,gamma-Undecalacton Halal Kosher,0.0001650000,104-67-6,fatty,peach,apricot,,warm,fruity,dairy,"0,1",,,,
29201008,185.090P,R01628,60030169,Ethylpropionat Halal Kosher,0.0000600000,105-37-3,fruity,rum,juicy,grape,fruity,fresh,,"0,1",,,,
29201874,187.787P,R01947,60030404,"Ethylpropionat, natürlich Kosher Halal",0.0010030000,105-37-3,fruity,rum,juicy,grape,fruity,fresh,,"0,1",,,,
29201969,187.894P,R01947,60030404,"Ethylpropionat, natürlich Kosher Halal",0.0009970000,105-37-3,fruity,rum,juicy,grape,fruity,fresh,,"0,1",,,,
29200048,185.309P,R01630,60030171,Ethyl-trans-2-crotonat,0.0000300000,10544-63-5,pungent,fruity,acidic,ester,fresh,fruity,unpleasant,3,,,,
29200533,186.190P,R01630,60030171,Ethyl-trans-2-crotonat,0.0000080000,10544-63-5,pungent,fruity,acidic,ester,fresh,fruity,unpleasant,3,,,,
29201891,187.796P,R01630,60030171,Ethyl-trans-2-crotonat,0.0000950000,10544-63-5,pungent,fruity,acidic,ester,fresh,fruity,unpleasant,3,,,,
RE00171_A01,185.091,R02063,60030499,"Ethyl-trans-2-crotonat, natürlich Halal",0.0001200000,10544-63-5,pungent,fruity,acidic,ester,fresh,fruity,unpleasant,3,,,,
29200240,185.675P,R01595,60030137,Diethylmalonat Halal Kosher,0.0000440000,105-53-3,fruity,green,apple,,warm,balsamic,fruity,5,,,,
29201008,185.090P,R01613,60030154,Ethylbutyrat Kosher Halal,0.0014850000,105-54-4,fruity,juicy,pineapple,cognac,fruity,fresh,warm,"0,1",,,,
29200042,185.237H,R01613,60030154,Ethylbutyrat Kosher Halal,0.0065210000,105-54-4,fruity,juicy,pineapple,cognac,fruity,fresh,warm,"0,1",,,,
29200034,185.294,R01613,60030154,Ethylbutyrat Kosher Halal,0.0116940000,105-54-4,fruity,juicy,pineapple,cognac,fruity,fresh,warm,"0,1",,,,
29200048,185.309P,R01613,60030154,Ethylbutyrat Kosher Halal,0.0004600000,105-54-4,fruity,juicy,pineapple,cognac,fruity,fresh,warm,"0,1",,,,
29200240,185.675P,R01613,60030154,Ethylbutyrat Kosher Halal,0.0060000000,105-54-4,fruity,juicy,pineapple,cognac,fruity,fresh,warm,"0,1",,,,
29200533,186.190P,R01613,60030154,Ethylbutyrat Kosher Halal,0.0041190000,105-54-4,fruity,juicy,pineapple,cognac,fruity,fresh,warm,"0,1",,,,
29200821,186.277P,R01613,60030154,Ethylbutyrat Kosher Halal,0.0065200000,105-54-4,fruity,juicy,pineapple,cognac,fruity,fresh,warm,"0,1",,,,
29201778,187.694P,R01613,60030154,Ethylbutyrat Kosher Halal,0.0100740000,105-54-4,fruity,juicy,pineapple,cognac,fruity,fresh,warm,"0,1",,,,
