Einzelwerte / Material,,,,,,,
,,,,,,,Benutzer: Petka Jan
Auswahl: CAS,,,,,,,Datum: 27.01.2026 13:22:00
,,,,,,,
"Bearbeitungsstatus: Freigabe zur Entwicklung/Bemusterung, Produktion/freigegeben",,,,,,,
"Lenkungsstatus: , freigegeben",,,,,,,
Abteilung/Sortiment: Abteilung,,,,,,,
Art/Gebiet/Bereich: Rohwaren,,,,,,,
"Werke:RohwarenAustria Juice Bingen, Austria Juice Krdf.",,,,,,,
,,,,,,,
Alle Regeln treffen zu:,,,,,,,
Attribute - Bezeichnung gleich CAS-Nr.:; Hinweis 1 nicht wie ,,,,,,,
,,,,,,,
Stamm-Nr.,Stammbezeichnung,Ident.,Vers.,Int. Id.,Partner,CAS-Nr.: - Hinweis 1,
61070011,Taurin,R01387,004,R01387,Austria Juice,107-35-7,
61050007,Dextrose-Monohydrat,R01392,007,R01392,Austria Juice,5996-10-1,
61050010,Fructose kristallin FG,R01396,008,R01396,Austria Juice,57-48-7,
61050000,Acesulfam-K (oder E950),R01411,005,441627,Austria Juice,55589-62-3,
61050002,Aspartam (E951),R01413,006,447127,Austria Juice,22839-47-0,
61050011,Natriumcyclamat (oder E 952),R01415,006,440942,Austria Juice,139-05-9,
61050012,Natriumsaccharin E954,R01416,006,441322,Austria Juice,6155-57-3,
61020001,MCT Öl  palmölbasiert,R01420,003,8400009,Austria Juice,73398-61-5,
61000003,Beta-Carotin 10% Emulsion yellow,R01432,011,498602,Austria Juice,7235-40-7 (nur beta-carotin),
61070082,Coenzym Q10 (40%),R01435,002,R01435,Austria Juice,303-98-0,
61000023,Riboflavin E101i/Lactoflavin,R01437,003,07600154,Austria Juice,83-88-5,
61000024,"Riboflavin-5-phosphat, Natrium (nur E101) Halal",R01438,006,R01438,Austria Juice,130-40-5,
61030002,"Vitamin C (Ascorbinsäure E300) Kosher Halal, BG",R01439,015,R01439,Austria Juice,50-81-7,
60030002,3-Phenylpropylacetat,R01454,004,R01454,Austria Juice,122-72-5,
60030597_+K+,DL-Alpha-Tocopherol Halal,R01455,012,R01455,Austria Juice,10191-41-0,
60030003_+K+,trans-2-Octen-1-ol,R01457,002,R01457,Austria Juice,18409-17-1,
60030005,cis-3-Hexenylhexanoat Halal Kosher,R01459,007,R01459,Austria Juice,31501-11-8,
60030006,Rosenoxid,R01460,004,R01460,Austria Juice,16409-43-1,
60030007,"1,4-Cineol",R01461,003,R01461,Austria Juice,470-67-7,
60030008,1-Penten-3-ol Halal,R01462,005,R01462,Austria Juice,616-25-1,
60030009,"2,3,5-Trimethylpyrazin Halal",R01463,007,R01463,Austria Juice,14667-55-1,
60030011,"2,6-Dimethoxyphenol, natürlich Halal",R01465,005,R01465,Austria Juice,91-10-1,
60030012,2-Acetylpyrazin Halal,R01466,006,R01466,Austria Juice,22047-25-2,
60030013,2-Butoxyethanol,R01467,001,R01467,Austria Juice,111-76-2,
60030015_+K+,2-Heptanon Halal Kosher,R01469,005,R01469,Austria Juice,110-43-0,
60030016,2-Isobutylthiazol Halal,R01471,005,R01471,Austria Juice,18640-74-9,
60030017,"2-Methylbutylisovalerat, natürlich",R01472,007,R01472,Austria Juice,2445-77-4,
60030018,2-Methylpyrazin Halal Kosher,R01473,006,R01473,Austria Juice,109-08-0,
60030019,"2-Methyl-1-butanol, natürlich Kosher Halal",R01474,009,R01474,Austria Juice,137-32-6,
60030021,2-Methylbutyl-2-methylbutyrat,R01476,002,R01476,Austria Juice,2445-78-5,
60030022,2-Methylbutylacetat Kosher Halal,R01477,008,R01477,Austria Juice,624-41-9,
60030023,2-Methylbuttersäure Halal Kosher,R01478,010,R01478,Austria Juice,116-53-0,
60030025,2-Nonanon Halal,R01480,006,R01480,Austria Juice,821-55-6,
60030026,2-Pentanon,R01481,004,R01481,Austria Juice,107-87-9,
60030027,2-Undecanon,R01482,004,R01482,Austria Juice,112-12-9,
60030028,"3,4-Hexandion",R01483,001,R01483,Austria Juice,4437-51-8,
60030030,3-Mercaptohexanol Kosher Halal,R01485,008,R01485,Austria Juice,51755-83-0,
60030031_+K+,3-Mercaptohexylacetat Halal Kosher ,R01486,007,R01486,Austria Juice,136954-20-6,
60030033,3-Penten-2-on,R01488,001,R01488,Austria Juice,625-33-2,
60030039_+K+,4-Vinylguajacol,R01494,003,R01494,Austria Juice,7786-61-0,
60030041_+T+,5-Methylfurfural Halal,R01496,005,R01496,Austria Juice,620-02-0,
60030042,Acetal Halal Kosher,R01498,008,R01498,Austria Juice,105-57-7,
60030043_+T+,Acetaldehyd Halal Kosher,R01499,022,R01499,Austria Juice,75-07-0,
60030044,Essigsäure Halal Kosher,R01500,010,R01500,Austria Juice,64-19-7,
60030045_+K+,Acetoin Kosher Halal,R01501,007,R01501,Austria Juice,513-86-0,
60030046_+K+,Aceton,R01502,003,R01502,Austria Juice,67-64-1,
60030047,Acetophenon Halal,R01503,005,R01503,Austria Juice,98-86-2,
60030048,Acetovanillon,R01504,002,R01504,Austria Juice,498-02-2,
60030049_+G+,Allylbutyrat,R01505,001,R01505,Austria Juice,2051-78-7,
60030050_+G+,Allylheptanoat,R01506,001,R01506,Austria Juice,142-19-8,
60030051_+G+,Allylhexanoat Halal Kosher,R01507,007,R01507,Austria Juice,123-68-2,
60030054,alpha-Ionon Halal Kosher,R01510,006,R01510,Austria Juice,127-41-3,
60030055,alpha-Iron,R01511,005,R01511,Austria Juice,79-69-6,
60030058,alpha-Terpinen,R01514,003,R01514,Austria Juice,99-86-5,
60030060,alpha-Terpinylacetat Halal,R01516,004,R01516,Austria Juice,80-26-2,
60030061,Ambrettolid Halal,R01517,005,R01517,Austria Juice,7779-50-2,
60030062,Amylalkohol Halal,R01518,004,R01518,Austria Juice,71-41-0,
