Rez.-Nr.,Ident,ERP-Nr.,Name,Totalmenge,Richtdosierung in g/l,CAS-Nr.,Odour-Type 1,Odour-Type 2,Odour-Type 3,Threshold
188.977,R02369,60030735,"2,3,5-Trimethylpyrazin, natürlich Halal",0.0003,0.6,14667-55-1,warm,nutty,,
187.004P,R02399,60030824_+G+,"2-Acetylfuran, natürlich","0,000248","0,200",1192-62-7,warm,balsamic,,
186.293P,R04571,60030747,"2-Ethyl-4-methylthiazol, natürlich","7,5E-7","1,100",15679-12-6,warm,nutty,green,
185.046,R01469,60030015_+K+,2-Heptanon Halal,"0,0005","0,600",110-43-0,floral,fruity,warm,"0,05"
187.015P,R01469,60030015_+K+,2-Heptanon Halal Kosher,"0,00019","0,350",110-43-0,floral,fruity,warm,"0,05"
185.028,R01976,60030429_+K+,"2-Heptanon, natürlich Halal","9,21375E-6","0,400",110-43-0,floral,fruity,warm,"0,05"
185.043P,R01976,60030429_+K+,"2-Heptanon, natürlich Halal",3E-6,"0,800",110-43-0,floral,fruity,warm,"0,05"
185.314,R01976,60030429_+K+,"2-Heptanon, natürlich Halal","4,5E-5","0,600",110-43-0,floral,fruity,warm,"0,05"
185.507P,R01976,60030429_+K+,"2-Heptanon, natürlich Halal","1,7E-5","0,300",110-43-0,floral,fruity,warm,"0,05"
185.796P,R01976,60030429_+K+,"2-Heptanon, natürlich Halal",8E-6,"0,860",110-43-0,floral,fruity,warm,"0,05"
186.179P,R01976,60030429_+K+,"2-Heptanon, natürlich Halal","1,7E-5","0,400",110-43-0,floral,fruity,warm,"0,05"
187.746P,R01976,60030429_+K+,"2-Heptanon, natürlich Halal","5,4E-5","1,000",110-43-0,floral,fruity,warm,"0,05"
188.819,R01976,60030429_+K+,"2-Heptanon, natürlich Halal",0.000003,"0,3",110-43-0,floral,fruity,warm,"0,05"
185.044,R01976,60030429_+K+,"2-Heptanon, natürlich Halal",0.000003,0.3,110-43-0,floral,fruity,warm,"0,05"
185.339P,R01474,60030019,"2-Methyl-1-butanol, natürlich Kosher Halal","0,000314","1,000",137-32-6,unpleasant,fresh,,
186.490P,R02178,60030571,2-Methyl-2-pentensäure,"0,000651","0,500",3142-72-1,unpleasant,warm,fruity,"0,5"
187.694P,R02178,60030571,2-Methyl-2-pentensäure,"0,000172","0,400",3142-72-1,unpleasant,warm,fruity,"0,5"
187.695P,R02178,60030571,2-Methyl-2-pentensäure,"9,9E-5","0,750",3142-72-1,unpleasant,warm,fruity,"0,5"
187.885P,R02178,60030571,2-Methyl-2-pentensäure,"0,001333","0,900",3142-72-1,unpleasant,warm,fruity,"0,5"
186.950P,R02178,60030571,2-Methyl-2-pentensäure Halal Kosher,"0,000275","1,000",3142-72-1,unpleasant,warm,fruity,"0,5"
188.481KHP,R02178,60030571,2-Methyl-2-pentensäure Halal Kosher,"0,0016","1,000",3142-72-1,unpleasant,warm,fruity,"0,5"
189.014,R02178,60030571,2-Methyl-2-pentensäure Halal Kosher,0.0004,1,3142-72-1,unpleasant,warm,fruity,"0,5"
188.977,R04650,60030776,"2-Methyl-2-pentensäure, natürlich",0.0004,0.6,3142-72-1,unpleasant,warm,fruity,"0,5"
185.046,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,0022","0,600",116-53-0,fruity,unpleasant,dairy,6.666666667
185.090P,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,000855","0,900",116-53-0,fruity,unpleasant,dairy,6.666666667
185.237H,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,013892","0,500",116-53-0,fruity,unpleasant,dairy,6.666666667
185.309P,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,001587","0,500",116-53-0,fruity,unpleasant,dairy,6.666666667
185.321,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,005415","0,300",116-53-0,fruity,unpleasant,dairy,6.666666667
185.513P,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,000735","0,800",116-53-0,fruity,unpleasant,dairy,6.666666667
185.615,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,006481","0,150",116-53-0,fruity,unpleasant,dairy,6.666666667
185.621P,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,009117","0,200",116-53-0,fruity,unpleasant,dairy,6.666666667
185.644P,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,00857","0,180",116-53-0,fruity,unpleasant,dairy,6.666666667
185.741P,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,001856","1,000",116-53-0,fruity,unpleasant,dairy,6.666666667
185.748P,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,066421","0,100",116-53-0,fruity,unpleasant,dairy,6.666666667
186.190P,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,0095","0,300",116-53-0,fruity,unpleasant,dairy,6.666666667
186.277P,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,0139","0,500",116-53-0,fruity,unpleasant,dairy,6.666666667
186.490P,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,006233","0,500",116-53-0,fruity,unpleasant,dairy,6.666666667
186.950P,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,00187","1,000",116-53-0,fruity,unpleasant,dairy,6.666666667
187.015P,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,001","0,350",116-53-0,fruity,unpleasant,dairy,6.666666667
187.167P,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,158","0,050",116-53-0,fruity,unpleasant,dairy,6.666666667
187.519P,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,005447","0,400",116-53-0,fruity,unpleasant,dairy,6.666666667
187.567P,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,003416","0,200",116-53-0,fruity,unpleasant,dairy,6.666666667
187.571P,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,048525","0,100",116-53-0,fruity,unpleasant,dairy,6.666666667
187.608P,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,011214","0,200",116-53-0,fruity,unpleasant,dairy,6.666666667
187.662P,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,007489","0,500",116-53-0,fruity,unpleasant,dairy,6.666666667
187.694P,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,006776","0,400",116-53-0,fruity,unpleasant,dairy,6.666666667
187.695P,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,004673","0,750",116-53-0,fruity,unpleasant,dairy,6.666666667
187.752P,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,003312","0,170",116-53-0,fruity,unpleasant,dairy,6.666666667
187.753P,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,003312","0,170",116-53-0,fruity,unpleasant,dairy,6.666666667
187.773P,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,01971","0,800",116-53-0,fruity,unpleasant,dairy,6.666666667
187.796P,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,054767","0,150",116-53-0,fruity,unpleasant,dairy,6.666666667
187.870P,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,006118","1,000",116-53-0,fruity,unpleasant,dairy,6.666666667
187.885P,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,005247","0,900",116-53-0,fruity,unpleasant,dairy,6.666666667
187.892P,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,051002","0,200",116-53-0,fruity,unpleasant,dairy,6.666666667
187.893P,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,000583","2,300",116-53-0,fruity,unpleasant,dairy,6.666666667
187.896P,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,003527","0,250",116-53-0,fruity,unpleasant,dairy,6.666666667
187.897P,R01478,60030023,2-Methylbuttersäure Halal Kosher,"3,1E-5","0,350",116-53-0,fruity,unpleasant,dairy,6.666666667
187.920P,R01478,60030023,2-Methylbuttersäure Halal Kosher,"6,9E-5","0,200",116-53-0,fruity,unpleasant,dairy,6.666666667
188.118P,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,0005","0,250",116-53-0,fruity,unpleasant,dairy,6.666666667
188.462KHP,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,00637","0,700",116-53-0,fruity,unpleasant,dairy,6.666666667
188.481KHP,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,000838","1,000",116-53-0,fruity,unpleasant,dairy,6.666666667
188.560P,R01478,60030023,2-Methylbuttersäure Halal Kosher,"0,0032","0,400",116-53-0,fruity,unpleasant,dairy,6.666666667
188.820,R01478,60030023,2-Methylbuttersäure Halal Kosher,0.0071,"0,3",116-53-0,fruity,unpleasant,dairy,6.666666667
188.866,R01478,60030023,2-Methylbuttersäure Halal Kosher,0.00244,0.5,116-53-0,fruity,unpleasant,dairy,6.666666667
188.976,R01478,60030023,2-Methylbuttersäure Halal Kosher,0.017223,0.5,116-53-0,fruity,unpleasant,dairy,6.666666667
189.014,R01478,60030023,2-Methylbuttersäure Halal Kosher,0.000201,1,116-53-0,fruity,unpleasant,dairy,6.666666667
189.051,R01478,60030023,2-Methylbuttersäure Halal Kosher,0.00225,0.2,116-53-0,fruity,unpleasant,dairy,6.666666667
189.075,R01478,60030023,2-Methylbuttersäure Halal Kosher,0.047,0.25,116-53-0,fruity,unpleasant,dairy,6.666666667
185.294,R01478,60030023,2-Methylbuttersäure Halal Kosher,0.008027,0.8,116-53-0,fruity,unpleasant,dairy,6.666666667
186.192,R01478,60030023,2-Methylbuttersäure Halal Kosher,0.007268,0.23,116-53-0,fruity,unpleasant,dairy,6.666666667
187.776,R01478,60030023,2-Methylbuttersäure Halal Kosher,0.005164,0.4,116-53-0,fruity,unpleasant,dairy,6.666666667
185.028,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG","0,00126","0,400",116-53-0,fruity,unpleasant,dairy,6.666666667
185.043P,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG","0,00014","0,800",116-53-0,fruity,unpleasant,dairy,6.666666667
185.086,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG","0,007728","0,300",116-53-0,fruity,unpleasant,dairy,6.666666667
185.091,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG","0,00108","0,500",116-53-0,fruity,unpleasant,dairy,6.666666667
185.178HP,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG","0,00108","0,300",116-53-0,fruity,unpleasant,dairy,6.666666667
185.267,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG","0,023294","0,500",116-53-0,fruity,unpleasant,dairy,6.666666667
185.291,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG","0,0015","1,0",116-53-0,fruity,unpleasant,dairy,6.666666667
185.314,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG","0,00684","0,600",116-53-0,fruity,unpleasant,dairy,6.666666667
185.339P,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG","0,001028","1,000",116-53-0,fruity,unpleasant,dairy,6.666666667
185.471,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG","0,025202","1,000",116-53-0,fruity,unpleasant,dairy,6.666666667
185.507P,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG","0,006498","0,300",116-53-0,fruity,unpleasant,dairy,6.666666667
185.578P,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG","0,01664","0,120",116-53-0,fruity,unpleasant,dairy,6.666666667
185.902P,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG","0,003263","0,500",116-53-0,fruity,unpleasant,dairy,6.666666667
185.922P,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG","0,002663","0,500",116-53-0,fruity,unpleasant,dairy,6.666666667
185.984P,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG","0,005589","0,400",116-53-0,fruity,unpleasant,dairy,6.666666667
186.179P,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG","0,006498","0,400",116-53-0,fruity,unpleasant,dairy,6.666666667
186.395P,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG","0,004208","1,000",116-53-0,fruity,unpleasant,dairy,6.666666667
186.396P,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG","0,003507","1,000",116-53-0,fruity,unpleasant,dairy,6.666666667
186.569P,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG","0,00468","0,300",116-53-0,fruity,unpleasant,dairy,6.666666667
186.981P,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG","0,012","0,300",116-53-0,fruity,unpleasant,dairy,6.666666667
186.985P,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG","1,9E-5","1,200",116-53-0,fruity,unpleasant,dairy,6.666666667
187.004P,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG","1,9E-5","0,200",116-53-0,fruity,unpleasant,dairy,6.666666667
187.064P,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG","0,004667","0,500",116-53-0,fruity,unpleasant,dairy,6.666666667
187.119P,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG","0,001215","1,900",116-53-0,fruity,unpleasant,dairy,6.666666667
187.246P,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG","0,0048","0,300",116-53-0,fruity,unpleasant,dairy,6.666666667
187.483P,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG","0,00724","0,350",116-53-0,fruity,unpleasant,dairy,6.666666667
187.507P,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG","0,005845","0,600",116-53-0,fruity,unpleasant,dairy,6.666666667
187.521P,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG","0,000289","0,600",116-53-0,fruity,unpleasant,dairy,6.666666667
187.657P,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG","0,029576","0,200",116-53-0,fruity,unpleasant,dairy,6.666666667
187.746P,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG","0,000123","1,000",116-53-0,fruity,unpleasant,dairy,6.666666667
187.783P,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG","0,00117","2,500",116-53-0,fruity,unpleasant,dairy,6.666666667
187.787P,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG","0,009932","0,200",116-53-0,fruity,unpleasant,dairy,6.666666667
187.791P,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG","0,002499","1,000",116-53-0,fruity,unpleasant,dairy,6.666666667
187.799P,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG","0,0048","0,700",116-53-0,fruity,unpleasant,dairy,6.666666667
187.800P,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG","0,001817","1,000",116-53-0,fruity,unpleasant,dairy,6.666666667
187.826P,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG","3,9E-5","1,200",116-53-0,fruity,unpleasant,dairy,6.666666667
187.829P,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG","0,012992","0,500",116-53-0,fruity,unpleasant,dairy,6.666666667
187.834P,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG","0,008393","0,700",116-53-0,fruity,unpleasant,dairy,6.666666667
187.843P,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG","0,002779","0,600",116-53-0,fruity,unpleasant,dairy,6.666666667
187.894P,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG","0,008557","0,250",116-53-0,fruity,unpleasant,dairy,6.666666667
187.895P,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG","0,000567","0,120",116-53-0,fruity,unpleasant,dairy,6.666666667
187.907,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG","0,008509","2,000",116-53-0,fruity,unpleasant,dairy,6.666666667
187.914P,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG","0,008704","0,700",116-53-0,fruity,unpleasant,dairy,6.666666667
187.916P,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG","0,001493","1,000",116-53-0,fruity,unpleasant,dairy,6.666666667
187.923P,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG","0,002253","0,500",116-53-0,fruity,unpleasant,dairy,6.666666667
188.375P,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG","0,0044","0,600",116-53-0,fruity,unpleasant,dairy,6.666666667
188.402P,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG","8,6E-5","2,000",116-53-0,fruity,unpleasant,dairy,6.666666667
188.412P,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG","0,010037","0,400",116-53-0,fruity,unpleasant,dairy,6.666666667
188.491P,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG","0,005286","0,200",116-53-0,fruity,unpleasant,dairy,6.666666667
188.628P,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG","0,01169","0,300",116-53-0,fruity,unpleasant,dairy,6.666666667
188.656P,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG","0,0054","0,800",116-53-0,fruity,unpleasant,dairy,6.666666667
188.819,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG",0.00014,"0,3",116-53-0,fruity,unpleasant,dairy,6.666666667
188.977,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG",0.014,0.6,116-53-0,fruity,unpleasant,dairy,6.666666667
188.992,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG",0.011,0.4,116-53-0,fruity,unpleasant,dairy,6.666666667
189.012,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG",0.0235,0.3,116-53-0,fruity,unpleasant,dairy,6.666666667
185.044,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG",0.00014,0.3,116-53-0,fruity,unpleasant,dairy,6.666666667
187.365,R01975,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG",0.006395,0.5,116-53-0,fruity,unpleasant,dairy,6.666666667
187.662P,R01476,60030021,2-Methylbutyl-2-methylbutyrat,"5,9E-5","0,500",2445-78-5,fruity,woody,,
187.892P,R01477,60030022,2-Methylbutylacetat Kosher Halal,"0,001032","0,200",624-41-9,fruity,warm,,"0,1"
185.091,R01870,60030353,"2-Methylbutylacetat, natürlich Kosher Halal",8E-5,"0,500",624-41-9,fruity,warm,,"0,1"
185.178HP,R01870,60030353,"2-Methylbutylacetat, natürlich Kosher Halal",8E-5,"0,300",624-41-9,fruity,warm,,"0,1"
185.339P,R01870,60030353,"2-Methylbutylacetat, natürlich Kosher Halal","7,8E-5","1,000",624-41-9,fruity,warm,,"0,1"
187.871P,R02224,60030602,2-Methylbutylbutyrat,"0,000344","1,000",51115-64-1,fruity,fresh,green,
185.621P,R01868,60030351,2-Methylbutylisovalerat,"0,000351","0,200",2445-77-4,fresh,fruity,warm,"0,666666667"
185.644P,R01868,60030351,2-Methylbutylisovalerat,"0,000344","0,180",2445-77-4,fresh,fruity,warm,"0,666666667"
187.567P,R01868,60030351,2-Methylbutylisovalerat,"1,2E-5","0,200",2445-77-4,fresh,fruity,warm,"0,666666667"
187.608P,R01868,60030351,2-Methylbutylisovalerat,"0,00031","0,200",2445-77-4,fresh,fruity,warm,"0,666666667"
187.694P,R01868,60030351,2-Methylbutylisovalerat,"0,000155","0,400",2445-77-4,fresh,fruity,warm,"0,666666667"
187.695P,R01868,60030351,2-Methylbutylisovalerat,"0,000111","0,750",2445-77-4,fresh,fruity,warm,"0,666666667"
187.773P,R01868,60030351,2-Methylbutylisovalerat,"0,000901","0,800",2445-77-4,fresh,fruity,warm,"0,666666667"
187.870P,R01868,60030351,2-Methylbutylisovalerat,"0,000245","1,000",2445-77-4,fresh,fruity,warm,"0,666666667"
187.871P,R01868,60030351,2-Methylbutylisovalerat,"0,001006","1,000",2445-77-4,fresh,fruity,warm,"0,666666667"
187.893P,R01868,60030351,2-Methylbutylisovalerat,"0,000377","2,300",2445-77-4,fresh,fruity,warm,"0,666666667"
185.382P,R01472,60030017,"2-Methylbutylisovalerat, natürlich","0,000172","1,000",2445-77-4,fresh,fruity,warm,"0,666666667"
186.985P,R01472,60030017,"2-Methylbutylisovalerat, natürlich",3E-6,"1,200",2445-77-4,fresh,fruity,warm,"0,666666667"
187.482P,R01472,60030017,"2-Methylbutylisovalerat, natürlich","0,000172","0,965",2445-77-4,fresh,fruity,warm,"0,666666667"
187.783P,R01472,60030017,"2-Methylbutylisovalerat, natürlich","0,000125","2,500",2445-77-4,fresh,fruity,warm,"0,666666667"
187.894P,R01472,60030017,"2-Methylbutylisovalerat, natürlich","0,0001","0,250",2445-77-4,fresh,fruity,warm,"0,666666667"
188.992,R01472,60030017,"2-Methylbutylisovalerat, natürlich",0.00058,0.4,2445-77-4,fresh,fruity,warm,"0,666666667"
185.507P,R02069,60030505,"2-Nonanon, natürlich Halal",8E-6,"0,300",821-55-6,floral,fruity,warm,"0,066666667"
185.796P,R02069,60030505,"2-Nonanon, natürlich Halal",4E-6,"0,860",821-55-6,floral,fruity,warm,"0,066666667"
186.179P,R02069,60030505,"2-Nonanon, natürlich Halal",8E-6,"0,400",821-55-6,floral,fruity,warm,"0,066666667"
187.746P,R02069,60030505,"2-Nonanon, natürlich Halal","1,3E-5","1,000",821-55-6,floral,fruity,warm,"0,066666667"
187.896P,R03266,60030689,2-Octanon Halal,"0,000395","0,250",111-13-7,unpleasant,floral,woody,
188.639P,R02423,60030829,2-Octen-4-on,"0,00012",0.2,4643-27-0,unpleasant,warm,fresh,
185.507P,R02070,60030506,"2-Pentanon, natürlich Halal","6,8E-5","0,300",107-87-9,fresh,warm,fruity,2
185.796P,R02070,60030506,"2-Pentanon, natürlich Halal","3,2E-5","0,860",107-87-9,fresh,warm,fruity,2
186.179P,R02070,60030506,"2-Pentanon, natürlich Halal","6,8E-5","0,400",107-87-9,fresh,warm,fruity,2
185.507P,R02068,60030504,"2-Undecanon, natürlich Halal","1,2E-5","0,300",112-12-9,unpleasant,fruity,fresh,"0,05"
185.796P,R02068,60030504,"2-Undecanon, natürlich Halal",6E-6,"0,860",112-12-9,unpleasant,fruity,fresh,"0,05"
186.179P,R02068,60030504,"2-Undecanon, natürlich Halal","1,2E-5","0,400",112-12-9,unpleasant,fruity,fresh,"0,05"
186.985P,R02152,60030551_+K+,"4-Vinylguajacol 1% in PG, natürlich","2,5E-5","1,200",7786-61-0,woody,warm,,
187.004P,R02152,60030551_+K+,"4-Vinylguajacol 1% in PG, natürlich","9,7E-6","0,200",7786-61-0,woody,warm,,
185.090P,R01498,60030042,Acetal Halal,3E-5,"0,900",105-57-7,fresh,green,,"0,1"
185.514,R01498,60030042,Acetal Halal,"0,000146","0,250",105-57-7,fresh,green,,"0,1"
187.608P,R01498,60030042,Acetal Halal,"0,000119","0,200",105-57-7,fresh,green,,"0,1"
187.694P,R01498,60030042,Acetal Halal,6E-5,"0,400",105-57-7,fresh,green,,"0,1"
187.695P,R01498,60030042,Acetal Halal,"4,3E-5","0,750",105-57-7,fresh,green,,"0,1"
187.893P,R01498,60030042,Acetal Halal,"7,3E-5","2,300",105-57-7,fresh,green,,"0,1"
188.118P,R01498,60030042,Acetal Halal,"0,0002","0,250",105-57-7,fresh,green,,"0,1"
185.043P,R01971,60030424,"Acetal, natürlich Halal BG","0,000227","0,800",105-57-7,fresh,green,,"0,1"
187.783P,R01971,60030424,"Acetal, natürlich Halal BG","4,9E-5","2,500",105-57-7,fresh,green,,"0,1"
187.886P,R01971,60030424,"Acetal, natürlich Halal BG","6,5E-5","0,350",105-57-7,fresh,green,,"0,1"
187.894P,R01971,60030424,"Acetal, natürlich Halal BG","0,000285","0,250",105-57-7,fresh,green,,"0,1"
187.895P,R01971,60030424,"Acetal, natürlich Halal BG","4,2E-5","0,120",105-57-7,fresh,green,,"0,1"
187.521P,R01971,60030424,"Acetal, natürlich Halal BG V","0,000188","0,600",105-57-7,fresh,green,,"0,1"
188.819,R01971,60030424,"Acetal, natürlich Halal BG V",0.000227,"0,3",105-57-7,fresh,green,,"0,1"
185.044,R01971,60030424,"Acetal, natürlich Halal BG V",0.000227,0.3,105-57-7,fresh,green,,"0,1"
185.133,R01971,60030424,"Acetal, natürlich Halal BG V",0.00014,1,105-57-7,fresh,green,,"0,1"
186.821,R01971,60030424,"Acetal, natürlich Halal BG V",0.00014,1,105-57-7,fresh,green,,"0,1"
185.239,R01499,60030043_+T+,Acetaldehyd Halal Kosher,"0,005","0,200",75-07-0,fresh,fruity,green,5
185.321,R01499,60030043_+T+,Acetaldehyd Halal Kosher,"2,5E-5","0,300",75-07-0,fresh,fruity,green,5
185.514,R01499,60030043_+T+,Acetaldehyd Halal Kosher,"0,000122","0,250",75-07-0,fresh,fruity,green,5
185.621P,R01499,60030043_+T+,Acetaldehyd Halal Kosher,"1,13E-5","0,200",75-07-0,fresh,fruity,green,5
185.644P,R01499,60030043_+T+,Acetaldehyd Halal Kosher,"1,36E-5","0,180",75-07-0,fresh,fruity,green,5
187.519P,R01499,60030043_+T+,Acetaldehyd Halal Kosher,"0,0001365","0,400",75-07-0,fresh,fruity,green,5
187.608P,R01499,60030043_+T+,Acetaldehyd Halal Kosher,"4,95E-5","0,200",75-07-0,fresh,fruity,green,5
187.694P,R01499,60030043_+T+,Acetaldehyd Halal Kosher,"2,5E-5","0,400",75-07-0,fresh,fruity,green,5
187.695P,R01499,60030043_+T+,Acetaldehyd Halal Kosher,"1,8E-5","0,750",75-07-0,fresh,fruity,green,5
187.892P,R01499,60030043_+T+,Acetaldehyd Halal Kosher,"0,000811","0,200",75-07-0,fresh,fruity,green,5
187.896P,R01499,60030043_+T+,Acetaldehyd Halal Kosher,"0,0008155","0,250",75-07-0,fresh,fruity,green,5
187.897P,R01499,60030043_+T+,Acetaldehyd Halal Kosher,"1,5E-6","0,350",75-07-0,fresh,fruity,green,5
187.920P,R01499,60030043_+T+,Acetaldehyd Halal Kosher,"0,000106","0,200",75-07-0,fresh,fruity,green,5
188.462KHP,R01499,60030043_+T+,Acetaldehyd Halal Kosher,"8,2E-5","0,700",75-07-0,fresh,fruity,green,5
188.820,R01499,60030043_+T+,Acetaldehyd Halal Kosher,0.00005,"0,3",75-07-0,fresh,fruity,green,5
189.075,R01499,60030043_+T+,Acetaldehyd Halal Kosher,0.000096,0.25,75-07-0,fresh,fruity,green,5
185.294,R01499,60030043_+T+,Acetaldehyd Halal Kosher,0.000625,0.8,75-07-0,fresh,fruity,green,5
185.309P,R02279,60030637_+K+,Acetaldehyd PG acetal,"0,00017","0,500",3390-12-3,fresh,fruity,green,
185.748P,R02279,60030637_+K+,Acetaldehyd PG acetal Halal,4E-6,"0,100",3390-12-3,fresh,fruity,green,
185.028,R01872,60030355_+T+,"Acetaldehyd, natürlich Kosher Halal ","0,00282625","0,400",75-07-0,fresh,fruity,green,5
185.043P,R01872,60030355_+T+,"Acetaldehyd, natürlich Kosher Halal ","0,00085","0,800",75-07-0,fresh,fruity,green,5
185.086,R01872,60030355_+T+,"Acetaldehyd, natürlich Kosher Halal ","0,000364","0,300",75-07-0,fresh,fruity,green,5
185.471,R01872,60030355_+T+,"Acetaldehyd, natürlich Kosher Halal ","5,14E-5","1,000",75-07-0,fresh,fruity,green,5
185.507P,R01872,60030355_+T+,"Acetaldehyd, natürlich Kosher Halal ","0,000313","0,300",75-07-0,fresh,fruity,green,5
