Stamm-Nr.,Rez.-Nr.,Rezepturbezeichnung,ERP-Nr.,Name,Totalmenge,CAS-Nr.: - Hinweis 1,Sensorik_1,Sensorik_2,Sensorik_3,Sensorik_4,Odour Type 1 FlavourWheel,Odour Type 2 Flavour Wheel,Odour Type 3 Flavour Wheel,Threshold ppm (Datenbank),,,
29201025,187.119P,Erdbeer-Aroma,60030397,"Ethylisovalerat, natürlich Kosher Halal  BG",0.0003600000,108-64-5,fruity,apple,pineapple,tutti frutti,fruity,tropical,green,0.5,,,
29201745,187.662P,Erdbeer-Aroma,60030161,Ethylisovalerat Kosher Halal,0.0087860000,108-64-5,fruity,apple,pineapple,tutti frutti,fruity,tropical,green,0.5,,,
29201835,187.746P,Erdbeer-Aroma,60030397,"Ethylisovalerat, natürlich Kosher Halal  BG",0.0003870000,108-64-5,fruity,apple,pineapple,tutti frutti,fruity,tropical,green,0.5,,,
29201878,187.783P,Erdbeer-Aroma,60030397,"Ethylisovalerat, natürlich Kosher Halal  BG",0.0006660000,108-64-5,fruity,apple,pineapple,tutti frutti,fruity,tropical,green,0.5,,,
29201947,187.871P,Erdbeer-Aroma,60030161,Ethylisovalerat Kosher Halal,0.0056950000,108-64-5,fruity,apple,pineapple,tutti frutti,fruity,tropical,green,0.5,,,
29201964,187.893P,Erdbeer-Aroma,60030161,Ethylisovalerat Kosher Halal,0.0004380000,108-64-5,fruity,apple,pineapple,tutti frutti,fruity,tropical,green,0.5,,,
29201969,187.894P,Erdbeer-Aroma,60030397,"Ethylisovalerat, natürlich Kosher Halal  BG",0.0000390000,108-64-5,fruity,apple,pineapple,tutti frutti,fruity,tropical,green,0.5,,,
29202513,188.412P,Erdbeer-Aroma,60030397,"Ethylisovalerat, natürlich Kosher Halal  BG",0.0013160000,108-64-5,fruity,apple,pineapple,tutti frutti,fruity,tropical,green,0.5,,,
29202795,188.668P,Erdbeer-Aroma,60030397,"Ethylisovalerat, natürlich Kosher Halal  BG",0.0051000000,108-64-5,fruity,apple,pineapple,tutti frutti,fruity,tropical,green,0.5,,,
29201964,187.893P,Erdbeer-Aroma,60030091,Butylisovalerat Halal Kosher,0.0007510000,109-19-3,fruity,apple,pear,pineapple,fruity,green,,0.5,,,
29201588,187.522P,Erdbeer-Aroma,60030342,Valeriansäure Kosher Halal,0.0010140000,109-52-4,cheesy,Powdery,acidic,rancid,dairy,unpleasant,,1,,,
29201964,187.893P,Erdbeer-Aroma,60030310,Propylacetat Halal Kosher,0.0003180000,109-60-4,solvent,celery,fruity,fusel,solvent,,,0.666666667,,,
29201588,187.522P,Erdbeer-Aroma,60030157,Ethylformiat Halal,0.0006610000,109-94-4,ethereal,green,fusel,rose,solvent,fruity,,66.66666667,,,
29202007,187.920P,Erdbeer-Aroma,60030157,Ethylformiat Halal,0.0049980000,109-94-4,ethereal,green,fusel,rose,solvent,fruity,,66.66666667,,,
RE00734_A01,185.471,Erdbeer-Aroma,60030413,"Isobutylacetat, natürlich Kosher Halal",0.0018370000,110-19-0,fruity,ethereal,banana,tropical,fruity,solvent,,1,,,
29201745,187.662P,Erdbeer-Aroma,60030156,Ethyldecanoat Halal Kosher,0.0000050000,110-38-3,waxy,fruity,apple,brandy,unpleasant,fruity,,0.1,,,
29201969,187.894P,Erdbeer-Aroma,60030486,"Ethyldecanoat, natürlich, Kosher Halal, V",0.0001280000,110-38-3,waxy,fruity,apple,brandy,unpleasant,fruity,,0.1,,,
29200817,185.796P,Erdbeer-Aroma,60030429_+K+,"2-Heptanon, natürlich Halal",0.0000080000,110-43-0,cheesy,fruity,spicy,herbal,dairy,fruity,,0.05,,,
29201835,187.746P,Erdbeer-Aroma,60030429_+K+,"2-Heptanon, natürlich Halal",0.0000540000,110-43-0,cheesy,fruity,spicy,herbal,dairy,fruity,,0.05,,,
29202914,188.796P,Erdbeer-Aroma,60030429_+K+,"2-Heptanon, natürlich Halal",0.0000510000,110-43-0,cheesy,fruity,spicy,herbal,dairy,fruity,,0.05,,,
RE02701_A01,186.395P,Erdbeer-Aroma,60030452,"Methylheptenon, natürlich Kosher; Halal V;",0.0003960000,110-93-0,citrus,green,musty,lemongrass,citrus,green,,0.066666667,,,
29200308,186.396P,Erdbeer-Aroma,60030452,"Methylheptenon, natürlich Kosher; Halal V;",0.0003300000,110-93-0,citrus,green,musty,lemongrass,citrus,green,,0.066666667,,,
29201573,187.507P,Erdbeer-Aroma,60030452,"Methylheptenon, natürlich Kosher; Halal V;",0.0005500000,110-93-0,citrus,green,musty,lemongrass,citrus,green,,0.066666667,,,
29202746,188.628P,Erdbeer-Aroma,60030452,"Methylheptenon, natürlich Kosher; Halal V;",0.0011000000,110-93-0,citrus,green,musty,lemongrass,citrus,green,,0.066666667,,,
29200240,185.675P,Erdbeer-Aroma,60030205,Hexanol Kosher Halal,0.0050000000,111-27-3,ethereal,fusel,fruity,green,solvent,fruity,green,0.5,,,
29201172,185.741P,Erdbeer-Aroma,60030205,Hexanol Kosher Halal,0.0002680000,111-27-3,ethereal,fusel,fruity,green,solvent,fruity,green,0.5,,,
29200817,185.796P,Erdbeer-Aroma,60030406,"Hexanol, natürlich Kosher Halal",0.0000020000,111-27-3,ethereal,fusel,fruity,green,solvent,fruity,green,0.5,,,
RE01628_A01,185.902P,Erdbeer-Aroma,60030406,"Hexanol, natürlich Kosher Halal",0.0010300000,111-27-3,ethereal,fusel,fruity,green,solvent,fruity,green,0.5,,,
RE02504_A01,186.293P,Erdbeer-Aroma,60030406,"Hexanol, natürlich Kosher Halal",0.0001020000,111-27-3,ethereal,fusel,fruity,green,solvent,fruity,green,0.5,,,
RE02701_A01,186.395P,Erdbeer-Aroma,60030406,"Hexanol, natürlich Kosher Halal",0.0000650000,111-27-3,ethereal,fusel,fruity,green,solvent,fruity,green,0.5,,,
29200308,186.396P,Erdbeer-Aroma,60030406,"Hexanol, natürlich Kosher Halal",0.0000540000,111-27-3,ethereal,fusel,fruity,green,solvent,fruity,green,0.5,,,
29201025,187.119P,Erdbeer-Aroma,60030406,"Hexanol, natürlich Kosher Halal",0.0002400000,111-27-3,ethereal,fusel,fruity,green,solvent,fruity,green,0.5,,,
29201573,187.507P,Erdbeer-Aroma,60030406,"Hexanol, natürlich Kosher Halal",0.0000900000,111-27-3,ethereal,fusel,fruity,green,solvent,fruity,green,0.5,,,
29201745,187.662P,Erdbeer-Aroma,60030205,Hexanol Kosher Halal,0.0003040000,111-27-3,ethereal,fusel,fruity,green,solvent,fruity,green,0.5,,,
29201835,187.746P,Erdbeer-Aroma,60030406,"Hexanol, natürlich Kosher Halal",0.0021630000,111-27-3,ethereal,fusel,fruity,green,solvent,fruity,green,0.5,,,
29201878,187.783P,Erdbeer-Aroma,60030406,"Hexanol, natürlich Kosher Halal",0.0002510000,111-27-3,ethereal,fusel,fruity,green,solvent,fruity,green,0.5,,,
29201947,187.871P,Erdbeer-Aroma,60030205,Hexanol Kosher Halal,0.0005950000,111-27-3,ethereal,fusel,fruity,green,solvent,fruity,green,0.5,,,
29201969,187.894P,Erdbeer-Aroma,60030406,"Hexanol, natürlich Kosher Halal",0.0044640000,111-27-3,ethereal,fusel,fruity,green,solvent,fruity,green,0.5,,,
29202513,188.412P,Erdbeer-Aroma,60030406,"Hexanol, natürlich Kosher Halal",0.0037640000,111-27-3,ethereal,fusel,fruity,green,solvent,fruity,green,0.5,,,
29202746,188.628P,Erdbeer-Aroma,60030406,"Hexanol, natürlich Kosher Halal",0.0001800000,111-27-3,ethereal,fusel,fruity,green,solvent,fruity,green,0.5,,,
29202914,188.796P,Erdbeer-Aroma,60030406,"Hexanol, natürlich Kosher Halal",0.0000090000,111-27-3,ethereal,fusel,fruity,green,solvent,fruity,green,0.5,,,
29201745,187.662P,Erdbeer-Aroma,60030462,Nonansäure,0.0000620000,112-05-0,waxy,cheese,cultured,dairy,dairy,unpleasant,,5,,,
29200817,185.796P,Erdbeer-Aroma,60030504,"2-Undecanon, natürlich Halal",0.0000060000,112-12-9,fruity,waxy,creamy,fatty,fruity,unpleasant,dairy,0.05,,,
29202914,188.796P,Erdbeer-Aroma,60030504,"2-Undecanon, natürlich Halal",0.0000360000,112-12-9,fruity,waxy,creamy,fatty,fruity,unpleasant,dairy,0.05,,,
29202513,188.412P,Erdbeer-Aroma,60030532,"Octylacetat, natürlich Halal",0.0000700000,112-14-1,floral,green,earthy,mushroom,floral,green,,0.1,,,
29200047,185.267,Erdbeer-Aroma,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG",0.0232940000,116-53-0,Pungent,acetic,roquefort,cheesey,unpleasant,dairy,fruity,6.666666667,,,
RE00734_A01,185.471,Erdbeer-Aroma,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG",0.0252020000,116-53-0,Pungent,acetic,roquefort,cheesey,unpleasant,dairy,fruity,6.666666667,,,
RE00956_A01,185.615,Erdbeer-Aroma,60030023,2-Methylbuttersäure Halal Kosher,0.0064810000,116-53-0,Pungent,acetic,roquefort,cheesey,unpleasant,dairy,fruity,6.666666667,,,
29201172,185.741P,Erdbeer-Aroma,60030023,2-Methylbuttersäure Halal Kosher,0.0018560000,116-53-0,Pungent,acetic,roquefort,cheesey,unpleasant,dairy,fruity,6.666666667,,,
RE01628_A01,185.902P,Erdbeer-Aroma,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG",0.0032630000,116-53-0,Pungent,acetic,roquefort,cheesey,unpleasant,dairy,fruity,6.666666667,,,
29203204,185.922P,Erdbeer-Aroma,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG",0.0026630000,116-53-0,Pungent,acetic,roquefort,cheesey,unpleasant,dairy,fruity,6.666666667,,,
RE02701_A01,186.395P,Erdbeer-Aroma,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG",0.0042080000,116-53-0,Pungent,acetic,roquefort,cheesey,unpleasant,dairy,fruity,6.666666667,,,
29200308,186.396P,Erdbeer-Aroma,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG",0.0035070000,116-53-0,Pungent,acetic,roquefort,cheesey,unpleasant,dairy,fruity,6.666666667,,,
29200823,186.950P,Erdbeer-Aroma,60030023,2-Methylbuttersäure Halal Kosher,0.0018700000,116-53-0,Pungent,acetic,roquefort,cheesey,unpleasant,dairy,fruity,6.666666667,,,
29201025,187.119P,Erdbeer-Aroma,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG",0.0012150000,116-53-0,Pungent,acetic,roquefort,cheesey,unpleasant,dairy,fruity,6.666666667,,,
29201573,187.507P,Erdbeer-Aroma,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG",0.0058450000,116-53-0,Pungent,acetic,roquefort,cheesey,unpleasant,dairy,fruity,6.666666667,,,
29201745,187.662P,Erdbeer-Aroma,60030023,2-Methylbuttersäure Halal Kosher,0.0074890000,116-53-0,Pungent,acetic,roquefort,cheesey,unpleasant,dairy,fruity,6.666666667,,,
29201835,187.746P,Erdbeer-Aroma,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG",0.0001230000,116-53-0,Pungent,acetic,roquefort,cheesey,unpleasant,dairy,fruity,6.666666667,,,
29201878,187.783P,Erdbeer-Aroma,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG",0.0011700000,116-53-0,Pungent,acetic,roquefort,cheesey,unpleasant,dairy,fruity,6.666666667,,,
29201955,187.885P,Erdbeer-Aroma,60030023,2-Methylbuttersäure Halal Kosher,0.0052470000,116-53-0,Pungent,acetic,roquefort,cheesey,unpleasant,dairy,fruity,6.666666667,,,
29201971,187.892P,Erdbeer-Aroma,60030023,2-Methylbuttersäure Halal Kosher,0.0510020000,116-53-0,Pungent,acetic,roquefort,cheesey,unpleasant,dairy,fruity,6.666666667,,,
29201964,187.893P,Erdbeer-Aroma,60030023,2-Methylbuttersäure Halal Kosher,0.0005830000,116-53-0,Pungent,acetic,roquefort,cheesey,unpleasant,dairy,fruity,6.666666667,,,
29201969,187.894P,Erdbeer-Aroma,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG",0.0085570000,116-53-0,Pungent,acetic,roquefort,cheesey,unpleasant,dairy,fruity,6.666666667,,,
29202007,187.920P,Erdbeer-Aroma,60030023,2-Methylbuttersäure Halal Kosher,0.0000690000,116-53-0,Pungent,acetic,roquefort,cheesey,unpleasant,dairy,fruity,6.666666667,,,
29202470,188.375P,Erdbeer-Aroma,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG",0.0044000000,116-53-0,Pungent,acetic,roquefort,cheesey,unpleasant,dairy,fruity,6.666666667,,,
29202513,188.412P,Erdbeer-Aroma,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG",0.0100370000,116-53-0,Pungent,acetic,roquefort,cheesey,unpleasant,dairy,fruity,6.666666667,,,
29202746,188.628P,Erdbeer-Aroma,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG",0.0116900000,116-53-0,Pungent,acetic,roquefort,cheesey,unpleasant,dairy,fruity,6.666666667,,,
29202914,188.796P,Erdbeer-Aroma,60030428,"2-Methylbuttersäure, natürlich Kosher, Halal, BG",0.0194940000,116-53-0,Pungent,acetic,roquefort,cheesey,unpleasant,dairy,fruity,6.666666667,,,
29200240,185.675P,Erdbeer-Aroma,60030250,Maltol Kosher Halal,0.0110000000,118-71-8,caramellic,cotton candy,jam,fruity,warm,,,1,,,
29200817,185.796P,Erdbeer-Aroma,60030373,"Maltol, natürlich Kosher, Halal",0.0000405050,118-71-8,caramellic,cotton candy,jam,fruity,warm,,,1,,,
RE02504_A01,186.293P,Erdbeer-Aroma,60030373,"Maltol, natürlich Kosher, Halal",0.0002990000,118-71-8,caramellic,cotton candy,jam,fruity,warm,,,1,,,
RE02701_A01,186.395P,Erdbeer-Aroma,60030373,"Maltol, natürlich Kosher, Halal",0.0009710500,118-71-8,caramellic,cotton candy,jam,fruity,warm,,,1,,,
29200308,186.396P,Erdbeer-Aroma,60030373,"Maltol, natürlich Kosher, Halal",0.0008092100,118-71-8,caramellic,cotton candy,jam,fruity,warm,,,1,,,
29200823,186.950P,Erdbeer-Aroma,60030250,Maltol Kosher Halal,0.0018250000,118-71-8,caramellic,cotton candy,jam,fruity,warm,,,1,,,
29200974,187.061P,Erdbeer-Aroma,60030250,Maltol Kosher Halal,0.0010000000,118-71-8,caramellic,cotton candy,jam,fruity,warm,,,1,,,
29201025,187.119P,Erdbeer-Aroma,60030373,"Maltol, natürlich Kosher, Halal",0.0001450000,118-71-8,caramellic,cotton candy,jam,fruity,warm,,,1,,,
29201573,187.507P,Erdbeer-Aroma,60030373,"Maltol, natürlich Kosher, Halal",0.0013486850,118-71-8,caramellic,cotton candy,jam,fruity,warm,,,1,,,
29201588,187.522P,Erdbeer-Aroma,60030250,Maltol Kosher Halal,0.0024262800,118-71-8,caramellic,cotton candy,jam,fruity,warm,,,1,,,
29201947,187.871P,Erdbeer-Aroma,60030250,Maltol Kosher Halal,0.0146640000,118-71-8,caramellic,cotton candy,jam,fruity,warm,,,1,,,
29201955,187.885P,Erdbeer-Aroma,60030250,Maltol Kosher Halal,0.0066310000,118-71-8,caramellic,cotton candy,jam,fruity,warm,,,1,,,
29201964,187.893P,Erdbeer-Aroma,60030250,Maltol Kosher Halal,0.0122050000,118-71-8,caramellic,cotton candy,jam,fruity,warm,,,1,,,
29202007,187.920P,Erdbeer-Aroma,60030250,Maltol Kosher Halal,0.0303440000,118-71-8,caramellic,cotton candy,jam,fruity,warm,,,1,,,
29202746,188.628P,Erdbeer-Aroma,60030373,"Maltol, natürlich Kosher, Halal",0.0026973700,118-71-8,caramellic,cotton candy,jam,fruity,warm,,,1,,,
29202914,188.796P,Erdbeer-Aroma,60030373,"Maltol, natürlich Kosher, Halal",0.0002610000,118-71-8,caramellic,cotton candy,jam,fruity,warm,,,1,,,
29201172,185.741P,Erdbeer-Aroma,60030274,Methylsalicylat Halal,0.0002050000,119-36-8,Warm,wintergreen,,,warm,,,0.05,,,
RE00734_A01,185.471,Erdbeer-Aroma,60030372,"Vanillin ex Eugenol, natürlich Halal Kosher, BG",0.0013260000,121-33-5,vanilla,creamy,chocolate,,warm,,,1,,,
RE00956_A01,185.615,Erdbeer-Aroma,60030343,Vanillin Halal Kosher,0.0002730000,121-33-5,vanilla,creamy,chocolate,,warm,,,1,,,
29200240,185.675P,Erdbeer-Aroma,60030343,Vanillin Halal Kosher,0.0010000000,121-33-5,vanilla,creamy,chocolate,,warm,,,1,,,
29200817,185.796P,Erdbeer-Aroma,60030372,"Vanillin ex Eugenol, natürlich Halal Kosher, BG",0.0000010000,121-33-5,vanilla,creamy,chocolate,,warm,,,1,,,
RE02504_A01,186.293P,Erdbeer-Aroma,60030372,"Vanillin ex Eugenol, natürlich Halal Kosher, BG",0.0000610000,121-33-5,vanilla,creamy,chocolate,,warm,,,1,,,
RE02701_A01,186.395P,Erdbeer-Aroma,60030372,"Vanillin ex Eugenol, natürlich Halal Kosher, BG",0.0002840000,121-33-5,vanilla,creamy,chocolate,,warm,,,1,,,
29200308,186.396P,Erdbeer-Aroma,60030372,"Vanillin ex Eugenol, natürlich Halal Kosher, BG",0.0002370000,121-33-5,vanilla,creamy,chocolate,,warm,,,1,,,
29200823,186.950P,Erdbeer-Aroma,60030343,Vanillin Halal Kosher,0.0003000000,121-33-5,vanilla,creamy,chocolate,,warm,,,1,,,
29201025,187.119P,Erdbeer-Aroma,60030372,"Vanillin ex Eugenol, natürlich Halal Kosher, BG",0.0004700000,121-33-5,vanilla,creamy,chocolate,,warm,,,1,,,
29201573,187.507P,Erdbeer-Aroma,60030372,"Vanillin ex Eugenol, natürlich Halal Kosher, BG",0.0003950000,121-33-5,vanilla,creamy,chocolate,,warm,,,1,,,
29201588,187.522P,Erdbeer-Aroma,60030343,Vanillin Halal Kosher,0.0012000000,121-33-5,vanilla,creamy,chocolate,,warm,,,1,,,
29201971,187.892P,Erdbeer-Aroma,60030343,Vanillin Halal Kosher,0.0234570000,121-33-5,vanilla,creamy,chocolate,,warm,,,1,,,
29202007,187.920P,Erdbeer-Aroma,60030343,Vanillin Halal Kosher,0.0025610000,121-33-5,vanilla,creamy,chocolate,,warm,,,1,,,
29202513,188.412P,Erdbeer-Aroma,60030372,"Vanillin ex Eugenol, natürlich Halal Kosher, BG",0.0000880000,121-33-5,vanilla,creamy,chocolate,,warm,,,1,,,
29202746,188.628P,Erdbeer-Aroma,60030372,"Vanillin ex Eugenol, natürlich Halal Kosher, BG",0.0007900000,121-33-5,vanilla,creamy,chocolate,,warm,,,1,,,
29202914,188.796P,Erdbeer-Aroma,60030372,"Vanillin ex Eugenol, natürlich Halal Kosher, BG",0.0000060000,121-33-5,vanilla,creamy,chocolate,,warm,,,1,,,
29202914,188.796P,Erdbeer-Aroma,60030734_+K+,"Phenylacetaldehyd 10% in Triacetin, natürlich Halal",0.0000240000,122-78-1,green,floral,hyacinth,honey,green,floral,,1,,,
29200817,185.796P,Erdbeer-Aroma,60030503_+K+,"Phenylacetaldehyd 10% in Ethanol, natürlich",0.0000040000,122-78-1 /  64-17-5,green,floral,hyacinth,honey,green,floral,,1,,,
RE00734_A01,185.471,Erdbeer-Aroma,60030375,"Isoamylalkohol, natürlich Kosher Halal",0.0001000000,123-51-3,fermented,fusel,whiskey,fruity,solvent,fruity,,1,,,
RE01628_A01,185.902P,Erdbeer-Aroma,60030375,"Isoamylalkohol, natürlich Kosher Halal",0.0007100000,123-51-3,fermented,fusel,whiskey,fruity,solvent,fruity,,1,,,
29203204,185.922P,Erdbeer-Aroma,60030375,"Isoamylalkohol, natürlich Kosher Halal",0.0013040000,123-51-3,fermented,fusel,whiskey,fruity,solvent,fruity,,1,,,
RE02701_A01,186.395P,Erdbeer-Aroma,60030375,"Isoamylalkohol, natürlich Kosher Halal",0.0004140000,123-51-3,fermented,fusel,whiskey,fruity,solvent,fruity,,1,,,
29200308,186.396P,Erdbeer-Aroma,60030375,"Isoamylalkohol, natürlich Kosher Halal",0.0003450000,123-51-3,fermented,fusel,whiskey,fruity,solvent,fruity,,1,,,
29200974,187.061P,Erdbeer-Aroma,60030214,Isoamylalkohol Kosher Halal,0.0001490000,123-51-3,fermented,fusel,whiskey,fruity,solvent,fruity,,1,,,
29201573,187.507P,Erdbeer-Aroma,60030375,"Isoamylalkohol, natürlich Kosher Halal",0.0005750000,123-51-3,fermented,fusel,whiskey,fruity,solvent,fruity,,1,,,
29201878,187.783P,Erdbeer-Aroma,60030375,"Isoamylalkohol, natürlich Kosher Halal",0.0000210000,123-51-3,fermented,fusel,whiskey,fruity,solvent,fruity,,1,,,
29201971,187.892P,Erdbeer-Aroma,60030214,Isoamylalkohol Kosher Halal,0.0002520000,123-51-3,fermented,fusel,whiskey,fruity,solvent,fruity,,1,,,
29201969,187.894P,Erdbeer-Aroma,60030375,"Isoamylalkohol, natürlich Kosher Halal",0.0000840000,123-51-3,fermented,fusel,whiskey,fruity,solvent,fruity,,1,,,
29202746,188.628P,Erdbeer-Aroma,60030375,"Isoamylalkohol, natürlich Kosher Halal",0.0011500000,123-51-3,fermented,fusel,whiskey,fruity,solvent,fruity,,1,,,
29200047,185.267,Erdbeer-Aroma,60030399,"Ethylhexanoat, natürlich Kosher Halal",0.0101650000,123-66-0,fruity,pineapple,waxy,green,fruity,tropical,,0.1,,,
RE00734_A01,185.471,Erdbeer-Aroma,60030399,"Ethylhexanoat, natürlich Kosher Halal",0.0283860000,123-66-0,fruity,pineapple,waxy,green,fruity,tropical,,0.1,,,
29200240,185.675P,Erdbeer-Aroma,60030159,Ethylhexanoat Halal Kosher,0.0006660000,123-66-0,fruity,pineapple,waxy,green,fruity,tropical,,0.1,,,
29201172,185.741P,Erdbeer-Aroma,60030159,Ethylhexanoat Halal,0.0004300000,123-66-0,fruity,pineapple,waxy,green,fruity,tropical,,0.1,,,
29200817,185.796P,Erdbeer-Aroma,60030399,"Ethylhexanoat, natürlich Kosher Halal",0.0017040000,123-66-0,fruity,pineapple,waxy,green,fruity,tropical,,0.1,,,
29203204,185.922P,Erdbeer-Aroma,60030399,"Ethylhexanoat, natürlich Kosher Halal",0.0000490000,123-66-0,fruity,pineapple,waxy,green,fruity,tropical,,0.1,,,
RE02504_A01,186.293P,Erdbeer-Aroma,60030399,"Ethylhexanoat, natürlich Kosher Halal",0.0002490000,123-66-0,fruity,pineapple,waxy,green,fruity,tropical,,0.1,,,
RE02701_A01,186.395P,Erdbeer-Aroma,60030399,"Ethylhexanoat, natürlich Kosher Halal",0.0036410000,123-66-0,fruity,pineapple,waxy,green,fruity,tropical,,0.1,,,
29200308,186.396P,Erdbeer-Aroma,60030399,"Ethylhexanoat, natürlich Kosher Halal",0.0030340000,123-66-0,fruity,pineapple,waxy,green,fruity,tropical,,0.1,,,
29200823,186.950P,Erdbeer-Aroma,60030159,Ethylhexanoat Halal Kosher,0.0001200000,123-66-0,fruity,pineapple,waxy,green,fruity,tropical,,0.1,,,
29200974,187.061P,Erdbeer-Aroma,60030159,Ethylhexanoat Halal Kosher,0.0004620000,123-66-0,fruity,pineapple,waxy,green,fruity,tropical,,0.1,,,
29201025,187.119P,Erdbeer-Aroma,60030399,"Ethylhexanoat, natürlich Kosher Halal",0.0003400000,123-66-0,fruity,pineapple,waxy,green,fruity,tropical,,0.1,,,
29201573,187.507P,Erdbeer-Aroma,60030399,"Ethylhexanoat, natürlich Kosher Halal",0.0050570000,123-66-0,fruity,pineapple,waxy,green,fruity,tropical,,0.1,,,
29201588,187.522P,Erdbeer-Aroma,60030159,Ethylhexanoat Halal Kosher,0.0069490000,123-66-0,fruity,pineapple,waxy,green,fruity,tropical,,0.1,,,
29201745,187.662P,Erdbeer-Aroma,60030159,Ethylhexanoat Halal Kosher,0.0224030000,123-66-0,fruity,pineapple,waxy,green,fruity,tropical,,0.1,,,
29201835,187.746P,Erdbeer-Aroma,60030399,"Ethylhexanoat, natürlich Kosher Halal",0.0016780000,123-66-0,fruity,pineapple,waxy,green,fruity,tropical,,0.1,,,
29201878,187.783P,Erdbeer-Aroma,60030399,"Ethylhexanoat, natürlich Kosher Halal",0.0017840000,123-66-0,fruity,pineapple,waxy,green,fruity,tropical,,0.1,,,
29201947,187.871P,Erdbeer-Aroma,60030159,Ethylhexanoat Halal,0.0098830000,123-66-0,fruity,pineapple,waxy,green,fruity,tropical,,0.1,,,
29201955,187.885P,Erdbeer-Aroma,60030159,Ethylhexanoat Halal Kosher,0.0022090000,123-66-0,fruity,pineapple,waxy,green,fruity,tropical,,0.1,,,
29201971,187.892P,Erdbeer-Aroma,60030159,Ethylhexanoat Halal Kosher,0.0217470000,123-66-0,fruity,pineapple,waxy,green,fruity,tropical,,0.1,,,
29201964,187.893P,Erdbeer-Aroma,60030159,Ethylhexanoat Halal Kosher,0.0006150000,123-66-0,fruity,pineapple,waxy,green,fruity,tropical,,0.1,,,
29201969,187.894P,Erdbeer-Aroma,60030399,"Ethylhexanoat, natürlich Kosher Halal",0.0051680000,123-66-0,fruity,pineapple,waxy,green,fruity,tropical,,0.1,,,
29202007,187.920P,Erdbeer-Aroma,60030159,Ethylhexanoat Halal Kosher,0.0340830000,123-66-0,fruity,pineapple,waxy,green,fruity,tropical,,0.1,,,
29202470,188.375P,Erdbeer-Aroma,60030399,"Ethylhexanoat, natürlich Kosher Halal",0.0112750000,123-66-0,fruity,pineapple,waxy,green,fruity,tropical,,0.1,,,
29202513,188.412P,Erdbeer-Aroma,60030399,"Ethylhexanoat, natürlich Kosher Halal",0.0037780000,123-66-0,fruity,pineapple,waxy,green,fruity,tropical,,0.1,,,
29202746,188.628P,Erdbeer-Aroma,60030399,"Ethylhexanoat, natürlich Kosher Halal",0.0101140000,123-66-0,fruity,pineapple,waxy,green,fruity,tropical,,0.1,,,
29202795,188.668P,Erdbeer-Aroma,60030399,"Ethylhexanoat, natürlich Kosher Halal",0.0011000000,123-66-0,fruity,pineapple,waxy,green,fruity,tropical,,0.1,,,
29202914,188.796P,Erdbeer-Aroma,60030399,"Ethylhexanoat, natürlich Kosher Halal",0.0109800000,123-66-0,fruity,pineapple,waxy,green,fruity,tropical,,0.1,,,
29200817,185.796P,Erdbeer-Aroma,60030087,"Butylacetat, natürlich Kosher Halal BG",0.0000060000,123-86-4,ethereal,solvent,fruity,banana,solvent,fruity,,0.1,,,
RE02701_A01,186.395P,Erdbeer-Aroma,60030087,"Butylacetat, natürlich Kosher Halal BG",0.0002870000,123-86-4,ethereal,solvent,fruity,banana,solvent,fruity,,0.1,,,
29200308,186.396P,Erdbeer-Aroma,60030087,"Butylacetat, natürlich Kosher Halal BG",0.0002390000,123-86-4,ethereal,solvent,fruity,banana,solvent,fruity,,0.1,,,
29201573,187.507P,Erdbeer-Aroma,60030087,"Butylacetat, natürlich Kosher Halal BG",0.0003980000,123-86-4,ethereal,solvent,fruity,banana,solvent,fruity,,0.1,,,
29201745,187.662P,Erdbeer-Aroma,60030360,Butylacetat Kosher Halal,0.0001180000,123-86-4,ethereal,solvent,fruity,banana,solvent,fruity,,0.1,,,
29202746,188.628P,Erdbeer-Aroma,60030087,"Butylacetat, natürlich Kosher Halal BG",0.0007960000,123-86-4,ethereal,solvent,fruity,banana,solvent,fruity,,0.1,,,
29202914,188.796P,Erdbeer-Aroma,60030087,"Butylacetat, natürlich Kosher Halal BG",0.0000360000,123-86-4,ethereal,solvent,fruity,banana,solvent,fruity,,0.1,,,
RE00734_A01,185.471,Erdbeer-Aroma,60030415,"Isoamylacetat, natürlich Kosher Halal BG",0.0009340000,123-92-2,fruity,banana,solvent,,fruity,,,0.066666667,,,
29201835,187.746P,Erdbeer-Aroma,60030415,"Isoamylacetat, natürlich Kosher Halal BG",0.0000810000,123-92-2,fruity,banana,solvent,,fruity,,,0.066666667,,,
