Stamm-Nr.,Rez.-Nr.,Rezepturbezeichnung,ERP-Nr.,Name,Totalmenge,CAS-Nr.: - Hinweis 1,Sensorik_1,Sensorik_2,Sensorik_3,Sensorik_4,Odour Type 1 FlavourWheel,Odour Type 2 Flavour Wheel,Odour Type 3 Flavour Wheel,Threshold ppm (Datenbank),,,
29202914,188.796P,Erdbeer-Aroma,60030057,Triacetin Kosher Halal,0.6840130000,102-76-1,weak,ethereal-fruity,,,,,,n.v.,,,
29200047,185.267,Erdbeer-Aroma,60030388,"Methyl-trans-cinnamat, natürlich Kosher Halal",0.0070000000,103-26-4,fruity,balsamic,cherry,strawberry,fruity,warm,,0.066666667,,,
RE00734_A01,185.471,Erdbeer-Aroma,60030388,"Methyl-trans-cinnamat, natürlich Kosher Halal",0.0073680000,103-26-4,fruity,balsamic,cherry,strawberry,fruity,warm,,0.066666667,,,
RE01628_A01,185.902P,Erdbeer-Aroma,60030388,"Methyl-trans-cinnamat, natürlich Kosher Halal",0.0005520000,103-26-4,fruity,balsamic,cherry,strawberry,fruity,warm,,0.066666667,,,
29203204,185.922P,Erdbeer-Aroma,60030388,"Methyl-trans-cinnamat, natürlich Kosher Halal",0.0018910000,103-26-4,fruity,balsamic,cherry,strawberry,fruity,warm,,0.066666667,,,
RE02504_A01,186.293P,Erdbeer-Aroma,60030388,"Methyl-trans-cinnamat, natürlich Kosher Halal",0.0004910000,103-26-4,fruity,balsamic,cherry,strawberry,fruity,warm,,0.066666667,,,
RE02701_A01,186.395P,Erdbeer-Aroma,60030388,"Methyl-trans-cinnamat, natürlich Kosher Halal",0.0049500000,103-26-4,fruity,balsamic,cherry,strawberry,fruity,warm,,0.066666667,,,
29200308,186.396P,Erdbeer-Aroma,60030388,"Methyl-trans-cinnamat, natürlich Kosher Halal",0.0041250000,103-26-4,fruity,balsamic,cherry,strawberry,fruity,warm,,0.066666667,,,
29201025,187.119P,Erdbeer-Aroma,60030388,"Methyl-trans-cinnamat, natürlich Kosher Halal",0.0013100000,103-26-4,fruity,balsamic,cherry,strawberry,fruity,warm,,0.066666667,,,
29201573,187.507P,Erdbeer-Aroma,60030388,"Methyl-trans-cinnamat, natürlich Kosher Halal",0.0068750000,103-26-4,fruity,balsamic,cherry,strawberry,fruity,warm,,0.066666667,,,
29201835,187.746P,Erdbeer-Aroma,60030388,"Methyl-trans-cinnamat, natürlich Kosher Halal",0.0004010000,103-26-4,fruity,balsamic,cherry,strawberry,fruity,warm,,0.066666667,,,
29201878,187.783P,Erdbeer-Aroma,60030388,"Methyl-trans-cinnamat, natürlich Kosher Halal",0.0006310000,103-26-4,fruity,balsamic,cherry,strawberry,fruity,warm,,0.066666667,,,
29201969,187.894P,Erdbeer-Aroma,60030388,"Methyl-trans-cinnamat, natürlich Kosher Halal",0.0085420000,103-26-4,fruity,balsamic,cherry,strawberry,fruity,warm,,0.066666667,,,
29202470,188.375P,Erdbeer-Aroma,60030388,"Methyl-trans-cinnamat, natürlich Kosher Halal",0.0045380000,103-26-4,fruity,balsamic,cherry,strawberry,fruity,warm,,0.066666667,,,"Bei Intensität 0,5 --> 2-fach weniger"
29202513,188.412P,Erdbeer-Aroma,60030388,"Methyl-trans-cinnamat, natürlich Kosher Halal",0.0006690000,103-26-4,fruity,balsamic,cherry,strawberry,fruity,warm,,0.066666667,,,Bei Intensität 1 --> 10-fach weniger
29202746,188.628P,Erdbeer-Aroma,60030388,"Methyl-trans-cinnamat, natürlich Kosher Halal",0.0137500000,103-26-4,fruity,balsamic,cherry,strawberry,fruity,warm,,0.066666667,,,"Bei Intensität 1,5 --> 15-fach weniger"
29202795,188.668P,Erdbeer-Aroma,60030388,"Methyl-trans-cinnamat, natürlich Kosher Halal",0.0220000000,103-26-4,fruity,balsamic,cherry,strawberry,fruity,warm,,0.066666667,,,Bei Intensität 2 --> 20-fach weniger
